Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Sep 2013,Dec 201415m,Mar 201615m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Dec 2014,Mar 2016
Profit & Loss,Tax %,31%,,,,14%,,,,29%,,,,15%,1%,0%,0%,19%,-33%,41%,521%,31%,,
Profit & Loss,Net Profit,26,,,,13,,,,38,,,,109,-170,-181,1,359,10,40,-83,73,,
Profit & Loss,EPS in Rs,6.69,,,,3.36,,,,9.62,,,,27.97,-43.15,-46.37,0.20,91.78,2.49,10.32,-21.19,18.73,,
Profit & Loss,Dividend Payout %,45%,,,,89%,,,,42%,,,,14%,0%,0%,0%,0%,0%,0%,0%,16%,,
,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,39,,,,39,,,,39,,,,39,39,,,39,39,39,39,39,39,39
Balance Sheet,Reserves,345,,,,345,,,,371,,,,453,-245,,,292,302,342,257,331,-427,-426
Balance Sheet,Borrowings,417,,,,383,,,,568,,,,419,702,,,244,143,239,488,276,504,482
Balance Sheet,Other Liabilities,250,,,,266,,,,200,,,,185,394,,,588,622,788,689,735,818,958
Balance Sheet,Total Liabilities,1051,,,,1033,,,,1179,,,,1096,890,,,1163,1105,1408,1474,1380,934,1053
Balance Sheet,Fixed Assets,212,,,,197,,,,204,,,,198,529,,,321,313,296,298,232,474,441
Balance Sheet,CWIP,3,,,,16,,,,1,,,,0,1,,,4,8,8,1,13,1,3
Balance Sheet,Investments,4,,,,3,,,,3,,,,0,0,,,0,0,15,13,10,0,0
Balance Sheet,Other Assets,832,,,,817,,,,972,,,,897,360,,,838,784,1089,1161,1126,460,609
Balance Sheet,Total Assets,1051,,,,1033,,,,1179,,,,1096,890,,,1163,1105,1408,1474,1380,934,1053
,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-151,,,,108,,,,-164,,,,114,-59,,,49,63,-100,-139,160,235,38
Cash Flows,Cash from Investing Activity,-13,,,,-39,,,,5,,,,92,14,,,121,83,-17,-42,129,-15,-4
Cash Flows,Cash from Financing Activity,107,,,,-76,,,,143,,,,-206,45,,,-157,-127,94,195,-245,-206,-30
Cash Flows,Net Cash Flow,-57,,,,-6,,,,-16,,,,-1,0,,,13,19,-23,14,43,15,4
,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,10,,,,8,,,,11,,,,8,11,,,13,14,12,15,10,13,18
Ratios,Inventory Days,214,,,,208,,,,300,,,,266,90,,,238,176,417,333,246,108,165
Ratios,Days Payable,57,,,,61,,,,52,,,,44,107,,,217,204,355,231,201,225,268
Ratios,Cash Conversion Cycle,167,,,,155,,,,259,,,,231,-5,,,34,-14,74,117,55,-104,-85
Ratios,Working Capital Days,126,,,,119,,,,199,,,,175,-63,,,-18,-30,9,67,64,-159,-131
Ratios,ROCE %,10%,,,,6%,,,,7%,,,,10%,-19%,,,44%,6%,17%,2%,7%,-34%,73%
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,63.49%,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,1.71%,1.11%,0.08%,0.01%,0.01%,0.93%,0.35%,0.45%,0.59%,0.88%,0.43%,0.44%,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.32%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.31%,0.07%,0.07%,0.07%,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,34.48%,35.09%,36.12%,36.18%,36.18%,35.27%,35.85%,35.76%,35.62%,35.56%,35.99%,35.99%,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,55085,57104,56955,56151,55125,54659,54646,54762,54551,55438,56117,56698,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.49%,,,,63.49%,,,,63.49%,,,,63.49%,,,,69.88%,63.49%,63.49%,63.49%,63.49%,,
Shareholding Pattern (Yearly),FIIs,1.66%,,,,0.01%,,,,0.45%,,,,0.44%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Yearly),DIIs,0.46%,,,,0.31%,,,,0.31%,,,,0.07%,,,,2.11%,1.83%,1.64%,1.67%,1.58%,,
Shareholding Pattern (Yearly),Public,34.39%,,,,36.18%,,,,35.76%,,,,35.99%,,,,28.00%,34.68%,34.86%,34.84%,34.92%,,
Shareholding Pattern (Yearly),No. of Shareholders,51591,,,,56151,,,,54762,,,,56698,,,,47875,48655,46165,45936,44782,,
,,,,,,,,,,,,,,,,,,,,,,,,
