Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 201415m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Profit & Loss,Profit before tax,-653,,,,-268,,,,-63,,,,3675,2890,992,137,509,690,303,42,289,
Profit & Loss,Tax %,-27%,,,,-21%,,,,50%,,,,2%,39%,15%,31%,12%,1%,-9%,27%,11%,
Profit & Loss,Net Profit,-474,,,,-212,,,,-94,,,,3598,1767,844,95,446,684,330,31,258,
Profit & Loss,EPS in Rs,-51.25,,,,-22.44,,,,-7.68,,,,389.75,296.43,141.78,12.15,44.71,74.25,36.27,4.06,29.93,
Profit & Loss,Dividend Payout %,0%,,,,-7%,,,,-33%,,,,1%,170%,76%,41%,10%,3%,8%,345%,8%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,90,,,,90,,,,92,,,,92,,60,89,89,90,90,90,90,60
Balance Sheet,Reserves,2269,,,,2122,,,,2034,,,,2460,,1085,2569,2659,2374,2559,2438,2687,947
Balance Sheet,Borrowings,3025,,,,3030,,,,2517,,,,1880,,892,3542,3700,2520,3221,2235,2348,547
Balance Sheet,Other Liabilities,1556,,,,1352,,,,1157,,,,1617,,438,1211,1598,1601,1937,1369,1844,543
Balance Sheet,Total Liabilities,6940,,,,6594,,,,5799,,,,6049,,2475,7410,8046,6585,7807,6131,6969,2096
Balance Sheet,Fixed Assets,2347,,,,2311,,,,1865,,,,2006,,701,2679,2980,2977,3648,2099,2219,555
Balance Sheet,CWIP,291,,,,151,,,,162,,,,100,,171,815,780,620,453,413,447,99
Balance Sheet,Investments,540,,,,490,,,,303,,,,409,,630,1341,1525,588,702,549,697,443
Balance Sheet,Other Assets,3762,,,,3642,,,,3470,,,,3533,,972,2576,2762,2400,3005,3070,3605,999
Balance Sheet,Total Assets,6940,,,,6594,,,,5799,,,,6049,,2475,7410,8046,6585,7807,6131,6969,2096
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-258,,,,44,,,,701,,,,684,,83,73,288,187,60,205,481,-272
Cash Flows,Cash from Investing Activity,-119,,,,302,,,,-150,,,,-90,,50,-2205,-1222,570,-145,1321,-522,4044
Cash Flows,Cash from Financing Activity,421,,,,-214,,,,-693,,,,-643,,-421,2944,338,-1016,194,-1709,-16,-3319
Cash Flows,Net Cash Flow,45,,,,133,,,,-142,,,,-48,,-288,812,-596,-259,110,-184,-56,454
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,144,,,,129,,,,103,,,,96,,119,132,132,113,165,124,122,99
Ratios,Inventory Days,285,,,,257,,,,251,,,,236,,135,149,209,146,294,254,329,90
Ratios,Days Payable,260,,,,220,,,,189,,,,190,,153,188,221,188,299,259,311,137
Ratios,Cash Conversion Cycle,168,,,,165,,,,164,,,,141,,102,92,120,71,160,119,140,52
Ratios,Working Capital Days,210,,,,156,,,,141,,,,130,,-29,96,63,117,155,95,116,53
Ratios,ROCE %,-5%,,,,-0%,,,,8%,,,,15%,,57%,8%,11%,16%,6%,5%,8%,113%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,30.37%,31.08%,30.90%,28.28%,28.08%,27.79%,27.39%,25.88%,25.86%,25.84%,26.82%,28.30%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,21.21%,21.43%,18.98%,18.85%,16.72%,17.25%,19.45%,24.57%,26.71%,30.08%,28.48%,28.32%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,16.63%,15.07%,18.44%,17.88%,19.60%,19.50%,19.02%,17.66%,18.17%,18.24%,16.92%,13.72%,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.40%,0.40%,0.40%,0.40%,0.40%,0.39%,0.39%,0.39%,0.01%,0.01%,0.01%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,31.79%,32.05%,31.29%,34.60%,35.22%,35.06%,33.75%,31.52%,28.87%,25.83%,27.78%,29.65%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,134718,130682,123964,120916,112775,101638,91182,84695,91917,96009,114236,95125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,30.60%,,,,28.28%,,,,25.88%,,,,28.30%,,,,31.09%,31.36%,31.24%,31.27%,29.67%,
Shareholding Pattern (Yearly),FIIs,19.66%,,,,18.85%,,,,24.57%,,,,28.32%,,,,34.49%,31.48%,25.23%,28.80%,24.82%,
Shareholding Pattern (Yearly),DIIs,18.82%,,,,17.88%,,,,17.66%,,,,13.72%,,,,14.40%,19.84%,24.19%,18.88%,16.08%,
Shareholding Pattern (Yearly),Government,0.00%,,,,0.40%,,,,0.39%,,,,0.01%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,30.92%,,,,34.60%,,,,31.52%,,,,29.65%,,,,20.02%,17.32%,19.34%,21.05%,29.42%,
Shareholding Pattern (Yearly),No. of Shareholders,133190,,,,120916,,,,84695,,,,95125,,,,64438,72566,79396,73265,74074,
,,,,,,,,,,,,,,,,,,,,,,,
