Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Mar 2017,Mar 2018,Mar 2019,Dec 2019,Mar 2021
Balance Sheet,Borrowings,4.28,3.05,1.68,0.00,73.68,58.98,56.09,61.10,73.36,82.98,84.46,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,2.55,2.87,3.26,2.90,15.51,26.64,31.31,85.20,55.00,60.46,75.93,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,16.10,15.36,14.77,15.28,86.34,79.27,78.32,76.61,75.94,11.47,10.71,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,0.00,0.18,1.46,4.85,7.28,10.33,20.12,20.71,17.55,8.08,8.12,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,1.20,1.26,1.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,9.94,9.78,9.67,6.47,39.99,53.20,44.80,100.71,107.32,43.20,20.35,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,27.24,26.58,27.16,26.60,133.61,142.80,143.24,198.03,200.81,62.75,39.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,2.01,2.45,3.00,5.20,-69.04,-10.27,13.57,-1.95,12.25,-10.17,5.06,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-0.71,-0.66,-1.50,-4.05,-19.34,-1.43,-9.10,-8.41,0.00,9.47,-0.12,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-0.42,-1.59,-1.61,-2.27,95.68,13.81,-7.71,2.22,-11.71,-0.43,-6.09,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,0.88,0.20,-0.11,-1.12,7.30,2.11,-3.25,-8.14,0.54,-1.13,-1.16,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,271.77,361.28,1034.57,1406.32,160.42,143.89,195.85,267.94,248.66,152.17,203.30,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,2024.88,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,208.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,271.77,2177.59,1034.57,1406.32,160.42,143.89,195.85,267.94,248.66,152.17,203.30,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,624.86,697.72,1264.21,1884.04,102.26,-25.46,-33.03,195.06,-394.88,-399.28,-943.11,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,4.45%,12.86%,15.84%,8.48%,-10.17%,-3.27%,2.51%,-5.27%,-158.89%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,28.77%,28.77%,28.77%,28.77%,28.77%,28.77%,12.55%,12.55%,12.55%,12.55%,81.36%,75.20%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,0.66%,0.66%,0.66%,0.66%,0.66%,0.66%,0.16%,0.16%,0.16%,0.16%,0.03%,0.03%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,70.57%,70.56%,70.56%,70.56%,70.56%,70.57%,87.30%,87.30%,87.28%,87.28%,18.60%,24.77%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,3062,3029,3037,3034,3034,3026,3025,3025,2319,2319,2319,2320,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,,,28.77%,28.77%,,12.55%,,,,81.36%,75.20%,34.10%,31.05%,31.05%,31.05%,28.77%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,,,0.66%,0.66%,,0.16%,,,,0.03%,0.03%,0.66%,0.66%,0.66%,0.67%,0.66%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,,,70.56%,70.56%,,87.30%,,,,18.60%,24.77%,65.24%,68.29%,68.29%,68.28%,70.57%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,,,3034,3034,,3025,,,,2319,2320,3329,3336,3073,3056,3062
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
