Section,,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Mar 2017,Mar 2018,Mar 2019,Mar 2021,Mar 2022
Shareholding Pattern (Quarterly),DIIs,,,,,,,,6.63%,6.67%,5.97%,6.27%,6.24%,6.30%,,,,,,6.45%,6.20%,6.11%,6.35%,6.58%,6.77%,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,16.21%,15.87%,16.34%,15.94%,16.19%,16.07%,,,,,,17.50%,17.69%,17.72%,17.37%,17.07%,16.72%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,51068,48219,50412,54552,61747,61334,,,,,,55447,54521,55430,54683,53883,52119,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,73.33%,,,,,73.33%,,,,73.33%,,,,,,,,,73.33%,,,73.33%,73.33%,73.33%,73.33%,73.33%
Shareholding Pattern (Yearly),FIIs,,,,3.55%,,,,,4.12%,,,,4.29%,,,,,,,,,2.93%,,,2.83%,2.34%,1.75%,1.96%,2.34%
Shareholding Pattern (Yearly),DIIs,,,,7.68%,,,,,6.67%,,,,6.30%,,,,,,,,,6.35%,,,6.93%,7.70%,8.94%,7.76%,6.86%
Shareholding Pattern (Yearly),Public,,,,15.44%,,,,,15.87%,,,,16.07%,,,,,,,,,17.37%,,,16.90%,16.62%,15.97%,16.94%,17.46%
Shareholding Pattern (Yearly),No. of Shareholders,,,,39317,,,,,48219,,,,61334,,,,,,,,,54683,,,41774,39741,40121,42145,54329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
