Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,TTM,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Other Income,,6,,,,11,,,,8,,,,14,,,,,,
Profit & Loss,Interest,,9,,,,11,,,,9,,,,10,,,,,,
Profit & Loss,Depreciation,,10,,,,13,,,,14,,,,15,,,,,,
Profit & Loss,Profit before tax,,51,,,,67,,,,67,,,,60,,,,,,
Profit & Loss,Tax %,,30%,,,,31%,,,,36%,,,,,,,,,,
Profit & Loss,Net Profit,,36,,,,46,,,,43,,,,42,,,,,,
Profit & Loss,EPS in Rs,,10.13,,,,12.09,,,,11.08,,,,10.49,,,,,,
Profit & Loss,Dividend Payout %,,20%,,,,20%,,,,0%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,35,,,,38,,,,39,,39,,,,,,,,
Balance Sheet,Reserves,,130,,,,168,,,,212,,267,,,,,,,,
Balance Sheet,Borrowings,,104,,,,104,,,,184,,162,,,,,,,,
Balance Sheet,Other Liabilities,,55,,,,63,,,,71,,79,,,,,,,,
Balance Sheet,Total Liabilities,,324,,,,373,,,,507,,548,,,,,,,,
Balance Sheet,Fixed Assets,,177,,,,199,,,,202,,219,,,,,,,,
Balance Sheet,CWIP,,18,,,,22,,,,49,,55,,,,,,,,
Balance Sheet,Investments,,0,,,,1,,,,1,,0,,,,,,,,
Balance Sheet,Other Assets,,130,,,,151,,,,255,,275,,,,,,,,
Balance Sheet,Total Assets,,324,,,,373,,,,507,,548,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,32,,,,51,,,,47,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-29,,,,-38,,,,-69,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,2,,,,-17,,,,76,,,,,,,,,,
Cash Flows,Net Cash Flow,,5,,,,-4,,,,54,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,28,,,,22,,,,36,,,,,,,,,,
Ratios,Inventory Days,,447,,,,369,,,,461,,,,,,,,,,
Ratios,Days Payable,,62,,,,34,,,,52,,,,,,,,,,
Ratios,Cash Conversion Cycle,,413,,,,357,,,,444,,,,,,,,,,
Ratios,Working Capital Days,,106,,,,96,,,,115,,,,,,,,,,
Ratios,ROCE %,,,,,,27%,,,,20%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,49.16%,49.16%,49.16%,49.16%,49.16%,47.80%,47.80%,47.80%,47.49%,47.49%,41.65%,,41.65%,,,,,
Shareholding Pattern (Quarterly),FIIs,,,2.98%,0.32%,0.00%,0.00%,0.00%,0.54%,0.07%,0.13%,0.28%,0.37%,0.63%,,0.49%,,,,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%,0.37%,8.24%,,8.58%,,,,,
Shareholding Pattern (Quarterly),Public,,,47.85%,50.52%,50.82%,50.84%,50.83%,51.66%,52.08%,52.07%,52.23%,51.77%,49.48%,,49.29%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,16079,25125,26714,26092,25245,29330,33797,42688,42852,38455,39701,,39809,,,,,
,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,45.15%,,,,49.16%,,,,47.80%,,,,,41.65%,40.07%,45.06%,45.06%,45.06%,45.15%
Shareholding Pattern (Yearly),FIIs,,3.22%,,,,0.00%,,,,0.13%,,,,,0.49%,0.00%,0.00%,0.00%,0.00%,2.59%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,8.58%,0.00%,0.01%,0.01%,0.01%,0.00%
Shareholding Pattern (Yearly),Public,,51.63%,,,,50.84%,,,,52.07%,,,,,49.29%,59.92%,54.94%,54.93%,54.93%,52.26%
Shareholding Pattern (Yearly),No. of Shareholders,,15513,,,,26092,,,,42688,,,,,39809,13996,16977,16298,15500,14264
,,,,,,,,,,,,,,,,,,,,,
