Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,60,,,,60,,,,59,,59,,39,41,42,42,45,46,48,60,60,,
Balance Sheet,Reserves,,541,,,,622,,,,872,,952,,814,684,553,476,486,507,540,581,544,,
Balance Sheet,Borrowings,,953,,,,862,,,,17,,16,,1240,1355,1413,1457,1242,1083,1148,1031,1005,,
Balance Sheet,Other Liabilities,,247,,,,280,,,,217,,160,,280,258,236,240,364,387,188,198,210,,
Balance Sheet,Total Liabilities,,1801,,,,1824,,,,1165,,1188,,2374,2339,2244,2215,2138,2023,1924,1870,1818,,
Balance Sheet,Fixed Assets,,630,,,,587,,,,8,,7,,1171,1174,1117,1099,1042,934,914,843,753,,
Balance Sheet,CWIP,,10,,,,8,,,,0,,0,,161,78,113,78,70,69,20,11,19,,
Balance Sheet,Investments,,29,,,,30,,,,111,,192,,17,17,18,18,18,18,19,17,36,,
Balance Sheet,Other Assets,,1131,,,,1199,,,,1047,,989,,1025,1070,997,1020,1007,1002,972,998,1011,,
Balance Sheet,Total Assets,,1801,,,,1824,,,,1165,,1188,,2374,2339,2244,2215,2138,2023,1924,1870,1818,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,150,,,,195,,,,-163,,,,-47,0,98,79,96,73,-64,125,135,,
Cash Flows,Cash from Investing Activity,,5,,,,-13,,,,-104,,,,-48,0,-35,-29,-31,-17,-12,-9,-10,,
Cash Flows,Cash from Financing Activity,,-141,,,,-186,,,,699,,,,66,0,-64,-48,-69,-62,100,-133,-124,,
Cash Flows,Net Cash Flow,,14,,,,-4,,,,431,,,,-29,0,-1,3,-4,-6,23,-17,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,160,,,,153,,,,48,,,,133,168,215,208,182,194,169,186,177,,
Ratios,Inventory Days,,288,,,,242,,,,6,,,,180,182,312,368,305,291,284,315,301,,
Ratios,Days Payable,,118,,,,113,,,,52,,,,81,103,120,137,91,118,114,124,111,,
Ratios,Cash Conversion Cycle,,330,,,,282,,,,2,,,,232,247,407,439,396,367,339,377,367,,
Ratios,Working Capital Days,,290,,,,267,,,,4,,,,246,277,379,255,110,99,305,313,303,,
Ratios,ROCE %,,7%,,,,13%,,,,20%,,,,2%,0%,1%,2%,2%,4%,4%,5%,7%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,42.00%,42.01%,42.01%,42.01%,42.01%,42.01%,42.01%,42.01%,42.01%,42.01%,42.01%,,,,,,,,,,,40.94%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.04%,0.00%,0.08%,0.17%,0.31%,0.26%,1.27%,0.65%,0.46%,,,,,,,,,,,3.07%
Shareholding Pattern (Quarterly),DIIs,,,19.49%,19.49%,19.49%,19.49%,19.49%,19.49%,18.73%,8.03%,0.94%,0.94%,0.94%,,,,,,,,,,,0.91%
Shareholding Pattern (Quarterly),Public,,,38.50%,38.51%,38.48%,38.52%,38.44%,38.34%,38.96%,49.72%,55.81%,56.41%,56.61%,,,,,,,,,,,55.08%
Shareholding Pattern (Quarterly),No. of Shareholders,,,24910,24226,24456,23397,22962,25405,24633,22439,25461,28883,28752,,,,,,,,,,,28117
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,42.00%,,,,42.01%,,,,42.01%,,,,,,,,55.46%,54.80%,52.16%,42.00%,42.00%,,40.94%
Shareholding Pattern (Yearly),FIIs,,0.06%,,,,0.00%,,,,0.26%,,,,,,,,2.27%,0.77%,0.60%,0.28%,0.17%,,3.07%
Shareholding Pattern (Yearly),DIIs,,19.49%,,,,19.49%,,,,8.03%,,,,,,,,0.00%,0.00%,3.78%,19.50%,19.49%,,0.91%
Shareholding Pattern (Yearly),Government,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,0.00%,0.00%,0.33%,0.00%,0.00%,,0.00%
Shareholding Pattern (Yearly),Public,,38.44%,,,,38.52%,,,,49.72%,,,,,,,,42.26%,44.43%,43.13%,38.23%,38.34%,,55.08%
Shareholding Pattern (Yearly),No. of Shareholders,,25342,,,,23397,,,,22439,,,,,,,,18970,15511,14652,14578,15859,,28117
,,,,,,,,,,,,,,,,,,,,,,,,,
