Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,TTM,Mar 2025
Cash Flows,Net Cash Flow,,-9,,,,-2,,,,-6,,,,-1,4,5,-3,5,-8,2,-1,23,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,85,,,,86,,,,90,,,,64,71,57,70,60,87,78,81,92,,
Ratios,Inventory Days,,396,,,,312,,,,330,,,,163,149,208,181,249,263,249,298,293,,
Ratios,Days Payable,,220,,,,163,,,,140,,,,108,97,104,92,121,173,155,148,164,,
Ratios,Cash Conversion Cycle,,261,,,,235,,,,280,,,,119,122,162,159,188,177,172,230,220,,
Ratios,Working Capital Days,,148,,,,138,,,,171,,,,78,84,89,104,105,121,121,130,142,,
Ratios,ROCE %,,10%,,,,8%,,,,4%,,,,16%,21%,17%,13%,7%,7%,10%,8%,8%,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,54.88%,,,,,,,,,,,54.88%
Shareholding Pattern (Quarterly),FIIs,,,0.74%,0.74%,0.78%,0.72%,0.72%,0.78%,0.77%,0.72%,0.72%,0.78%,0.72%,,,,,,,,,,,0.72%
Shareholding Pattern (Quarterly),DIIs,,,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%,0.01%,0.01%,,,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,44.36%,44.37%,44.32%,44.39%,44.39%,44.33%,44.33%,44.37%,44.38%,44.32%,44.38%,,,,,,,,,,,44.38%
Shareholding Pattern (Quarterly),No. of Shareholders,,,22860,22969,21487,20937,21586,21216,20649,20293,20100,20077,19177,,,,,,,,,,,19126
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,54.88%,,,,54.88%,,,,54.88%,,,,,,,,54.88%,54.88%,54.88%,54.88%,54.88%,,54.88%
Shareholding Pattern (Yearly),FIIs,,0.98%,,,,0.72%,,,,0.72%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,,0.72%
Shareholding Pattern (Yearly),DIIs,,0.01%,,,,0.01%,,,,0.02%,,,,,,,,0.06%,0.50%,0.02%,0.02%,0.01%,,0.01%
Shareholding Pattern (Yearly),Public,,44.13%,,,,44.39%,,,,44.37%,,,,,,,,45.05%,44.62%,45.10%,45.10%,45.11%,,44.38%
Shareholding Pattern (Yearly),No. of Shareholders,,23169,,,,20937,,,,20293,,,,,,,,33283,27141,24522,23793,23784,,19126
,,,,,,,,,,,,,,,,,,,,,,,,,
