Section,,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2023,Mar 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2020,Dec 2021,Dec 2022,Mar 2018,Jun 2018,Sep 2018,Mar 2017
Balance Sheet,Other Assets,2322,,,,2042,,,,4442,,,5104,,933,1019,1330,1488,1726,2649,3147,3920,,,,
Balance Sheet,Total Assets,3133,,,,4169,,,,7202,,,8994,,1808,1754,2021,2311,2545,5138,5674,6514,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,549,,,,596,,,,1516,,,1548,,336,413,393,473,476,1438,980,821,,,,
Cash Flows,Cash from Investing Activity,-8,,,,-1001,,,,-284,,,-663,,-116,119,14,-197,-95,-416,-210,13,,,,
Cash Flows,Cash from Financing Activity,-250,,,,-169,,,,-750,,,-682,,-126,-535,-314,-249,-280,-242,-602,-721,,,,
Cash Flows,Net Cash Flow,290,,,,-573,,,,482,,,203,,94,-3,93,26,102,780,167,113,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,63,,,,64,,,,65,,,60,,52,52,51,45,50,47,70,75,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,63,,,,64,,,,65,,,60,,52,52,51,45,50,47,70,75,,,,
Ratios,Working Capital Days,35,,,,18,,,,3,,,-6,,-16,16,19,26,36,4,11,14,,,,
Ratios,ROCE %,33%,,,,30%,,,,27%,,,30%,,40%,34%,37%,35%,34%,27%,26%,26%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,62.66%,62.59%,62.52%,62.45%,62.44%,62.44%,62.34%,91.16%,,,,,74.71%,,,,,,,,,71.22%,71.22%,62.79%,
Shareholding Pattern (Quarterly),FIIs,17.17%,16.06%,16.76%,17.85%,16.97%,16.82%,14.03%,2.94%,,,,,10.59%,,,,,,,,,14.60%,15.05%,19.57%,
Shareholding Pattern (Quarterly),DIIs,10.94%,12.35%,11.88%,11.58%,12.41%,12.86%,13.12%,0.00%,,,,,9.06%,,,,,,,,,6.37%,6.04%,8.25%,
Shareholding Pattern (Quarterly),Public,9.23%,9.01%,8.84%,8.12%,8.17%,7.88%,10.51%,5.90%,,,,,5.65%,,,,,,,,,7.81%,7.69%,9.38%,
Shareholding Pattern (Quarterly),No. of Shareholders,82427,80498,78733,79592,82412,80897,85690,60408,,,,,120600,,,,,,,,,78817,70402,77856,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,62.59%,,,,62.44%,,91.16%,,,,,74.71%,,,,,,,,,71.22%,,,71.53%
Shareholding Pattern (Yearly),FIIs,,16.06%,,,,16.82%,,2.94%,,,,,10.59%,,,,,,,,,14.60%,,,8.68%
Shareholding Pattern (Yearly),DIIs,,12.35%,,,,12.86%,,0.00%,,,,,9.06%,,,,,,,,,6.37%,,,9.76%
Shareholding Pattern (Yearly),Public,,9.01%,,,,7.88%,,5.90%,,,,,5.65%,,,,,,,,,7.81%,,,10.04%
Shareholding Pattern (Yearly),No. of Shareholders,,80498,,,,80897,,60408,,,,,120600,,,,,,,,,78817,,,94546
,,,,,,,,,,,,,,,,,,,,,,,,,,
