Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,40.20%,5.02%,3.94%,,,,,,,,,,,3.94%,3.94%,3.94%,3.94%,3.94%,3.94%,3.94%,3.94%,3.94%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,13.27%,13.35%,3.26%,,,,,,,,,,,3.94%,3.94%,3.92%,3.92%,3.92%,3.92%,3.92%,3.92%,1.91%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,0.84%,6.07%,1.07%,,,,,,,,,,,1.07%,1.07%,1.07%,1.07%,1.07%,1.07%,1.07%,1.07%,2.75%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,45.68%,75.56%,91.73%,,,,,,,,,,,91.04%,91.06%,91.07%,91.07%,91.07%,91.08%,91.06%,91.08%,91.39%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,54923,65765,64588,,,,,,,,,,,62136,59593,57287,55938,54735,53392,50831,49446,48450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,44.90%,,,,44.72%,,,,41.27%,,,,,,,,,,47.48%,44.95%,44.95%,,3.94%,,,,3.94%,,,,3.94%
Shareholding Pattern (Yearly),FIIs,,36.06%,,,,24.50%,,,,14.22%,,,,,,,,,,34.68%,38.96%,36.89%,,3.94%,,,,3.92%,,,,1.91%
Shareholding Pattern (Yearly),DIIs,,2.94%,,,,0.64%,,,,0.00%,,,,,,,,,,3.07%,5.91%,3.56%,,1.07%,,,,1.07%,,,,2.75%
Shareholding Pattern (Yearly),Public,,16.10%,,,,30.13%,,,,44.51%,,,,,,,,,,14.77%,10.18%,14.59%,,91.04%,,,,91.07%,,,,91.39%
Shareholding Pattern (Yearly),No. of Shareholders,,11491,,,,28110,,,,54593,,,,,,,,,,7669,11911,9994,,62136,,,,54735,,,,48450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
