Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jan 2016
Balance Sheet,Other Liabilities,32,,,,55,,,,83,,,,412,36,73,51,40,30,26,35,55,
Balance Sheet,Total Liabilities,569,,,,617,,,,728,,,,1192,325,374,392,419,440,480,464,540,
Balance Sheet,Fixed Assets,26,,,,25,,,,34,,,,30,35,35,33,37,35,33,30,28,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,1,0,0,0,0,0,0,
Balance Sheet,Investments,308,,,,300,,,,328,,,,498,46,33,51,172,225,313,146,370,
Balance Sheet,Other Assets,236,,,,292,,,,366,,,,665,244,305,307,210,179,135,289,142,
Balance Sheet,Total Assets,569,,,,617,,,,728,,,,1192,325,374,392,419,440,480,464,540,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,5,,,,68,,,,-21,,,,216,26,15,-2,-147,-23,7,155,-92,
Cash Flows,Cash from Investing Activity,0,,,,-33,,,,63,,,,-21,27,30,3,19,28,-9,-3,-50,
Cash Flows,Cash from Financing Activity,-4,,,,-0,,,,-4,,,,-5,-4,-1,-0,-0,-4,0,-12,-0,
Cash Flows,Net Cash Flow,1,,,,35,,,,38,,,,190,49,44,0,-128,2,-2,141,-143,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,6,,,,14,,,,24,,,,13,20,32,59,127,56,19,31,44,
Ratios,Inventory Days,1346,,,,6569,,,,2472,,,,2325,981,2547,398,968,232,319,2903,2355,
Ratios,Days Payable,60,,,,60,,,,74,,,,35,31,44,16,34,18,54,294,220,
Ratios,Cash Conversion Cycle,1292,,,,6523,,,,2422,,,,2304,970,2535,442,1061,269,284,2641,2180,
Ratios,Working Capital Days,815,,,,1916,,,,854,,,,292,750,662,301,641,254,255,869,780,
Ratios,ROCE %,5%,,,,3%,,,,7%,,,,8%,3%,3%,10%,9%,8%,9%,4%,4%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,67.71%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,67.72%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.03%,0.03%,0.00%,0.01%,0.00%,0.01%,0.00%,0.01%,0.10%,0.15%,0.03%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,32.29%,32.26%,32.26%,32.29%,32.28%,32.29%,32.27%,32.29%,32.28%,32.19%,32.15%,32.25%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,9057,8845,8332,8149,7711,7718,7362,7305,7408,8236,7816,7664,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,67.71%,,,,67.72%,,,,67.72%,,,,67.72%,,,,67.71%,67.71%,67.71%,67.71%,67.71%,68.20%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.03%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.05%,0.02%,0.02%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,32.29%,,,,32.29%,,,,32.29%,,,,32.25%,,,,32.24%,32.27%,32.28%,32.29%,32.29%,31.79%
Shareholding Pattern (Yearly),No. of Shareholders,9609,,,,8149,,,,7305,,,,7664,,,,10975,9634,8670,8088,7507,7608
,,,,,,,,,,,,,,,,,,,,,,,
