Section,,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Inventory Days,27,26,23,31,37,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,46,38,59,68,84,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,8,14,6,3,5,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,21,20,18,20,26,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,21%,13%,17%,30%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,64.14%,64.14%,64.24%,64.24%,64.24%,64.24%,64.24%,64.24%,64.24%,64.24%,64.24%,64.24%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,2.13%,2.20%,2.14%,2.12%,2.00%,1.99%,2.46%,2.92%,3.03%,3.37%,3.42%,3.49%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,2.18%,2.26%,2.31%,2.33%,2.33%,2.80%,2.62%,2.61%,2.66%,2.81%,2.93%,3.05%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,0.00%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,0.09%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,31.55%,31.31%,31.21%,31.22%,31.35%,30.86%,30.59%,30.15%,29.98%,29.49%,29.31%,29.11%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,49363,49977,49067,49563,49464,48370,48830,46831,47917,48193,44598,43517,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,64.24%,,,,64.24%,,,,64.24%,60.84%,62.31%,62.31%,62.31%,63.96%,64.07%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,2.12%,,,,2.92%,,,,3.49%,0.38%,0.62%,0.76%,0.73%,1.24%,2.05%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,2.33%,,,,2.61%,,,,3.05%,0.53%,1.91%,2.18%,2.03%,2.10%,2.14%
Shareholding Pattern (Yearly),Government,,,,,,,,,0.09%,,,,0.09%,,,,0.09%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,31.22%,,,,30.15%,,,,29.11%,38.25%,35.16%,34.75%,34.93%,32.70%,31.74%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,49563,,,,46831,,,,43517,49135,42933,39249,36908,38010,50962
,,,,,,,,,,,,,,,,,,,,,,,,
