Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Profit & Loss,Net Profit,1724,,,,843,,,,1029,,,,909,528,637,340,844,
Profit & Loss,EPS in Rs,67.61,,,,33.43,,,,37.07,,,,32.53,90.83,25.86,14.56,36.10,
Profit & Loss,Dividend Payout %,7%,,,,5%,,,,12%,,,,14%,0%,0%,0%,14%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,255,,,,255,,,,278,,,,278,47,234,234,234,
Balance Sheet,Reserves,5580,,,,7021,,,,9369,,,,10275,1807,2256,2593,3400,
Balance Sheet,Borrowings,543,,,,1172,,,,597,,,,789,568,729,1114,796,
Balance Sheet,Other Liabilities,2047,,,,3147,,,,4150,,,,4973,1049,834,1121,990,
Balance Sheet,Total Liabilities,8425,,,,11595,,,,14393,,,,16316,3471,4052,5062,5420,
Balance Sheet,Fixed Assets,2455,,,,3311,,,,3995,,,,6357,1747,1774,2012,1802,
Balance Sheet,CWIP,768,,,,2769,,,,3764,,,,2708,91,358,235,506,
Balance Sheet,Investments,1036,,,,1474,,,,2262,,,,2118,195,274,144,282,
Balance Sheet,Other Assets,4166,,,,4041,,,,4372,,,,5133,1437,1647,2670,2829,
Balance Sheet,Total Assets,8425,,,,11595,,,,14393,,,,16316,3471,4052,5062,5420,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1561,,,,1518,,,,1794,,,,1964,247,457,-91,1056,
Cash Flows,Cash from Investing Activity,-1800,,,,-1944,,,,-2762,,,,-1904,-118,-567,-420,-499,
Cash Flows,Cash from Financing Activity,167,,,,424,,,,916,,,,-36,-162,112,531,-423,
Cash Flows,Net Cash Flow,-72,,,,-1,,,,-51,,,,24,-33,2,20,134,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,13,,,,18,,,,20,,,,19,36,17,13,31,
Ratios,Inventory Days,119,,,,90,,,,84,,,,100,86,96,203,98,
Ratios,Days Payable,69,,,,63,,,,91,,,,97,69,41,79,35,
Ratios,Cash Conversion Cycle,63,,,,45,,,,12,,,,21,53,72,136,94,
Ratios,Working Capital Days,68,,,,23,,,,12,,,,36,57,71,123,83,
Ratios,ROCE %,44%,,,,15%,,,,11%,,,,12%,,28%,11%,27%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,88.35%,88.35%,88.35%,88.35%,81.62%,81.62%,74.59%,74.59%,74.59%,74.59%,74.59%,,,,,74.59%
Shareholding Pattern (Quarterly),FIIs,,,0.67%,0.76%,0.65%,0.65%,1.84%,1.98%,2.35%,2.25%,3.48%,3.84%,3.75%,,,,,3.21%
Shareholding Pattern (Quarterly),DIIs,,,3.16%,3.21%,3.14%,3.17%,4.35%,3.72%,4.45%,5.39%,6.18%,6.74%,7.68%,,,,,8.73%
Shareholding Pattern (Quarterly),Public,,,7.82%,7.66%,7.86%,7.84%,11.78%,12.26%,18.22%,17.40%,15.36%,14.44%,13.66%,,,,,13.15%
Shareholding Pattern (Quarterly),Others,,,0.00%,0.00%,0.00%,0.00%,0.43%,0.43%,0.39%,0.39%,0.39%,0.39%,0.33%,,,,,0.32%
Shareholding Pattern (Quarterly),No. of Shareholders,,,164333,159043,156267,146165,130019,124167,122770,120726,127474,121181,116740,,,,,113869
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,88.35%,,,,88.35%,,,,74.59%,,,,74.59%,,,,,74.59%
Shareholding Pattern (Yearly),FIIs,1.06%,,,,0.65%,,,,2.35%,,,,3.75%,,,,,3.21%
Shareholding Pattern (Yearly),DIIs,2.96%,,,,3.14%,,,,4.45%,,,,7.68%,,,,,8.73%
Shareholding Pattern (Yearly),Public,7.63%,,,,7.86%,,,,18.22%,,,,13.66%,,,,,13.15%
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.39%,,,,0.33%,,,,,0.32%
Shareholding Pattern (Yearly),No. of Shareholders,169129,,,,156267,,,,122770,,,,116740,,,,,113869
,,,,,,,,,,,,,,,,,,,
