Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Mar 20159m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Ratios,ROCE %,5%,,,,0%,,,,11%,,,,5%,-2%,,-5%,-7%,10%,4%,-1%,3%,-42%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,73.34%,73.19%,73.18%,73.18%,73.18%,73.18%,73.00%,72.97%,72.89%,72.74%,72.64%,72.96%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.01%,0.02%,0.01%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.04%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,26.65%,26.80%,26.82%,26.82%,26.82%,26.82%,27.01%,26.97%,27.11%,27.26%,27.35%,27.00%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,32853,32506,32721,32004,31408,30953,30669,34060,38150,41725,41704,41829,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.37%,,,,73.18%,,,,72.97%,,,,72.96%,,,,74.36%,74.36%,74.36%,74.35%,74.19%,
Shareholding Pattern (Yearly),FIIs,0.01%,,,,0.00%,,,,0.06%,,,,0.04%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),Public,26.61%,,,,26.82%,,,,26.97%,,,,27.00%,,,,25.64%,25.64%,25.64%,25.65%,25.81%,
Shareholding Pattern (Yearly),No. of Shareholders,33122,,,,32004,,,,34060,,,,41829,,,,24273,19005,17924,17007,21856,
,,,,,,,,,,,,,,,,,,,,,,,
