Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 200615m,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2019,Mar 2020,Mar 2006,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2017,Mar 2018
Ratios,ROCE %,-5%,,,,-7%,,,,,,,,2%,,-2%,-5%,-5%,-3%,-1%,,-2%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,73.49%,73.49%,73.49%,73.49%,73.49%,73.49%,73.49%,73.49%,,,,,,,,,,73.49%,73.49%,73.49%,73.49%,,
Shareholding Pattern (Quarterly),FIIs,,,,,,0.00%,0.03%,0.03%,0.03%,0.10%,0.00%,0.00%,0.03%,,,,,,,,,,0.32%,0.32%,0.32%,0.00%,,
Shareholding Pattern (Quarterly),DIIs,,,,,,0.00%,0.00%,0.00%,0.00%,0.07%,0.13%,0.13%,0.00%,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),Public,,,,,,26.51%,26.48%,26.49%,26.48%,26.34%,26.39%,26.38%,26.49%,,,,,,,,,,26.19%,26.20%,26.21%,26.52%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,24139,24828,26562,33324,40435,46513,45743,45326,,,,,,,,,,25110,25336,24976,24429,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.49%,,,,73.49%,,,,73.49%,,,,73.49%,,,,,,,60.92%,60.92%,,,,,73.49%,57.20%,60.92%
Shareholding Pattern (Yearly),FIIs,0.32%,,,,0.32%,,,,0.03%,,,,0.03%,,,,,,,0.00%,0.00%,,,,,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,0.11%,0.02%,,,,,0.00%,0.12%,0.18%
Shareholding Pattern (Yearly),Public,26.19%,,,,26.19%,,,,26.48%,,,,26.49%,,,,,,,38.97%,39.06%,,,,,26.52%,42.68%,38.90%
Shareholding Pattern (Yearly),No. of Shareholders,21839,,,,24853,,,,33324,,,,45326,,,,,,,23454,22205,,,,,24429,22145,24515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
