Section,,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,May 2025
Balance Sheet,Other Assets,,,,124,,,,168,,,,253,48,61,80,106,85,104,112,102,
Balance Sheet,Total Assets,,,,180,,,,227,,,,324,75,87,111,157,135,150,158,160,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,20,,,,2,,,,71,2,20,5,16,-10,22,18,25,
Cash Flows,Cash from Investing Activity,,,,-13,,,,-11,,,,-63,-4,-6,-5,-31,7,-6,-12,-15,
Cash Flows,Cash from Financing Activity,,,,-2,,,,-4,,,,-2,0,-4,-1,11,-1,-14,-6,-3,
Cash Flows,Net Cash Flow,,,,5,,,,-13,,,,5,-3,11,-2,-4,-4,3,-1,7,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,38,,,,29,,,,22,57,41,71,11,45,48,31,14,
Ratios,Inventory Days,,,,209,,,,320,,,,339,73,78,138,224,212,437,205,174,
Ratios,Days Payable,,,,74,,,,92,,,,78,66,94,118,104,91,201,87,68,
Ratios,Cash Conversion Cycle,,,,173,,,,258,,,,282,64,26,91,131,166,284,149,120,
Ratios,Working Capital Days,,,,32,,,,74,,,,13,35,22,40,34,105,84,52,36,
Ratios,ROCE %,,,,12%,,,,22%,,,,33%,,21%,24%,33%,14%,4%,22%,22%,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.84%,65.84%,65.84%,66.33%,66.33%,66.49%,66.56%,66.56%,66.56%,66.40%,66.40%,,,,,,,,,66.13%
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.51%,0.37%,0.27%,0.18%,0.04%,0.08%,,,,,,,,,0.02%
Shareholding Pattern (Quarterly),Public,,34.15%,34.16%,34.15%,33.67%,33.67%,32.99%,33.07%,33.16%,33.25%,33.58%,33.52%,,,,,,,,,33.84%
Shareholding Pattern (Quarterly),No. of Shareholders,,34167,32340,30932,25944,23354,23483,21234,22304,38063,45871,46659,,,,,,,,,50159
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,65.84%,,,,66.56%,,,,66.40%,,,66.46%,65.80%,65.80%,65.80%,65.80%,65.84%,66.13%
Shareholding Pattern (Yearly),FIIs,,,,0.00%,,,,0.37%,,,,0.08%,,,0.00%,0.08%,0.33%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),DIIs,,,,0.00%,,,,0.00%,,,,0.00%,,,0.01%,0.01%,0.00%,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,34.15%,,,,33.07%,,,,33.52%,,,33.53%,34.11%,33.87%,34.19%,34.19%,34.15%,33.84%
Shareholding Pattern (Yearly),No. of Shareholders,,,,30932,,,,21234,,,,46659,,,8827,11886,12079,11193,11561,38510,50159
,,,,,,,,,,,,,,,,,,,,,,
