Section,,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,EPS in Rs,11.32,,,,13.23,,,,17.27,,,,20.37,8.55,8.57,9.87,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,35%,,,,37%,,,,41%,,,,39%,37%,41%,40%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,14,,,,14,,,,14,,,,16,14,14,14,,,,,,,,,,,,
Balance Sheet,Reserves,178,,,,184,,,,242,,,,441,115,139,160,,,,,,,,,,,,
Balance Sheet,Borrowings,112,,,,118,,,,108,,,,44,29,54,98,,,,,,,,,,,,
Balance Sheet,Other Liabilities,51,,,,48,,,,72,,,,73,46,39,41,,,,,,,,,,,,
Balance Sheet,Total Liabilities,355,,,,363,,,,436,,,,574,204,246,314,,,,,,,,,,,,
Balance Sheet,Fixed Assets,191,,,,202,,,,239,,,,262,81,108,133,,,,,,,,,,,,
Balance Sheet,CWIP,16,,,,12,,,,12,,,,15,9,10,15,,,,,,,,,,,,
Balance Sheet,Investments,10,,,,7,,,,9,,,,17,3,11,10,,,,,,,,,,,,
Balance Sheet,Other Assets,138,,,,142,,,,177,,,,281,111,117,156,,,,,,,,,,,,
Balance Sheet,Total Assets,355,,,,363,,,,436,,,,574,204,246,314,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,83,,,,60,,,,61,,,,2,38,23,7,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-76,,,,-26,,,,-51,,,,-55,-24,-34,-42,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,-8,,,,-34,,,,-10,,,,57,-14,11,35,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-0,,,,0,,,,0,,,,4,0,-0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,63,,,,49,,,,69,,,,83,75,75,89,,,,,,,,,,,,
Ratios,Inventory Days,84,,,,89,,,,113,,,,108,65,88,116,,,,,,,,,,,,
Ratios,Days Payable,33,,,,32,,,,51,,,,32,39,35,40,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,114,,,,106,,,,130,,,,159,101,128,166,,,,,,,,,,,,
Ratios,Working Capital Days,77,,,,69,,,,86,,,,116,75,91,121,,,,,,,,,,,,
Ratios,ROCE %,19%,,,,19%,,,,22%,,,,22%,,22%,21%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,,,,,34.23%,34.11%,34.01%,33.47%,33.31%,33.09%,32.86%,32.76%,32.76%,32.69%,32.90%,33.03%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,,,,,12.02%,13.94%,14.51%,16.91%,18.00%,17.82%,16.03%,14.14%,14.44%,13.12%,12.15%,10.97%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,,,,,,16.75%,20.13%,20.05%,19.45%,18.63%,18.48%,19.22%,22.18%,22.74%,23.67%,22.04%,20.08%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,,,,,37.00%,31.82%,31.43%,30.16%,30.06%,30.61%,31.89%,30.92%,30.04%,30.51%,32.91%,35.92%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,,,,,58635,76089,75741,73569,76839,80425,84358,74724,71084,69490,69972,69501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,35.55%,,,,34.69%,,,,35.22%,,,,33.52%,,35.84%,35.77%,,,,33.47%,,,,32.76%,,,,33.03%
Shareholding Pattern (Yearly),FIIs,11.92%,,,,10.31%,,,,9.14%,,,,10.46%,,2.35%,7.50%,,,,16.91%,,,,14.14%,,,,10.97%
Shareholding Pattern (Yearly),DIIs,10.95%,,,,12.82%,,,,13.52%,,,,15.73%,,16.05%,13.57%,,,,19.45%,,,,22.18%,,,,20.08%
Shareholding Pattern (Yearly),Public,41.58%,,,,42.17%,,,,42.12%,,,,40.29%,,45.77%,43.16%,,,,30.16%,,,,30.92%,,,,35.92%
Shareholding Pattern (Yearly),No. of Shareholders,17811,,,,23477,,,,26054,,,,54747,,13829,15711,,,,73569,,,,74724,,,,69501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
