Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Balance Sheet,Total Assets,1057,,,,1102,,,,1037,,,,1085,512,595,771,781,885,1030,1031,1020,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,88,,,,103,,,,131,,,,143,78,120,78,64,103,40,58,120,
Cash Flows,Cash from Investing Activity,-39,,,,-37,,,,-94,,,,-123,-100,-97,-300,-2,-22,-33,-57,-85,
Cash Flows,Cash from Financing Activity,-61,,,,-60,,,,-13,,,,-14,39,2,194,-67,-71,-10,3,-37,
Cash Flows,Net Cash Flow,-13,,,,6,,,,25,,,,6,16,24,-28,-5,10,-3,4,-2,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,67,,,,70,,,,62,,,,69,88,72,74,87,96,74,84,79,
Ratios,Inventory Days,196,,,,171,,,,130,,,,139,104,96,110,88,161,169,185,160,
Ratios,Days Payable,98,,,,97,,,,106,,,,116,153,151,177,187,219,153,134,144,
Ratios,Cash Conversion Cycle,166,,,,144,,,,86,,,,92,38,17,8,-11,39,91,135,96,
Ratios,Working Capital Days,76,,,,62,,,,64,,,,197,26,8,21,21,31,73,96,75,
Ratios,ROCE %,4%,,,,8%,,,,6%,,,,6%,14%,26%,19%,16%,11%,8%,6%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,65.37%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.22%,0.22%,0.17%,0.03%,0.07%,0.11%,0.12%,0.12%,0.12%,0.15%,0.23%,0.40%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.12%,0.13%,0.13%,0.08%,0.08%,0.08%,0.02%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,34.41%,34.42%,34.45%,34.59%,34.46%,34.40%,34.39%,34.43%,34.43%,34.40%,34.37%,34.22%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,54420,52818,51964,51706,49156,48520,47767,50444,51094,51315,54184,54612,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,65.37%,,,,65.37%,,,,65.37%,,,,65.37%,,,,63.88%,63.83%,63.99%,65.37%,65.37%,63.91%
Shareholding Pattern (Yearly),FIIs,0.14%,,,,0.03%,,,,0.12%,,,,0.40%,,,,0.86%,1.21%,0.88%,0.88%,0.88%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.08%,,,,0.00%,,,,15.80%,12.96%,8.67%,7.77%,0.00%,12.88%
Shareholding Pattern (Yearly),Public,34.49%,,,,34.59%,,,,34.43%,,,,34.22%,,,,19.46%,22.00%,26.46%,25.98%,33.75%,23.20%
Shareholding Pattern (Yearly),No. of Shareholders,54829,,,,51706,,,,50444,,,,54612,,,,40293,40482,38075,36061,41163,106944
,,,,,,,,,,,,,,,,,,,,,,,
