Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Apr 2025,Mar 2017,Mar 2018
Balance Sheet,Other Assets,133,,,,186,,,,203,,,,210,97,107,104,,,
Balance Sheet,Total Assets,226,,,,279,,,,295,,,,297,137,181,194,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,4,,,,-6,,,,-7,,,,-7,4,13,13,,,
Cash Flows,Cash from Investing Activity,-8,,,,-6,,,,-6,,,,-2,-15,-37,-18,,,
Cash Flows,Cash from Financing Activity,4,,,,29,,,,6,,,,-2,-4,19,6,,,
Cash Flows,Net Cash Flow,-0,,,,17,,,,-6,,,,-11,-14,-5,1,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,200,,,,169,,,,112,,,,155,129,145,170,,,
Ratios,Inventory Days,188,,,,228,,,,234,,,,268,67,78,27,,,
Ratios,Days Payable,302,,,,241,,,,154,,,,184,134,173,169,,,
Ratios,Cash Conversion Cycle,86,,,,156,,,,193,,,,239,62,51,28,,,
Ratios,Working Capital Days,208,,,,216,,,,183,,,,252,151,152,161,,,
Ratios,ROCE %,12%,,,,10%,,,,8%,,,,5%,,16%,13%,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,43.21%,43.21%,43.21%,43.21%,43.21%,43.21%,43.21%,42.99%,42.99%,42.99%,43.16%,,,,40.46%,,
Shareholding Pattern (Quarterly),FIIs,,,1.83%,0.17%,0.19%,0.16%,0.22%,0.22%,0.12%,0.06%,0.06%,0.06%,0.12%,,,,0.22%,,
Shareholding Pattern (Quarterly),DIIs,,,0.13%,0.20%,0.20%,0.20%,0.20%,0.67%,0.99%,1.17%,1.17%,0.87%,0.69%,,,,0.65%,,
Shareholding Pattern (Quarterly),Government,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.06%,,,,0.05%,,
Shareholding Pattern (Quarterly),Public,,,54.84%,56.42%,56.40%,56.44%,56.38%,55.90%,55.69%,55.78%,55.79%,56.04%,55.99%,,,,58.62%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,8332,8273,8233,8272,9419,10252,10639,10652,10792,10576,10435,,,,10592,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,43.60%,,,,43.21%,,,,43.21%,,,,43.16%,44.53%,44.77%,44.83%,40.46%,45.51%,45.37%
Shareholding Pattern (Yearly),FIIs,0.40%,,,,0.19%,,,,0.12%,,,,0.12%,0.49%,0.47%,0.44%,0.22%,0.14%,0.49%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.20%,,,,0.99%,,,,0.69%,0.00%,0.00%,0.00%,0.65%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.06%,0.00%,0.00%,0.00%,0.05%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,56.01%,,,,56.40%,,,,55.69%,,,,55.99%,54.99%,54.76%,54.73%,58.62%,54.35%,54.14%
Shareholding Pattern (Yearly),No. of Shareholders,9300,,,,8233,,,,10639,,,,10435,4684,4542,4965,10592,4095,4802
,,,,,,,,,,,,,,,,,,,,
