Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20145m,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2014
Cash Flows,Cash from Operating Activity,1716,,,,1462,,,,2180,,,,1905,,616,731,664,723,950,1321,1455,198
Cash Flows,Cash from Investing Activity,-271,,,,196,,,,-2496,,,,32,,-380,-175,267,507,280,142,-810,225
Cash Flows,Cash from Financing Activity,-1389,,,,-1440,,,,77,,,,-1756,,-186,-568,-710,-1380,-1342,-825,-861,-429
Cash Flows,Net Cash Flow,56,,,,217,,,,-239,,,,181,,50,-12,221,-149,-112,638,-217,-7
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,68,,,,67,,,,67,,,,73,,39,39,38,45,45,34,35,109
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,68,,,,67,,,,67,,,,73,,39,39,38,45,45,34,35,109
Ratios,Working Capital Days,29,,,,25,,,,16,,,,7,,3,28,44,42,44,29,34,22
Ratios,ROCE %,27%,,,,29%,,,,24%,,,,23%,,16%,15%,18%,19%,24%,26%,25%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,55.72%,55.70%,55.65%,55.63%,55.58%,55.57%,55.52%,55.45%,40.35%,40.32%,40.23%,40.14%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,20.48%,20.71%,18.89%,17.72%,17.19%,16.60%,15.72%,14.84%,18.32%,18.25%,20.78%,20.61%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,18.16%,17.78%,19.54%,21.00%,21.05%,22.55%,23.71%,24.63%,35.84%,36.87%,34.62%,34.91%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,5.64%,5.80%,5.93%,5.65%,6.19%,5.27%,5.06%,5.08%,5.49%,4.54%,4.38%,4.34%,,,,,,,,,
Shareholding Pattern (Quarterly),Others,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.03%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,151470,177533,177456,169215,177013,153792,148428,147350,167593,149318,143700,139813,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,55.80%,,,,55.63%,,,,55.45%,,,,40.14%,,,,60.41%,60.38%,52.26%,56.18%,56.03%,
Shareholding Pattern (Yearly),FIIs,21.09%,,,,17.72%,,,,14.84%,,,,20.61%,,,,20.41%,22.79%,29.74%,23.87%,21.82%,
Shareholding Pattern (Yearly),DIIs,18.04%,,,,21.00%,,,,24.63%,,,,34.91%,,,,9.85%,7.58%,8.01%,14.17%,17.15%,
Shareholding Pattern (Yearly),Public,5.07%,,,,5.65%,,,,5.08%,,,,4.34%,,,,9.33%,9.25%,9.99%,5.77%,4.99%,
Shareholding Pattern (Yearly),Others,0.00%,,,,0.00%,,,,0.01%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),No. of Shareholders,126895,,,,169215,,,,147350,,,,139813,,,,34245,22894,62877,61138,65810,
,,,,,,,,,,,,,,,,,,,,,,,
