Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Other Liabilities,41,,,,32,,,,37,,,,64,40,32,43,37,32,,,,
Balance Sheet,Total Liabilities,370,,,,366,,,,389,,,,450,301,314,338,353,353,,,,
Balance Sheet,Fixed Assets,87,,,,81,,,,76,,,,73,65,68,77,74,78,,,,
Balance Sheet,CWIP,0,,,,0,,,,1,,,,0,0,0,1,9,11,,,,
Balance Sheet,Investments,158,,,,157,,,,166,,,,180,130,146,145,152,156,,,,
Balance Sheet,Other Assets,125,,,,128,,,,146,,,,197,106,100,115,117,109,,,,
Balance Sheet,Total Assets,370,,,,366,,,,389,,,,450,301,314,338,353,353,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,3,,,,-10,,,,7,,,,12,43,19,10,10,11,,,,
Cash Flows,Cash from Investing Activity,3,,,,8,,,,-5,,,,-2,-42,-14,-5,-8,-3,,,,
Cash Flows,Cash from Financing Activity,-3,,,,-5,,,,-2,,,,-4,-3,-3,-3,-3,-5,,,,
Cash Flows,Net Cash Flow,3,,,,-6,,,,-0,,,,5,-3,1,2,-0,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,178,,,,169,,,,112,,,,150,135,104,157,120,104,,,,
Ratios,Inventory Days,204,,,,705,,,,320,,,,270,211,139,199,147,349,,,,
Ratios,Days Payable,106,,,,168,,,,74,,,,86,128,56,124,73,113,,,,
Ratios,Cash Conversion Cycle,276,,,,706,,,,357,,,,335,218,187,232,194,340,,,,
Ratios,Working Capital Days,241,,,,428,,,,231,,,,207,181,151,189,158,245,,,,
Ratios,ROCE %,5%,,,,3%,,,,8%,,,,13%,,10%,7%,10%,3%,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,74.06%,74.06%,74.06%,74.06%,74.06%,74.06%,74.06%,74.06%,,,,,,74.06%,74.06%,73.64%,73.64%
Shareholding Pattern (Quarterly),FIIs,,,,,,0.02%,0.00%,0.02%,0.00%,0.01%,0.00%,0.00%,0.20%,,,,,,0.10%,0.10%,0.28%,0.45%
Shareholding Pattern (Quarterly),DIIs,,,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,0.36%,0.37%,0.75%,0.33%
Shareholding Pattern (Quarterly),Public,,,,,,25.92%,25.95%,25.93%,25.96%,25.93%,25.94%,25.95%,25.74%,,,,,,25.47%,25.47%,25.32%,25.58%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,8691,8110,7755,7674,7431,6764,8906,8348,,,,,,9935,12281,12758,12034
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.06%,,,,74.06%,,,,74.06%,,,,74.06%,,74.06%,74.06%,74.06%,74.06%,,,,73.64%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.20%,,0.00%,0.00%,0.00%,0.00%,,,,0.45%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,4.80%,4.80%,0.00%,0.00%,,,,0.33%
Shareholding Pattern (Yearly),Public,25.94%,,,,25.94%,,,,25.96%,,,,25.74%,,21.15%,21.15%,25.94%,25.94%,,,,25.58%
Shareholding Pattern (Yearly),No. of Shareholders,5225,,,,8806,,,,7674,,,,8348,,5206,6080,5904,5532,,,,12034
,,,,,,,,,,,,,,,,,,,,,,,
