Section,,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2020,Mar 2021,TTM,Mar 2025,Jun 2025,Mar 2017,Mar 2018,Mar 2019
Balance Sheet,Equity Capital,,4,,,,4,,,,4,,4,,4,4,,,,,,
Balance Sheet,Reserves,,230,,,,277,,,,315,,338,,168,190,,,,,,
Balance Sheet,Borrowings,,19,,,,15,,,,19,,12,,33,30,,,,,,
Balance Sheet,Other Liabilities,,54,,,,65,,,,61,,86,,40,50,,,,,,
Balance Sheet,Total Liabilities,,307,,,,362,,,,400,,440,,246,274,,,,,,
Balance Sheet,Fixed Assets,,169,,,,175,,,,171,,183,,138,135,,,,,,
Balance Sheet,CWIP,,0,,,,12,,,,59,,75,,2,17,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,0,,0,,0,0,,,,,,
Balance Sheet,Other Assets,,138,,,,175,,,,170,,183,,106,122,,,,,,
Balance Sheet,Total Assets,,307,,,,362,,,,400,,440,,246,274,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,59,,,,88,,,,61,,,,24,37,,,,,,
Cash Flows,Cash from Investing Activity,,-38,,,,-57,,,,-76,,,,-21,-32,,,,,,
Cash Flows,Cash from Financing Activity,,-17,,,,-11,,,,-2,,,,-1,-5,,,,,,
Cash Flows,Net Cash Flow,,5,,,,20,,,,-17,,,,3,1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,101,,,,92,,,,100,,,,117,127,,,,,,
Ratios,Inventory Days,,115,,,,187,,,,185,,,,191,140,,,,,,
Ratios,Days Payable,,82,,,,119,,,,62,,,,117,142,,,,,,
Ratios,Cash Conversion Cycle,,134,,,,159,,,,223,,,,191,125,,,,,,
Ratios,Working Capital Days,,94,,,,82,,,,101,,,,100,114,,,,,,
Ratios,ROCE %,,24%,,,,25%,,,,18%,,,,,14%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,37.46%,37.26%,37.25%,37.23%,37.00%,36.98%,36.92%,36.89%,36.89%,36.76%,,,,36.70%,36.67%,,,
Shareholding Pattern (Quarterly),FIIs,,,,0.49%,2.28%,2.25%,2.72%,2.74%,2.88%,5.13%,5.16%,3.31%,3.81%,,,,3.66%,3.52%,,,
Shareholding Pattern (Quarterly),DIIs,,,,2.04%,2.13%,2.14%,2.14%,1.50%,1.49%,1.50%,1.49%,0.00%,1.15%,,,,1.43%,1.42%,,,
Shareholding Pattern (Quarterly),Public,,,,60.02%,58.35%,58.37%,57.92%,58.75%,58.65%,56.45%,56.45%,59.80%,58.28%,,,,58.20%,58.40%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,18283,18916,17162,17439,18429,19957,18550,19054,20114,21156,,,,26183,29867,,,
,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,37.46%,,,,37.25%,,,,36.92%,,,,37.46%,37.46%,,36.70%,36.67%,37.41%,37.41%,37.41%
Shareholding Pattern (Yearly),FIIs,,0.36%,,,,2.25%,,,,5.13%,,,,0.00%,0.00%,,3.66%,3.52%,0.00%,0.26%,0.09%
Shareholding Pattern (Yearly),DIIs,,1.96%,,,,2.14%,,,,1.50%,,,,0.20%,0.11%,,1.43%,1.42%,0.23%,0.00%,0.20%
Shareholding Pattern (Yearly),Public,,60.22%,,,,58.37%,,,,56.45%,,,,62.34%,62.43%,,58.20%,58.40%,62.36%,62.33%,62.30%
Shareholding Pattern (Yearly),No. of Shareholders,,18332,,,,17162,,,,18550,,,,10495,12152,,26183,29867,13520,10155,10844
,,,,,,,,,,,,,,,,,,,,,,
