Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Total Assets,,,49,,,,83,,,,182,,,,,,,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-15,,,,-9,,,,-43,,,,,,,
Cash Flows,Cash from Investing Activity,,,7,,,,-18,,,,-13,,,,,,,
Cash Flows,Cash from Financing Activity,,,10,,,,24,,,,61,,,,,,,
Cash Flows,Net Cash Flow,,,2,,,,-3,,,,5,,,,,,,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,50,,,,58,,,,79,,,,,,,
Ratios,Inventory Days,,,1,,,,1,,,,1,,,,,,,
Ratios,Days Payable,,,16,,,,18,,,,24,,,,,,,
Ratios,Cash Conversion Cycle,,,34,,,,41,,,,55,,,,,,,
Ratios,Working Capital Days,,,40,,,,54,,,,61,,,,,,,
Ratios,ROCE %,,,,,,,11%,,,,10%,,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,44.79%,,,,,,
Shareholding Pattern (Quarterly),FIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.17%,0.10%,0.00%,0.01%,0.00%,,,,,,
Shareholding Pattern (Quarterly),DIIs,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.58%,0.58%,0.58%,1.83%,,,,,,
Shareholding Pattern (Quarterly),Public,55.22%,55.21%,55.22%,55.21%,55.20%,55.20%,55.18%,55.04%,54.51%,54.63%,54.61%,53.38%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,592,714,754,1412,1873,3650,4144,4247,6246,6651,6842,574,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,44.79%,,,,44.79%,,,,44.79%,,42.85%,28.85%,44.85%,44.85%,44.79%,44.79%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.03%,,,,0.01%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,0.00%,,,,0.58%,,5.36%,7.79%,0.00%,0.00%,3.31%,1.83%
Shareholding Pattern (Yearly),Public,,,55.22%,,,,55.18%,,,,54.61%,,51.80%,63.36%,55.15%,55.15%,51.90%,53.38%
Shareholding Pattern (Yearly),No. of Shareholders,,,754,,,,4144,,,,6842,,281,236,236,302,432,571
,,,,,,,,,,,,,,,,,,,
