Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Interest,,0.45,,,0.28,,,,0.50,,,,0.32,0.74,0.51,0.05,0.11,,,,,,,,
Profit & Loss,Depreciation,,1.42,,,3.09,,,,3.13,,,,3.68,0.95,0.90,1.75,1.26,,,,,,,,
Profit & Loss,Profit before tax,,3.44,,,4.88,,,,-4.62,,,,-0.04,7.04,6.85,4.21,8.43,,,,,,,,
Profit & Loss,Tax %,,29.65%,,,27.25%,,,,-23.81%,,,,475.00%,23.86%,32.85%,27.79%,28.71%,,,,,,,,
Profit & Loss,Net Profit,,2.41,,,3.54,,,,-3.53,,,,-0.23,5.36,4.60,3.04,6.02,,,,,,,,
Profit & Loss,EPS in Rs,,2.35,,,3.45,,,,-3.44,,,,-0.22,7.15,4.47,2.95,5.84,,,,,,,,
Profit & Loss,Dividend Payout %,,0.00%,,,0.00%,,,,0.00%,,,,0.00%,0.00%,3.92%,0.00%,0.00%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,10.25,,,10.25,,,,10.25,,,,10.25,6.00,8.20,8.20,8.20,,,,,,,,
Balance Sheet,Reserves,,58.96,,,61.04,,,,57.45,,,,57.33,25.63,49.42,52.58,58.60,,,,,,,,
Balance Sheet,Borrowings,,5.35,,,0.62,,,,3.97,,,,3.20,7.19,0.00,0.00,0.00,,,,,,,,
Balance Sheet,Other Liabilities,,3.89,,,7.25,,,,5.56,,,,9.04,6.33,7.55,3.28,5.99,,,,,,,,
Balance Sheet,Total Liabilities,,78.45,,,79.16,,,,77.23,,,,79.82,45.15,65.17,64.06,72.79,,,,,,,,
Balance Sheet,Fixed Assets,,37.53,,,28.10,,,,36.31,,,,33.60,8.73,10.80,12.50,26.80,,,,,,,,
Balance Sheet,CWIP,,0.00,,,11.15,,,,1.60,,,,1.60,0.00,0.00,0.00,0.00,,,,,,,,
Balance Sheet,Investments,,1.75,,,2.04,,,,1.94,,,,1.49,1.01,22.01,24.66,1.93,,,,,,,,
Balance Sheet,Other Assets,,39.17,,,37.87,,,,37.38,,,,43.13,35.41,32.36,26.90,44.06,,,,,,,,
Balance Sheet,Total Assets,,78.45,,,79.16,,,,77.23,,,,79.82,45.15,65.17,64.06,72.79,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,9.90,,,1.54,,,,1.45,,,,0.71,-4.29,-4.96,-2.84,15.86,,,,,,,,
Cash Flows,Cash from Investing Activity,,-10.90,,,-4.01,,,,-5.69,,,,0.50,-0.80,-2.97,-3.33,-15.61,,,,,,,,
Cash Flows,Cash from Financing Activity,,4.62,,,-0.46,,,,2.96,,,,-1.19,5.17,14.82,0.00,-0.06,,,,,,,,
Cash Flows,Net Cash Flow,,3.62,,,-2.93,,,,-1.28,,,,0.02,0.07,6.90,-6.17,0.19,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,74.13,,,60.35,,,,75.98,,,,51.64,62.23,29.17,38.78,104.19,,,,,,,,
Ratios,Inventory Days,,198.70,,,175.08,,,,260.16,,,,340.96,264.20,158.45,223.01,239.67,,,,,,,,
Ratios,Days Payable,,48.31,,,29.56,,,,16.66,,,,38.34,84.29,104.66,53.95,79.62,,,,,,,,
Ratios,Cash Conversion Cycle,,224.51,,,205.87,,,,319.49,,,,354.26,242.13,82.96,207.83,264.25,,,,,,,,
Ratios,Working Capital Days,,159.70,,,172.18,,,,241.86,,,,207.13,143.53,53.77,144.65,188.12,,,,,,,,
Ratios,ROCE %,,4.20%,,,7.05%,,,,-1.48%,,,,0.38%,,15.26%,4.86%,12.70%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,69.07%,69.07%,69.07%,69.07%,,,,,69.07%,69.07%,69.07%,69.07%,69.07%,69.07%,69.07%,69.07%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,30.94%,30.93%,30.93%,30.93%,,,,,30.93%,30.93%,30.93%,30.93%,30.93%,30.93%,30.93%,30.88%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,1615,1548,1542,1641,,,,,1647,1430,1787,1961,2062,2843,3428,4571
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,68.06%,,,69.07%,,,,69.07%,,,,69.07%,,66.56%,66.56%,66.78%,,,,69.07%,,,,69.07%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,0.00%,,,,0.00%,,,,0.00%,,0.00%,0.00%,0.00%,,,,0.00%,,,,0.05%
Shareholding Pattern (Yearly),Public,,31.95%,,,30.93%,,,,30.93%,,,,30.93%,,33.44%,33.43%,21.78%,,,,30.93%,,,,30.88%
Shareholding Pattern (Yearly),No. of Shareholders,,512,,,506,,,,1355,,,,1641,,831,641,592,,,,1961,,,,4571
,,,,,,,,,,,,,,,,,,,,,,,,,,
