Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Cash Flows,Cash from Financing Activity,-2942,,,,-2242,,,,-3648,,,,-1252,1721,-1707,-4704,-8452,-7428,-3334,-1979,-1531,
Cash Flows,Net Cash Flow,356,,,,-117,,,,865,,,,674,197,-143,-98,152,-80,109,87,-77,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,76,,,,42,,,,27,,,,24,95,124,76,82,106,83,90,81,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,76,,,,42,,,,27,,,,24,95,124,76,82,106,83,90,81,
Ratios,Working Capital Days,-242,,,,-278,,,,-303,,,,-323,78,110,-85,-111,-309,-261,-276,-219,
Ratios,ROCE %,5%,,,,9%,,,,7%,,,,34%,6%,6%,11%,10%,12%,18%,11%,19%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,4.98%,4.56%,18.67%,18.65%,16.56%,16.50%,16.50%,16.50%,16.50%,16.50%,16.50%,,,,,,,,,19.05%
Shareholding Pattern (Quarterly),FIIs,,,3.05%,11.94%,12.30%,12.92%,12.14%,12.69%,11.77%,12.37%,8.38%,9.00%,11.35%,,,,,,,,,11.00%
Shareholding Pattern (Quarterly),DIIs,,,4.96%,3.84%,3.13%,3.06%,2.85%,2.64%,2.16%,2.26%,1.40%,1.34%,1.36%,,,,,,,,,1.32%
Shareholding Pattern (Quarterly),Government,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,,,,0.01%
Shareholding Pattern (Quarterly),Public,,,86.81%,79.49%,65.74%,65.22%,68.33%,68.03%,69.42%,68.75%,73.59%,73.01%,70.66%,,,,,,,,,68.49%
Shareholding Pattern (Quarterly),Others,,,0.17%,0.16%,0.13%,0.13%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,0.11%,,,,,,,,,0.11%
Shareholding Pattern (Quarterly),No. of Shareholders,,,762545,726465,715006,706968,694313,659168,665729,701583,712104,691842,681395,,,,,,,,,681395
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,4.98%,,,,18.67%,,,,16.50%,,,,16.50%,,,,49.63%,49.54%,40.98%,14.70%,4.98%,19.05%
Shareholding Pattern (Yearly),FIIs,1.43%,,,,12.30%,,,,11.77%,,,,11.35%,,,,20.62%,25.33%,30.73%,13.30%,2.75%,11.00%
Shareholding Pattern (Yearly),DIIs,4.98%,,,,3.13%,,,,2.16%,,,,1.36%,,,,17.20%,12.85%,8.56%,9.46%,9.45%,1.32%
Shareholding Pattern (Yearly),Government,0.02%,,,,0.02%,,,,0.02%,,,,0.02%,,,,0.05%,0.05%,0.05%,0.05%,0.02%,0.01%
Shareholding Pattern (Yearly),Public,88.42%,,,,65.74%,,,,69.42%,,,,70.66%,,,,12.32%,12.05%,19.50%,62.32%,82.63%,68.49%
Shareholding Pattern (Yearly),Others,0.17%,,,,0.13%,,,,0.11%,,,,0.11%,,,,0.18%,0.18%,0.17%,0.17%,0.17%,0.11%
Shareholding Pattern (Yearly),No. of Shareholders,768871,,,,715006,,,,665729,,,,681395,,,,1083526,834899,796426,791973,769692,681395
,,,,,,,,,,,,,,,,,,,,,,,
