Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Expenses,173,,,,283,,,,262,,,,339,134,153,153
Profit & Loss,Operating Profit,12,,,,22,,,,13,,,,22,7,9,9
Profit & Loss,OPM %,6%,,,,7%,,,,5%,,,,6%,5%,6%,5%
Profit & Loss,Other Income,0,,,,0,,,,2,,,,0,0,0,1
Profit & Loss,Interest,3,,,,6,,,,4,,,,12,3,3,2
Profit & Loss,Depreciation,2,,,,2,,,,3,,,,5,1,1,2
Profit & Loss,Profit before tax,7,,,,14,,,,8,,,,5,3,5,6
Profit & Loss,Tax %,24%,,,,26%,,,,23%,,,,28%,29%,28%,30%
Profit & Loss,Net Profit,5,,,,10,,,,6,,,,4,2,3,4
Profit & Loss,EPS in Rs,5.45,,,,10.08,,,,5.60,,,,3.36,2.45,3.41,4.14
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%
,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10,,,,10,,,,11,,,,11,10,10,10
Balance Sheet,Reserves,26,,,,36,,,,81,,,,82,9,12,20
Balance Sheet,Borrowings,34,,,,58,,,,57,,,,132,29,22,50
Balance Sheet,Other Liabilities,5,,,,7,,,,7,,,,11,2,3,10
Balance Sheet,Total Liabilities,75,,,,111,,,,156,,,,236,50,47,90
Balance Sheet,Fixed Assets,26,,,,40,,,,40,,,,150,15,18,22
Balance Sheet,CWIP,4,,,,16,,,,65,,,,0,0,0,0
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0
Balance Sheet,Other Assets,45,,,,55,,,,51,,,,87,35,29,68
Balance Sheet,Total Assets,75,,,,111,,,,156,,,,236,50,47,90
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,27,,,,12,,,,16,,,,-10,-1,15,-22
Cash Flows,Cash from Investing Activity,-8,,,,-26,,,,-53,,,,-49,-4,-6,-5
Cash Flows,Cash from Financing Activity,-18,,,,17,,,,35,,,,61,5,-8,26
Cash Flows,Net Cash Flow,1,,,,3,,,,-2,,,,2,-0,1,-1
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,34,,,,32,,,,36,,,,42,37,31,35
Ratios,Inventory Days,57,,,,33,,,,26,,,,45,60,29,130
Ratios,Days Payable,4,,,,4,,,,4,,,,5,2,1,6
Ratios,Cash Conversion Cycle,87,,,,60,,,,58,,,,82,95,59,158
Ratios,Working Capital Days,77,,,,56,,,,57,,,,76,81,51,133
Ratios,ROCE %,13%,,,,23%,,,,10%,,,,9%,,17%,13%
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,68.39%,68.39%,68.39%,68.39%,68.39%,68.39%,68.39%,61.47%,62.01%,61.47%,61.47%,61.47%,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,2.42%,2.01%,2.93%,2.48%,1.93%,2.22%,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,1.00%,1.00%,1.77%,0.89%,1.62%,1.62%,1.87%,,,
Shareholding Pattern (Quarterly),Public,,31.61%,31.60%,31.60%,31.61%,31.58%,30.62%,28.19%,34.74%,34.15%,34.44%,34.97%,34.44%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,1631,1647,4195,6324,8645,8659,10445,9892,9473,9212,9282,8917,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.39%,,,,68.39%,,,,61.47%,,,,61.47%,68.07%,68.07%,68.07%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,2.01%,,,,2.22%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,1.77%,,,,1.87%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,31.61%,,,,31.61%,,,,34.74%,,,,34.44%,31.93%,31.93%,31.93%
Shareholding Pattern (Yearly),No. of Shareholders,1074,,,,6324,,,,9892,,,,8917,96,99,125
,,,,,,,,,,,,,,,,,
