Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Cash Flows,Cash from Investing Activity,-10,,,,-133,,,,-8,,,,-19,-7,,-12,9,-12,-38,-6,-3,-1
Cash Flows,Cash from Financing Activity,22,,,,85,,,,-19,,,,-26,-30,,-3,-58,-4,-11,-8,-16,9
Cash Flows,Net Cash Flow,28,,,,-33,,,,15,,,,-8,-9,,1,-4,0,2,3,1,-6
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,158,,,,0,,,,,,,,,235,,377,343,411,345,382,191,326
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,158,,,,0,,,,,,,,,235,,377,343,411,345,382,191,326
Ratios,Working Capital Days,-57,,,,6396,,,,,,,,,203,,168,-9,-51,-314,-356,-394,209
Ratios,ROCE %,2%,,,,8%,,,,8%,,,,9%,5%,,4%,0%,3%,4%,4%,4%,4%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.77%,43.54%,42.77%,35.07%,35.07%,35.07%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.07%,0.14%,0.14%,0.13%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,56.23%,56.23%,56.23%,56.25%,56.24%,56.23%,56.11%,56.40%,57.16%,64.79%,64.79%,64.78%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,33603,34534,33854,33109,32562,33297,30950,33636,34180,36032,35199,34566,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,43.77%,,,,43.77%,,,,43.54%,,,,35.07%,,,,7.24%,7.24%,7.23%,7.24%,0.00%,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.05%,,,,0.13%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,8.57%,8.59%,8.57%,8.57%,8.57%,
Shareholding Pattern (Yearly),Public,56.23%,,,,56.25%,,,,56.40%,,,,64.78%,,,,84.19%,84.17%,84.20%,84.19%,91.43%,
Shareholding Pattern (Yearly),No. of Shareholders,33882,,,,33109,,,,33636,,,,34566,,,,26058,24380,23426,22573,22229,
,,,,,,,,,,,,,,,,,,,,,,,
