Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024
Balance Sheet,Other Assets,,173.64,,,,149.55,,,,175.72,,,,185.08,169.45,191.47,220.65,212.77,241.67,225.74,240.57,176.66,,,,,,,
Balance Sheet,Total Assets,,208.47,,,,182.24,,,,207.07,,,,194.94,179.91,200.23,235.07,233.41,261.40,244.92,256.79,206.76,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,-2.64,,,,-8.58,,,,0.00,,,,-60.80,2.16,-7.37,8.89,29.65,-3.83,4.70,-2.47,0.00,,,,,,,
Cash Flows,Cash from Investing Activity,,-19.05,,,,0.70,,,,0.00,,,,-7.49,-0.66,-0.74,-5.77,-6.59,0.72,-0.12,2.03,0.00,,,,,,,
Cash Flows,Cash from Financing Activity,,25.02,,,,4.81,,,,0.00,,,,71.04,5.39,0.07,-3.95,-18.26,2.28,-4.50,-1.98,0.00,,,,,,,
Cash Flows,Net Cash Flow,,3.33,,,,-3.07,,,,0.00,,,,2.76,6.89,-8.04,-0.83,4.80,-0.84,0.08,-2.41,0.00,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,31.71,,,,72.16,,,,112.10,,,,35.00,15.43,90.61,159.95,64.97,86.59,69.23,81.24,119.48,,,,,,,
Ratios,Inventory Days,,,,,,2927.79,,,,,,,,,,1088.37,,,,,1465.90,,,,,,,,
Ratios,Days Payable,,,,,,648.49,,,,,,,,,,715.83,,,,,1219.44,,,,,,,,
Ratios,Cash Conversion Cycle,,31.71,,,,2351.47,,,,112.10,,,,35.00,15.43,463.14,159.95,64.97,86.59,69.23,327.70,119.48,,,,,,,
Ratios,Working Capital Days,,187.26,,,,446.44,,,,208.34,,,,166.98,139.10,198.86,252.70,172.56,181.79,157.13,190.09,339.03,,,,,,,
Ratios,ROCE %,,-24.55%,,,,-18.64%,,,,-3.69%,,,,16.29%,10.21%,15.74%,2.52%,8.54%,7.94%,10.27%,4.84%,0.44%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,27.42%,27.42%,27.42%,27.42%,,,,,,,,,27.42%,27.42%,27.42%,27.42%,27.42%,27.42%,27.42%,27.42%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.00%,0.00%,1.01%,1.01%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,72.58%,72.58%,71.58%,71.57%,,,,,,,,,72.58%,72.58%,72.58%,72.59%,72.58%,72.58%,72.57%,72.58%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,21584,22000,22032,22988,,,,,,,,,22766,22654,22422,22299,22317,22338,22725,23497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,27.42%,,,,27.42%,,,,27.42%,,,,,,,,,27.42%,27.42%,27.42%,27.42%,,,,27.42%,,,27.42%
Shareholding Pattern (Yearly),DIIs,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,,0.01%,0.00%,0.00%,0.00%,,,,0.00%,,,0.00%
Shareholding Pattern (Yearly),Public,,72.58%,,,,72.58%,,,,72.58%,,,,,,,,,72.57%,72.58%,72.58%,72.58%,,,,72.58%,,,72.58%
Shareholding Pattern (Yearly),No. of Shareholders,,14273,,,,14860,,,,21584,,,,,,,,,11208,15627,15017,22766,,,,22317,,,23497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
