Section,,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Interest,7,,,,6,,,,7,,,,7,1,4,5,6,6,5,3,1,,,,,,,,
Profit & Loss,Depreciation,62,,,,55,,,,54,,,,62,3,7,12,15,18,25,30,38,,,,,,,,
Profit & Loss,Profit before tax,34,,,,11,,,,-2,,,,2,15,18,5,13,28,15,62,56,,,,,,,,
Profit & Loss,Tax %,-39%,,,,-28%,,,,-222%,,,,-1245%,17%,17%,-8%,24%,1%,-38%,28%,20%,,,,,,,,
Profit & Loss,Net Profit,47,,,,14,,,,3,,,,20,13,15,5,10,27,21,44,45,,,,,,,,
Profit & Loss,EPS in Rs,20.01,,,,6.04,,,,1.24,,,,8.66,409.74,482.79,174.68,316.50,875.00,10.80,18.84,19.03,,,,,,,,
Profit & Loss,Dividend Payout %,5%,,,,8%,,,,40%,,,,12%,0%,0%,0%,0%,0%,0%,5%,5%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,12,,,,12,0.31,0.31,0.31,0.31,0.31,2,12,12,,,,,,,,
Balance Sheet,Reserves,596,,,,611,,,,613,,,,665,101,146,176,188,216,236,508,550,,,,,,,,
Balance Sheet,Borrowings,73,,,,57,,,,80,,,,60,1,43,52,46,56,80,7,18,,,,,,,,
Balance Sheet,Other Liabilities,239,,,,205,,,,203,,,,176,21,33,52,65,70,98,136,246,,,,,,,,
Balance Sheet,Total Liabilities,921,,,,886,,,,907,,,,912,123,222,280,299,341,416,663,826,,,,,,,,
Balance Sheet,Fixed Assets,588,,,,558,,,,550,,,,581,63,125,143,158,168,205,268,526,,,,,,,,
Balance Sheet,CWIP,20,,,,21,,,,14,,,,15,3,3,15,24,30,52,2,7,,,,,,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,,,,,,,,
Balance Sheet,Other Assets,313,,,,307,,,,343,,,,316,56,94,122,117,143,159,392,293,,,,,,,,
Balance Sheet,Total Assets,921,,,,886,,,,907,,,,912,123,222,280,299,341,416,663,826,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,75,,,,77,,,,46,,,,80,6,11,13,33,43,31,84,11,,,,,,,,
Cash Flows,Cash from Investing Activity,-49,,,,-77,,,,-36,,,,-25,-50,-92,-38,-29,-47,-59,-193,-43,,,,,,,,
Cash Flows,Cash from Financing Activity,-28,,,,-15,,,,-2,,,,-52,58,69,29,-9,5,33,163,8,,,,,,,,
Cash Flows,Net Cash Flow,-2,,,,-15,,,,7,,,,3,14,-11,4,-5,2,5,53,-24,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,9,,,,8,,,,4,,,,3,11,4,10,9,9,6,7,10,,,,,,,,
Ratios,Inventory Days,49,,,,57,,,,51,,,,41,79,64,58,52,48,46,48,53,,,,,,,,
Ratios,Days Payable,32,,,,38,,,,32,,,,32,47,33,42,43,38,42,53,38,,,,,,,,
Ratios,Cash Conversion Cycle,25,,,,27,,,,24,,,,13,44,35,26,18,19,10,2,25,,,,,,,,
Ratios,Working Capital Days,22,,,,30,,,,21,,,,17,31,25,19,16,16,4,6,22,,,,,,,,
Ratios,ROCE %,7%,,,,3%,,,,3%,,,,1%,,15%,5%,9%,16%,6%,15%,10%,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,71.17%,71.18%,71.18%,71.18%,,,,,,,,,69.96%,69.75%,64.30%,64.27%,64.21%,59.53%,59.53%,54.92%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,4.63%,3.54%,3.48%,3.52%,,,,,,,,,3.37%,2.92%,5.40%,5.35%,5.41%,6.31%,7.37%,6.84%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,13.27%,11.23%,11.20%,11.23%,,,,,,,,,11.00%,11.25%,11.11%,10.63%,10.69%,8.96%,4.14%,8.51%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,10.93%,14.06%,14.13%,14.06%,,,,,,,,,15.68%,16.07%,19.18%,19.76%,19.70%,25.21%,28.97%,29.73%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,13991,13718,13109,13033,,,,,,,,,13591,13198,15096,16739,17581,21031,21290,19906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,71.44%,,,,71.48%,,,,71.49%,,,,71.18%,,,,,,,71.43%,71.43%,,,,64.27%,,,,54.92%
Shareholding Pattern (Yearly),FIIs,8.19%,,,,4.78%,,,,4.86%,,,,3.52%,,,,,,,8.24%,9.03%,,,,5.35%,,,,6.84%
Shareholding Pattern (Yearly),DIIs,15.53%,,,,16.44%,,,,13.63%,,,,11.23%,,,,,,,15.80%,15.00%,,,,10.63%,,,,8.51%
Shareholding Pattern (Yearly),Public,4.84%,,,,7.30%,,,,10.02%,,,,14.06%,,,,,,,4.53%,4.54%,,,,19.76%,,,,29.73%
Shareholding Pattern (Yearly),No. of Shareholders,11041,,,,13583,,,,14015,,,,13033,,,,,,,13015,11933,,,,16739,,,,19906
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
