Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 20206m,Mar 2021,Mar 2020
Shareholding Pattern (Quarterly),Public,,49.23%,48.87%,48.69%,48.50%,48.51%,48.69%,49.09%,48.93%,49.05%,47.98%,48.46%,48.24%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,129406,130992,128507,127198,131336,140672,140829,152703,146010,128875,127392,126617,,,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,49.41%,,,,49.48%,,,,49.32%,,,,49.41%,,,
Shareholding Pattern (Yearly),FIIs,1.25%,,,,1.53%,,,,1.52%,,,,1.81%,,,
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.45%,,,,0.20%,,,,0.48%,,,
Shareholding Pattern (Yearly),Government,0.04%,,,,0.05%,,,,0.04%,,,,0.04%,,,
Shareholding Pattern (Yearly),Public,49.29%,,,,48.50%,,,,48.93%,,,,48.24%,,,
Shareholding Pattern (Yearly),No. of Shareholders,127306,,,,127198,,,,152703,,,,126617,,,
,,,,,,,,,,,,,,,,,
