Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,1,0,3,0,0,0,
Balance Sheet,Investments,36,,,,70,,,,83,,,,114,5,4,3,10,35,49,56,71,
Balance Sheet,Other Assets,140,,,,120,,,,136,,,,168,15,21,39,49,73,75,56,92,
Balance Sheet,Total Assets,399,,,,406,,,,389,,,,412,27,32,48,64,115,134,213,245,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,81,,,,77,,,,44,,,,50,6,5,8,9,9,20,60,36,
Cash Flows,Cash from Investing Activity,-47,,,,-71,,,,-24,,,,-27,-8,-2,-2,-7,-29,-12,-47,-20,
Cash Flows,Cash from Financing Activity,-15,,,,-14,,,,-15,,,,-13,1,-1,-0,4,33,-1,-12,-4,
Cash Flows,Net Cash Flow,18,,,,-8,,,,4,,,,10,-1,2,5,7,12,6,1,12,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,91,,,,61,,,,75,,,,80,57,79,83,58,81,68,78,80,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,91,,,,61,,,,75,,,,80,57,79,83,58,81,68,78,80,
Ratios,Working Capital Days,17,,,,26,,,,47,,,,178,51,69,75,73,95,83,70,64,
Ratios,ROCE %,27%,,,,19%,,,,12%,,,,17%,40%,25%,45%,23%,23%,18%,18%,19%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,74.32%,74.32%,74.32%,74.19%,74.18%,74.18%,74.18%,73.98%,73.98%,73.98%,74.04%,,,,,,,,,74.44%
Shareholding Pattern (Quarterly),FIIs,,,0.13%,0.00%,0.00%,0.05%,0.09%,0.09%,0.29%,0.29%,0.31%,0.54%,0.56%,,,,,,,,,0.46%
Shareholding Pattern (Quarterly),DIIs,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.01%,0.01%,0.01%,0.01%,0.00%,0.00%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,25.54%,25.66%,25.65%,25.74%,25.71%,25.71%,25.51%,25.72%,25.71%,25.48%,25.41%,,,,,,,,,25.10%
Shareholding Pattern (Quarterly),No. of Shareholders,,,22034,22097,25237,26908,28653,29328,28397,28179,27240,25856,25047,,,,,,,,,25130
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,74.56%,,,,74.32%,,,,74.18%,,,,74.04%,,,,,73.59%,73.59%,74.97%,74.97%,74.44%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.29%,,,,0.56%,,,,,0.00%,0.00%,0.00%,0.00%,0.46%
Shareholding Pattern (Yearly),DIIs,0.32%,,,,0.02%,,,,0.01%,,,,0.00%,,,,,6.25%,0.63%,0.00%,0.23%,0.00%
Shareholding Pattern (Yearly),Public,25.12%,,,,25.65%,,,,25.51%,,,,25.41%,,,,,20.16%,25.78%,25.03%,24.80%,25.10%
Shareholding Pattern (Yearly),No. of Shareholders,18361,,,,25237,,,,28397,,,,25047,,,,,646,632,1875,5568,25130
,,,,,,,,,,,,,,,,,,,,,,,
