Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,TTM,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Ratios,Inventory Days,,,,116,,,,106,,,,114,,75,77,90,103,88,94,100,123,131,,,,,,
Ratios,Days Payable,,,,48,,,,37,,,,64,,42,48,39,58,38,52,54,68,64,,,,,,
Ratios,Cash Conversion Cycle,,,,76,,,,77,,,,66,,44,43,62,58,64,52,55,69,76,,,,,,
Ratios,Working Capital Days,,,,32,,,,38,,,,46,,28,-24,-46,-50,-33,-23,-13,-6,30,,,,,,
Ratios,ROCE %,,,,27%,,,,29%,,,,25%,,5%,7%,12%,16%,12%,15%,18%,11%,17%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.90%,63.90%,63.90%,63.90%,63.61%,63.09%,63.09%,62.91%,62.67%,62.67%,60.20%,60.23%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,23.93%,25.01%,26.45%,26.00%,26.71%,27.55%,26.58%,25.79%,25.32%,24.18%,25.27%,22.98%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,5.31%,4.45%,3.42%,3.67%,3.16%,3.36%,3.58%,4.16%,4.54%,4.97%,7.00%,9.19%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,6.86%,6.62%,6.20%,6.41%,6.52%,6.01%,6.74%,7.16%,7.46%,8.19%,7.52%,7.59%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,173935,235804,244975,261286,353742,375534,440278,489887,509607,698759,742488,873915,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,64.89%,,,,63.90%,,,,62.91%,,,,60.23%,,,,,,,,,,,73.66%,73.57%,73.56%,68.04%,66.40%
Shareholding Pattern (Yearly),FIIs,21.03%,,,,26.00%,,,,25.79%,,,,22.98%,,,,,,,,,,,10.55%,13.41%,13.51%,19.82%,20.28%
Shareholding Pattern (Yearly),DIIs,7.21%,,,,3.67%,,,,4.16%,,,,9.19%,,,,,,,,,,,1.07%,4.91%,6.42%,6.30%,5.90%
Shareholding Pattern (Yearly),Public,6.87%,,,,6.41%,,,,7.16%,,,,7.59%,,,,,,,,,,,14.72%,8.11%,6.51%,5.84%,7.42%
Shareholding Pattern (Yearly),No. of Shareholders,137208,,,,261286,,,,489887,,,,873915,,,,,,,,,,,51090,31531,30235,46360,56213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
