Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Inventory Days,56,51,53,48,54,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,176,174,187,193,177,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-119,-120,-132,-143,-122,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-42,-51,-76,-72,-58,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,87%,134%,176%,179%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,18.70%,19.46%,21.11%,21.50%,21.80%,24.08%,24.62%,24.51%,24.44%,24.94%,23.72%,22.23%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.83%,8.99%,7.55%,7.34%,7.52%,5.59%,5.60%,5.82%,5.72%,5.55%,6.57%,7.84%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,0.29%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,0.28%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,21.19%,20.25%,20.05%,19.87%,19.41%,19.03%,18.50%,18.38%,18.54%,18.22%,18.44%,18.65%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,284849,275524,272862,266827,252955,237907,238200,231061,248801,239193,265337,282973,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,51.00%,,,,51.00%,,,,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%,51.00%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,21.50%,,,,24.51%,,,,22.23%,16.25%,12.66%,15.37%,16.19%,16.90%,18.64%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,7.34%,,,,5.82%,,,,7.84%,9.05%,14.00%,10.18%,9.96%,10.02%,8.07%
Shareholding Pattern (Yearly),Government,,,,,,,,,0.28%,,,,0.28%,,,,0.28%,0.00%,0.20%,0.20%,0.20%,0.28%,0.28%
Shareholding Pattern (Yearly),Public,,,,,,,,,19.87%,,,,18.38%,,,,18.65%,23.70%,22.14%,23.25%,22.65%,21.80%,22.01%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,266827,,,,231061,,,,282973,176245,163724,175724,213510,229327,307586
,,,,,,,,,,,,,,,,,,,,,,,,
