Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Balance Sheet,Equity Capital,38,,,,38,,,,43,,,,52,1,17,17,25,25,
Balance Sheet,Reserves,9,,,,18,,,,97,,,,352,16,51,61,32,18,
Balance Sheet,Borrowings,53,,,,59,,,,58,,,,47,29,0,10,94,20,
Balance Sheet,Other Liabilities,20,,,,22,,,,55,,,,48,12,19,28,19,104,
Balance Sheet,Total Liabilities,119,,,,136,,,,253,,,,501,58,88,115,170,168,
Balance Sheet,Fixed Assets,62,,,,69,,,,126,,,,142,30,42,51,122,108,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,0,0,20,0,0,
Balance Sheet,Investments,0,,,,0,,,,0,,,,14,0,0,0,0,0,
Balance Sheet,Other Assets,57,,,,67,,,,127,,,,344,29,45,43,48,60,
Balance Sheet,Total Assets,119,,,,136,,,,253,,,,501,58,88,115,170,168,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,27,,,,22,,,,27,,,,28,12,9,32,22,-2,
Cash Flows,Cash from Investing Activity,-3,,,,-8,,,,-70,,,,-224,-23,-22,-43,-98,-4,
Cash Flows,Cash from Financing Activity,-24,,,,-14,,,,58,,,,192,12,16,9,77,5,
Cash Flows,Net Cash Flow,0,,,,1,,,,16,,,,-5,1,3,-2,1,-1,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,70,,,,101,,,,149,,,,105,79,102,77,79,96,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,70,,,,101,,,,149,,,,105,79,102,77,79,96,
Ratios,Working Capital Days,58,,,,77,,,,141,,,,146,44,55,26,48,62,
Ratios,ROCE %,16%,,,,17%,,,,22%,,,,15%,,25%,17%,1%,-11%,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,70.13%,70.13%,70.13%,67.79%,67.79%,62.67%,67.79%,60.68%,60.64%,51.45%,52.37%,,,,,,52.30%
Shareholding Pattern (Quarterly),FIIs,,,4.17%,4.17%,1.46%,1.40%,1.15%,1.13%,2.02%,5.13%,3.19%,16.53%,16.14%,,,,,,16.12%
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,1.36%,1.25%,0.69%,0.60%,0.60%,0.72%,0.52%,,,,,,0.52%
Shareholding Pattern (Quarterly),Public,,,25.70%,25.70%,28.42%,30.81%,29.71%,34.94%,29.51%,33.60%,35.57%,31.29%,30.96%,,,,,,31.06%
Shareholding Pattern (Quarterly),No. of Shareholders,,,11787,14867,14435,14751,17013,21331,26860,34656,56594,52793,70196,,,,,,70198
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.13%,,,,70.13%,,,,67.79%,,,,52.37%,,59.61%,60.51%,65.24%,70.13%,52.30%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,1.46%,,,,2.02%,,,,16.14%,,0.00%,0.00%,0.00%,0.00%,16.12%
Shareholding Pattern (Yearly),DIIs,4.17%,,,,0.00%,,,,0.69%,,,,0.52%,,11.42%,9.06%,0.12%,0.10%,0.52%
Shareholding Pattern (Yearly),Public,25.70%,,,,28.42%,,,,29.51%,,,,30.96%,,28.97%,30.44%,34.63%,29.77%,31.06%
Shareholding Pattern (Yearly),No. of Shareholders,11171,,,,14435,,,,26860,,,,70196,,1048,853,1022,1736,70198
,,,,,,,,,,,,,,,,,,,,
