Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2006,Mar 2007,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Dividend Payout %,,,0%,,,,0%,,,,0%,,,0%,0%,11%,6%,6%,9%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,16,,,,16,,,,16,,16,7,7,15,16,16,16,,,,,,,,,,,
Balance Sheet,Reserves,,,138,,,,114,,,,104,,108,2,2,146,204,202,135,,,,,,,,,,,
Balance Sheet,Borrowings,,,274,,,,257,,,,208,,129,4,3,68,360,539,483,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,24,,,,19,,,,26,,26,2,2,13,34,49,22,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,452,,,,407,,,,354,,280,14,15,242,614,807,656,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,4,,,,2,,,,2,,2,1,1,1,1,2,4,,,,,,,,,,,
Balance Sheet,CWIP,,,0,,,,0,,,,0,,0,0,0,0,0,0,0,,,,,,,,,,,
Balance Sheet,Investments,,,38,,,,41,,,,43,,0,3,4,0,0,0,0,,,,,,,,,,,
Balance Sheet,Other Assets,,,410,,,,364,,,,309,,278,10,10,240,613,805,651,,,,,,,,,,,
Balance Sheet,Total Assets,,,452,,,,407,,,,354,,280,14,15,242,614,807,656,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,252,,,,18,,,,16,,,-1,0,-20,-334,-185,74,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-37,,,,-0,,,,-0,,,-0,-0,-1,-31,-1,-0,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-213,,,,-14,,,,-49,,,2,-0,73,311,176,-56,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,2,,,,4,,,,-34,,,1,-0,52,-54,-10,18,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,0,,,,0,,,,0,,,12,12,24,0,0,0,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,28,44,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,0,,,,0,,,,0,,,39,53,24,0,0,0,,,,,,,,,,,
Ratios,Working Capital Days,,,-14,,,,-25,,,,15,,,207,179,307,609,370,5,,,,,,,,,,,
Ratios,ROCE %,,,14%,,,,1%,,,,5%,,,,6%,,21%,11%,18%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,66.95%,66.95%,,,,,,,,66.95%,66.95%,66.95%,66.95%,66.95%,66.95%,66.95%,64.86%,64.86%,64.68%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,0.00%,0.00%,,,,,,,,17.27%,17.27%,17.27%,17.27%,17.27%,17.28%,17.27%,16.62%,16.61%,16.61%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,17.27%,17.27%,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,14.91%,14.90%,,,,,,,,14.91%,14.91%,14.91%,14.90%,14.92%,14.89%,14.90%,17.68%,17.68%,17.87%
Shareholding Pattern (Quarterly),Others,,,,,,,,,,,,0.88%,0.88%,,,,,,,,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.88%,0.85%,0.85%,0.85%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,8427,8319,,,,,,,,8477,8781,8613,8881,9268,9496,9209,10868,10542,10934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,66.17%,,,,66.95%,,,,66.95%,,,,,,65.64%,65.94%,66.17%,,,66.95%,,,,66.95%,,,,64.68%
Shareholding Pattern (Yearly),FIIs,,,0.00%,,,,0.00%,,,,0.00%,,,,,,0.00%,0.10%,0.00%,,,17.27%,,,,17.28%,,,,16.61%
Shareholding Pattern (Yearly),DIIs,,,17.27%,,,,17.27%,,,,17.27%,,,,,,0.09%,17.28%,17.27%,,,0.00%,,,,0.00%,,,,0.00%
Shareholding Pattern (Yearly),Public,,,15.68%,,,,14.91%,,,,14.91%,,,,,,33.38%,15.80%,15.68%,,,14.91%,,,,14.89%,,,,17.87%
Shareholding Pattern (Yearly),Others,,,0.88%,,,,0.88%,,,,0.88%,,,,,,0.88%,0.88%,0.88%,,,0.88%,,,,0.88%,,,,0.85%
Shareholding Pattern (Yearly),No. of Shareholders,,,6346,,,,7085,,,,8151,,,,,,7217,6643,6432,,,8781,,,,9496,,,,10934
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
