Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Feb 2016
Profit & Loss,Net Profit,61,,,,7,,,,46,,,,32,9,-0,4,-0,10,12,19,19,
Profit & Loss,EPS in Rs,11.26,,,,1.26,,,,8.29,,,,5.70,2.00,0.00,0.83,-0.07,1.99,2.46,3.83,3.80,
Profit & Loss,Dividend Payout %,9%,,,,99%,,,,18%,,,,26%,0%,,0%,0%,0%,0%,13%,20%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,27,,,,27,,,,28,,,,28,23,23,25,25,25,25,25,25,
Balance Sheet,Reserves,504,,,,509,,,,551,,,,574,655,640,417,417,399,412,431,445,
Balance Sheet,Borrowings,43,,,,51,,,,60,,,,95,102,136,112,93,58,64,54,54,
Balance Sheet,Other Liabilities,119,,,,108,,,,140,,,,229,47,37,84,251,138,132,113,116,
Balance Sheet,Total Liabilities,693,,,,695,,,,778,,,,925,826,836,638,786,620,633,623,641,
Balance Sheet,Fixed Assets,250,,,,265,,,,279,,,,270,349,308,287,310,293,278,273,255,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,38,38,38,0,0,0,0,0,
Balance Sheet,Investments,9,,,,6,,,,6,,,,8,5,5,8,7,7,8,8,8,
Balance Sheet,Other Assets,434,,,,424,,,,493,,,,647,435,486,305,468,319,347,342,378,
Balance Sheet,Total Assets,693,,,,695,,,,778,,,,925,826,836,638,786,620,633,623,641,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,15,,,,49,,,,68,,,,,3,0,23,26,32,19,31,49,
Cash Flows,Cash from Investing Activity,-6,,,,-12,,,,-3,,,,,20,1,8,2,4,5,-11,-12,
Cash Flows,Cash from Financing Activity,-8,,,,-13,,,,-10,,,,,-21,1,-35,-31,-24,-32,-20,-3,
Cash Flows,Net Cash Flow,1,,,,24,,,,54,,,,,2,2,-4,-3,13,-8,-0,34,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,150,,,,88,,,,80,,,,85,364,487,249,513,244,299,224,167,
Ratios,Inventory Days,50,,,,39,,,,43,,,,38,93,107,96,110,110,93,67,61,
Ratios,Days Payable,67,,,,34,,,,45,,,,50,28,23,118,200,195,64,113,111,
Ratios,Cash Conversion Cycle,133,,,,93,,,,77,,,,73,430,571,227,423,159,328,177,118,
Ratios,Working Capital Days,201,,,,133,,,,124,,,,120,457,573,237,230,212,311,250,215,
Ratios,ROCE %,9%,,,,13%,,,,10%,,,,10%,3%,2%,4%,4%,5%,4%,6%,5%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,53.21%,52.95%,52.82%,52.63%,52.57%,52.39%,52.26%,52.19%,52.09%,51.71%,51.33%,51.19%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.20%,0.54%,0.60%,0.42%,0.13%,0.00%,1.08%,1.01%,1.81%,2.01%,1.67%,1.44%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.11%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,46.59%,46.50%,46.57%,46.94%,47.30%,47.61%,46.67%,46.80%,46.10%,46.28%,47.01%,47.25%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,36891,38051,37831,38256,38415,40562,43133,57385,56212,69205,75838,76740,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.21%,,,,52.63%,,,,52.19%,,,,51.19%,,,,48.45%,48.97%,49.05%,49.20%,49.95%,48.13%
Shareholding Pattern (Yearly),FIIs,0.34%,,,,0.42%,,,,1.01%,,,,1.44%,,,,0.04%,0.04%,0.04%,0.04%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.11%,,,,0.01%,0.00%,0.00%,0.00%,0.00%,0.11%
Shareholding Pattern (Yearly),Public,46.45%,,,,46.94%,,,,46.80%,,,,47.25%,,,,51.50%,50.99%,50.91%,50.75%,50.05%,51.76%
Shareholding Pattern (Yearly),No. of Shareholders,38698,,,,38256,,,,57385,,,,76740,,,,25313,22452,21376,20602,21715,25783
,,,,,,,,,,,,,,,,,,,,,,,
