Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2014,Jun 2015,Mar 20169m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2016
Balance Sheet,Other Liabilities,32.70,,,,20.54,,,,10.15,,,,32.00,56.56,55.93,,54.12,171.04,158.15,203.76,84.40,93.25
Balance Sheet,Total Liabilities,85.46,,,,56.96,,,,37.66,,,,35.88,277.93,181.58,,346.12,266.41,238.09,427.47,163.71,402.06
Balance Sheet,Fixed Assets,56.11,,,,44.80,,,,0.00,,,,0.00,53.02,50.97,,147.59,132.70,119.29,242.18,68.94,159.47
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.45,1.94,,2.65,0.97,0.95,0.95,0.50,1.88
Balance Sheet,Investments,0.00,,,,3.40,,,,3.40,,,,0.00,0.00,11.21,,9.40,6.76,4.61,62.77,39.12,6.03
Balance Sheet,Other Assets,29.35,,,,8.76,,,,34.26,,,,35.88,224.46,117.46,,186.48,125.98,113.24,121.57,55.15,234.68
Balance Sheet,Total Assets,85.46,,,,56.96,,,,37.66,,,,35.88,277.93,181.58,,346.12,266.41,238.09,427.47,163.71,402.06
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-40.07,,,,1.45,,,,-0.65,,,,-3.75,329.45,139.99,,-18.01,-22.37,-25.02,14.95,1.01,-40.39
Cash Flows,Cash from Investing Activity,45.58,,,,-1.32,,,,0.43,,,,2.35,9.64,-15.15,,6.76,28.15,9.05,5.57,0.49,-138.80
Cash Flows,Cash from Financing Activity,-5.70,,,,0.00,,,,0.00,,,,1.37,-355.57,-118.92,,12.44,-6.61,14.91,-20.50,-5.09,177.48
Cash Flows,Net Cash Flow,-0.19,,,,0.13,,,,-0.22,,,,-0.03,-16.48,5.92,,1.20,-0.84,-1.06,0.02,-3.58,-1.71
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,463.27,,,,601.93,,,,631.02,,,,,97.71,21.01,,294.52,147.05,120.25,115.64,108.60,396.61
Ratios,Inventory Days,790.23,,,,,,,,,,,,,11.91,20.04,,62.35,138.89,131.10,107.97,197.83,92.10
Ratios,Days Payable,1078.74,,,,,,,,,,,,,14.91,42.74,,116.10,227.69,261.62,267.04,218.51,381.75
Ratios,Cash Conversion Cycle,174.76,,,,601.93,,,,631.02,,,,,94.71,-1.69,,240.77,58.25,-10.27,-43.43,87.92,106.96
Ratios,Working Capital Days,-724.15,,,,-7482.50,,,,3427.29,,,,,106.55,30.54,,272.63,-204.46,-186.10,-181.49,-295.48,525.72
Ratios,ROCE %,-18.59%,,,,-0.98%,,,,5.78%,,,,-10.82%,2.96%,7.37%,,-2.39%,-8.92%,-18.04%,-10.13%,-12.47%,-6.22%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,50.96%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.02%,0.02%,0.03%,0.02%,0.02%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,49.02%,49.02%,49.01%,49.02%,49.00%,49.02%,49.04%,49.03%,49.04%,49.03%,49.04%,49.04%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,32443,33423,33961,33775,35061,35162,35808,40119,35912,38079,40065,41689,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,50.96%,,,,50.96%,,,,50.96%,,,,50.96%,,,,74.95%,74.95%,74.95%,74.95%,74.95%,
Shareholding Pattern (Yearly),FIIs,0.02%,,,,0.02%,,,,0.00%,,,,0.00%,,,,6.74%,5.44%,5.44%,5.44%,4.76%,
Shareholding Pattern (Yearly),Public,49.02%,,,,49.02%,,,,49.03%,,,,49.04%,,,,18.32%,19.61%,19.61%,19.61%,20.29%,
Shareholding Pattern (Yearly),No. of Shareholders,28621,,,,33775,,,,40119,,,,41689,,,,6612,7914,7871,7899,8580,
,,,,,,,,,,,,,,,,,,,,,,,
