Section,,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,Investments,5,26,3,11,10,10,6,7,7,6,1,8,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,82,125,147,200,134,129,158,146,132,131,154,72,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,101,168,164,220,148,142,180,169,156,157,186,104,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,22,67,-40,-2,-29,-26,-7,4,7,7,-45,69,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,-9,-28,16,8,17,1,-9,-1,7,-5,14,9,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,2,-5,20,15,-38,8,30,-5,-3,3,27,-75,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,16,33,-4,21,-49,-17,14,-2,11,5,-5,3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,3,2,2,1,8,14,23,19,10,12,13,6,,,,,,,,,,,,,,,,
Ratios,Inventory Days,10,6,10,8,13,56,64,32,12,18,51,13,,,,,,,,,,,,,,,,
Ratios,Days Payable,4,6,2,2,1,2,8,1,2,2,7,1,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,9,3,10,7,20,68,78,49,20,27,57,19,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,11,4,12,12,24,72,81,58,30,58,92,22,,,,,,,,,,,,,,,,
Ratios,ROCE %,9%,44%,-9%,26%,-18%,-3%,-0%,-0%,3%,4%,5%,0%,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,,70.45%,70.45%,70.45%,51.53%,51.53%,45.35%,36.84%,36.84%,36.84%,36.84%,36.84%,41.00%,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,,0.00%,0.00%,0.00%,8.65%,8.65%,4.88%,4.87%,1.38%,0.00%,0.00%,0.00%,0.00%,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,,29.55%,29.55%,29.55%,39.82%,39.81%,49.76%,58.29%,61.78%,63.16%,63.16%,63.16%,59.00%,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,,8269,8010,8041,8830,9422,10159,10446,13075,14267,13537,14229,14267,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,67.30%,67.30%,,,,51.53%,,,,36.84%,,,,41.00%,67.30%,67.30%,70.45%,70.45%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,0.00%,0.00%,,,,8.65%,,,,1.38%,,,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,32.70%,32.70%,,,,39.82%,,,,61.78%,,,,59.00%,32.70%,32.70%,29.55%,29.55%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,4650,3632,,,,8830,,,,13075,,,,14267,3771,3847,4037,8003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
