Section,,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2023,Jun 2022,Sep 2022,Dec 2022,Mar 2022
Profit & Loss,Expenses,,,,969,,,,,2244,,,,2386,537,639,720,785,899,1042,1857,,,,
Profit & Loss,Operating Profit,,,,255,,,,,169,,,,151,49,67,54,68,89,125,246,,,,
Profit & Loss,OPM %,,,,21%,,,,,7%,,,,6%,8%,9%,7%,8%,9%,11%,12%,,,,
Profit & Loss,Other Income,,,,7,,,,,14,,,,10,4,4,5,5,7,4,8,,,,
Profit & Loss,Interest,,,,19,,,,,27,,,,46,14,17,18,27,26,24,17,,,,
Profit & Loss,Depreciation,,,,41,,,,,66,,,,82,29,42,27,36,36,38,56,,,,
Profit & Loss,Profit before tax,,,,202,,,,,91,,,,33,10,12,14,10,33,67,180,,,,
Profit & Loss,Tax %,,,,30%,,,,,-6%,,,,34%,33%,18%,-1%,44%,28%,26%,32%,,,,
Profit & Loss,Net Profit,,,,141,,,,,96,,,,22,7,10,14,6,24,50,122,,,,
Profit & Loss,EPS in Rs,,,,48.90,,,,,33.47,,,,8.05,2.34,3.49,5.03,2.00,8.45,17.33,42.43,,,,
Profit & Loss,Dividend Payout %,,,,4%,,,,,10%,,,,34%,0%,0%,0%,0%,0%,6%,14%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,29,,,,,29,,,,29,29,29,29,29,29,29,29,,,,
Balance Sheet,Reserves,,,,557,,,,,946,,,,964,326,332,339,345,369,418,858,,,,
Balance Sheet,Borrowings,,,,187,,,,,329,,,,527,144,253,272,252,230,181,291,,,,
Balance Sheet,Other Liabilities,,,,221,,,,,466,,,,574,146,133,155,146,141,171,413,,,,
Balance Sheet,Total Liabilities,,,,993,,,,,1770,,,,2093,644,746,794,771,769,799,1590,,,,
Balance Sheet,Fixed Assets,,,,579,,,,,960,,,,1019,460,434,632,609,574,569,826,,,,
Balance Sheet,CWIP,,,,48,,,,,90,,,,150,31,131,0,0,12,30,99,,,,
Balance Sheet,Investments,,,,0,,,,,0,,,,0,0,0,0,0,0,0,0,,,,
Balance Sheet,Other Assets,,,,366,,,,,720,,,,925,153,181,162,162,183,201,665,,,,
Balance Sheet,Total Assets,,,,993,,,,,1770,,,,2093,644,746,794,771,769,799,1590,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,148,,,,,170,,,,67,61,50,67,56,31,135,102,,,,
Cash Flows,Cash from Investing Activity,,,,-87,,,,,-164,,,,-208,-95,-141,-72,-10,-14,-37,-197,,,,
Cash Flows,Cash from Financing Activity,,,,-23,,,,,-7,,,,142,34,94,0,-47,-17,-80,71,,,,
Cash Flows,Net Cash Flow,,,,38,,,,,-1,,,,1,0,2,-5,-1,-0,18,-24,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,26,,,,,42,,,,46,24,19,17,21,18,11,36,,,,
Ratios,Inventory Days,,,,57,,,,,42,,,,42,52,37,53,43,47,54,46,,,,
Ratios,Days Payable,,,,66,,,,,70,,,,38,81,64,81,68,58,55,60,,,,
Ratios,Cash Conversion Cycle,,,,17,,,,,14,,,,51,-5,-8,-11,-5,8,9,22,,,,
Ratios,Working Capital Days,,,,12,,,,,27,,,,37,-11,-10,-16,-10,3,-7,31,,,,
Ratios,ROCE %,,,,32%,,,,,9%,,,,6%,,5%,5%,6%,10%,14%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,51.01%,51.02%,50.98%,50.98%,50.90%,50.90%,50.86%,50.90%,,,,,,,51.01%,51.01%,51.01%,51.01%,
Shareholding Pattern (Quarterly),FIIs,,,,,,4.76%,5.72%,4.65%,4.89%,4.76%,5.56%,6.00%,6.35%,,,,,,,4.76%,4.83%,4.75%,4.83%,
Shareholding Pattern (Quarterly),DIIs,,,,,,8.93%,3.87%,1.63%,0.98%,1.11%,5.95%,5.31%,5.75%,,,,,,,5.48%,1.60%,1.68%,2.94%,
Shareholding Pattern (Quarterly),Public,,,,,,35.29%,39.39%,42.73%,43.15%,43.24%,37.59%,37.82%,37.00%,,,,,,,38.75%,42.56%,42.56%,41.22%,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,78454,88833,100309,98695,94028,79592,82661,78493,,,,,,,88049,86350,94301,91898,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,55.88%,,,,,50.98%,,,,50.90%,,,56.85%,54.21%,54.46%,55.74%,51.01%,,,,51.01%
Shareholding Pattern (Yearly),FIIs,,,,0.83%,,,,,4.89%,,,,6.35%,,,0.00%,1.36%,0.47%,0.77%,4.76%,,,,4.86%
Shareholding Pattern (Yearly),DIIs,,,,0.25%,,,,,0.98%,,,,5.75%,,,0.25%,0.12%,1.15%,1.32%,5.48%,,,,2.12%
Shareholding Pattern (Yearly),Public,,,,43.04%,,,,,43.15%,,,,37.00%,,,42.90%,44.30%,43.92%,42.17%,38.75%,,,,42.01%
Shareholding Pattern (Yearly),No. of Shareholders,,,,23769,,,,,98695,,,,78493,,,15203,11915,15432,15621,88049,,,,78534
,,,,,,,,,,,,,,,,,,,,,,,,,
