Section,,Mar 2011,Dec 2011,Mar 2012,Mar 2013,Dec 2013,Mar 2014,Dec 2014,Mar 2015,Dec 2015,Mar 2016,Dec 2024,Mar 2025,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Ratios,Working Capital Days,15,,7,16,,4,,29,,22,,124,,,,,,,,,,,,,,,,
Ratios,ROCE %,,,41%,28%,,20%,,6%,,15%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,38.87%,38.85%,53.63%,39.13%,39.10%,39.00%,39.00%,38.98%,38.93%,38.93%,38.90%,38.89%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,8.02%,7.73%,0.17%,0.45%,0.56%,0.51%,0.40%,1.14%,1.28%,1.70%,3.93%,5.52%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,28.91%,29.13%,19.13%,28.32%,28.67%,29.28%,30.87%,31.75%,32.30%,32.15%,31.52%,31.88%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,,0.06%,0.07%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.06%,0.06%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,24.14%,24.21%,27.07%,32.09%,31.69%,31.21%,29.75%,28.13%,27.50%,27.21%,25.59%,23.67%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,48946,48538,25974,28576,29306,29343,25643,27000,27794,29075,34675,34294,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,38.85%,,,,39.00%,,,,38.93%,,,67.99%,53.75%,53.75%,53.87%,53.82%,53.67%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,7.73%,,,,0.51%,,,,1.70%,,,0.08%,1.58%,1.59%,1.59%,0.00%,0.20%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,29.13%,,,,29.28%,,,,32.15%,,,18.30%,24.16%,23.58%,23.97%,21.10%,19.11%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,0.07%,,,,0.00%,,,,0.02%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,24.21%,,,,31.21%,,,,27.21%,,,13.62%,20.51%,21.08%,20.57%,25.08%,27.02%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,48538,,,,29343,,,,29075,,,17272,24794,24381,23675,25329,25791
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
