Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Sep 2021
Profit & Loss,Other Income,1,,,,3,,,,25,,,,3,0,1,1,2,
Profit & Loss,Interest,23,,,,31,,,,29,,,,26,7,9,10,13,
Profit & Loss,Depreciation,18,,,,36,,,,38,,,,43,6,8,9,7,
Profit & Loss,Profit before tax,1,,,,11,,,,42,,,,29,12,13,6,-2,
Profit & Loss,Tax %,-8%,,,,30%,,,,24%,,,,27%,37%,25%,30%,-25%,
Profit & Loss,Net Profit,1,,,,8,,,,32,,,,21,8,9,5,-2,
Profit & Loss,EPS in Rs,0.82,,,,7.08,,,,23.37,,,,14.17,10.47,9.22,5.04,-1.46,
Profit & Loss,Dividend Payout %,0%,,,,14%,,,,5%,,,,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,12,,,,12,,,,14,,,,15,7,10,10,12,
Balance Sheet,Reserves,70,,,,78,,,,186,,,,232,22,58,64,67,
Balance Sheet,Borrowings,287,,,,266,,,,220,,,,219,50,73,80,107,
Balance Sheet,Other Liabilities,55,,,,52,,,,28,,,,34,20,34,55,45,
Balance Sheet,Total Liabilities,424,,,,408,,,,449,,,,499,100,175,209,230,
Balance Sheet,Fixed Assets,238,,,,216,,,,230,,,,216,22,37,39,64,
Balance Sheet,CWIP,0,,,,2,,,,0,,,,8,4,8,16,2,
Balance Sheet,Investments,10,,,,10,,,,10,,,,11,2,9,10,10,
Balance Sheet,Other Assets,176,,,,179,,,,208,,,,264,73,120,143,154,
Balance Sheet,Total Assets,424,,,,408,,,,449,,,,499,100,175,209,230,
,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,29,,,,38,,,,1,,,,,12,-6,21,-4,
Cash Flows,Cash from Investing Activity,-24,,,,-16,,,,-35,,,,,-10,-38,-17,-16,
Cash Flows,Cash from Financing Activity,-6,,,,-24,,,,34,,,,,-1,45,-3,20,
Cash Flows,Net Cash Flow,-1,,,,-1,,,,0,,,,,1,1,1,-0,
,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,91,,,,105,,,,123,,,,136,76,82,92,92,
Ratios,Inventory Days,,,,,,,,,,,,,,3,1,7,,
Ratios,Days Payable,,,,,,,,,,,,,,126,96,291,,
Ratios,Cash Conversion Cycle,91,,,,105,,,,123,,,,136,-48,-13,-192,92,
Ratios,Working Capital Days,87,,,,94,,,,123,,,,138,60,73,66,98,
Ratios,ROCE %,9%,,,,12%,,,,15%,,,,12%,,21%,11%,6%,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,61.22%,,61.22%,,61.22%,61.22%,61.22%,61.22%,52.76%,52.76%,51.54%,51.88%,52.51%,,,,,61.22%
Shareholding Pattern (Quarterly),FIIs,0.00%,,0.18%,,0.18%,0.18%,4.35%,5.19%,8.03%,8.60%,8.14%,8.01%,8.36%,,,,,0.00%
Shareholding Pattern (Quarterly),DIIs,24.18%,,24.00%,,24.00%,21.48%,8.39%,1.69%,1.44%,1.44%,1.41%,1.61%,1.59%,,,,,24.45%
Shareholding Pattern (Quarterly),Public,14.58%,,14.59%,,14.59%,17.12%,26.03%,31.89%,37.77%,37.20%,38.92%,38.49%,37.54%,,,,,14.32%
Shareholding Pattern (Quarterly),No. of Shareholders,262,,291,,271,996,2346,3791,7519,8959,8971,10664,10615,,,,,271
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,61.22%,,,,61.22%,,,,52.76%,,,,52.51%,,69.99%,69.99%,61.22%,
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.18%,,,,8.03%,,,,8.36%,,0.00%,0.00%,0.00%,
Shareholding Pattern (Yearly),DIIs,24.18%,,,,24.00%,,,,1.44%,,,,1.59%,,16.95%,18.20%,24.60%,
Shareholding Pattern (Yearly),Public,14.58%,,,,14.59%,,,,37.77%,,,,37.54%,,13.05%,11.81%,14.17%,
Shareholding Pattern (Yearly),No. of Shareholders,262,,,,271,,,,7519,,,,10615,,363,302,276,
,,,,,,,,,,,,,,,,,,,
