Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Other Income,,,,,,,,,1401,,,,2646,390,419,353,441,335,232,601,288,252,447,,,,,
Profit & Loss,Interest,,,,,,,,,276,,,,216,67,66,92,153,206,170,170,140,146,195,,,,,
Profit & Loss,Depreciation,,,,,,,,,1628,,,,2478,494,513,630,1461,1219,1154,1153,1162,1152,1645,,,,,
Profit & Loss,Profit before tax,,,,,,,,,5896,,,,5922,1498,1774,1173,2008,2768,2919,3875,3992,5164,3729,,,,,
Profit & Loss,Tax %,,,,,,,,,20%,,,,13%,15%,16%,31%,29%,30%,-2%,28%,22%,28%,19%,,,,,
Profit & Loss,Net Profit,,,,,,,,,4735,,,,5158,1278,1487,808,1434,1945,2973,2783,3107,3711,3024,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,16.26,,,,16.92,8.27,9.59,5.21,5.57,7.64,10.97,10.55,11.91,14.00,13.01,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,12%,,,,12%,44%,46%,54%,50%,47%,14%,14%,151%,45%,19%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,397,,,,440,,,,493,309,310,310,397,397,397,397,397,397,,,,,,
Balance Sheet,Reserves,,,,,31301,,,,41012,,,,52951,9153,9760,9961,19424,20275,21973,23681,22360,24957,,,,,,
Balance Sheet,Borrowings,,,,,523,,,,699,,,,788,48,34,35,29,24,40,41,471,477,,,,,,
Balance Sheet,Other Liabilities,,,,,19501,,,,22916,,,,26709,3446,3774,3827,12974,14813,14981,16059,16490,19374,,,,,,
Balance Sheet,Total Liabilities,,,,,51721,,,,65067,,,,80941,12956,13878,14133,32824,35509,37391,40178,39718,45205,,,,,,
Balance Sheet,Fixed Assets,,,,,23551,,,,32194,,,,42578,6147,6310,6170,21410,20898,20636,20701,20486,22254,,,,,,
Balance Sheet,CWIP,,,,,2526,,,,2658,,,,9886,698,692,416,582,667,1008,1554,2422,2168,,,,,,
Balance Sheet,Investments,,,,,214,,,,849,,,,1912,1714,2097,2149,175,153,133,150,167,198,,,,,,
Balance Sheet,Other Assets,,,,,25430,,,,29365,,,,26566,4399,4780,5398,10657,13791,15613,17773,16643,20585,,,,,,
Balance Sheet,Total Assets,,,,,51721,,,,65067,,,,80941,12956,13878,14133,32824,35509,37391,40178,39718,45205,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,735,,,,5646,,,,2237,1267,1675,1557,2810,3416,1703,4739,4832,5309,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-14481,,,,-8941,,,,-7529,-496,-456,-83,-4165,-738,-765,-1191,-1317,-2007,,,,,,
Cash Flows,Cash from Financing Activity,,,,,2931,,,,5689,,,,5592,-672,-721,-900,-958,-1015,-719,-629,-3956,-516,,,,,,
Cash Flows,Net Cash Flow,,,,,-10815,,,,2394,,,,301,99,498,574,-2312,1663,220,2919,-441,2786,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,11,,,,13,,,,17,9,8,11,17,14,18,14,8,8,,,,,,
Ratios,Inventory Days,,,,,234,,,,238,,,,238,419,379,394,339,323,333,208,193,337,,,,,,
Ratios,Days Payable,,,,,198,,,,196,,,,154,251,265,299,324,370,339,231,259,359,,,,,,
Ratios,Cash Conversion Cycle,,,,,46,,,,56,,,,100,176,123,107,32,-33,13,-9,-58,-14,,,,,,
Ratios,Working Capital Days,,,,,45,,,,10,,,,-19,-54,-61,-65,-67,-62,-34,-56,-80,-73,,,,,,
Ratios,ROCE %,,,,,12%,,,,13%,,,,10%,16%,18%,11%,11%,12%,12%,14%,14%,17%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,63.20%,63.22%,63.22%,63.22%,63.20%,63.19%,63.19%,66.74%,70.33%,67.57%,67.57%,67.57%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,12.82%,11.05%,10.66%,11.16%,12.45%,11.65%,11.88%,11.09%,9.59%,10.61%,9.14%,8.60%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,14.98%,16.26%,16.71%,14.48%,14.14%,15.26%,15.56%,14.24%,13.03%,14.98%,16.41%,17.09%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Government,,0.26%,0.26%,0.26%,0.26%,0.26%,0.26%,0.26%,0.23%,0.21%,0.21%,0.21%,0.21%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,8.75%,9.23%,9.13%,10.87%,9.94%,9.63%,9.10%,7.69%,6.83%,6.64%,6.66%,6.51%,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,436449,498485,468817,704994,618776,598147,564847,542773,611804,605551,633718,644696,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,63.19%,,,,63.22%,,,,66.74%,,,,67.57%,,,,,,,,,,,63.62%,63.55%,63.45%,63.28%,63.29%
Shareholding Pattern (Yearly),FIIs,12.97%,,,,11.16%,,,,11.09%,,,,8.60%,,,,,,,,,,,18.35%,16.45%,17.91%,15.66%,17.75%
Shareholding Pattern (Yearly),DIIs,16.25%,,,,14.48%,,,,14.24%,,,,17.09%,,,,,,,,,,,10.77%,12.95%,10.92%,14.16%,12.11%
Shareholding Pattern (Yearly),Government,0.26%,,,,0.26%,,,,0.23%,,,,0.21%,,,,,,,,,,,0.04%,0.14%,0.00%,0.20%,0.26%
Shareholding Pattern (Yearly),Public,7.34%,,,,10.87%,,,,7.69%,,,,6.51%,,,,,,,,,,,7.22%,6.92%,7.72%,6.71%,6.59%
Shareholding Pattern (Yearly),No. of Shareholders,437838,,,,704994,,,,542773,,,,644696,,,,,,,,,,,179684,167494,168983,179094,237224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
