Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,May 2025
Balance Sheet,Total Liabilities,20.86,,,,45.47,,,,61.70,,,,91.80,14.76,17.54,
Balance Sheet,Fixed Assets,0.23,,,,0.28,,,,0.94,,,,0.82,0.04,0.04,
Balance Sheet,CWIP,0.00,,,,0.15,,,,0.15,,,,0.00,0.00,0.00,
Balance Sheet,Investments,0.01,,,,0.01,,,,0.01,,,,0.02,0.01,0.01,
Balance Sheet,Other Assets,20.62,,,,45.03,,,,60.60,,,,90.96,14.71,17.49,
Balance Sheet,Total Assets,20.86,,,,45.47,,,,61.70,,,,91.80,14.76,17.54,
,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3.69,,,,-6.92,,,,-1.93,,,,-14.30,-3.59,3.19,
Cash Flows,Cash from Investing Activity,-0.09,,,,-0.07,,,,-0.05,,,,-0.05,-0.03,-0.01,
Cash Flows,Cash from Financing Activity,2.24,,,,10.42,,,,-1.59,,,,14.01,4.09,-1.21,
Cash Flows,Net Cash Flow,-1.55,,,,3.43,,,,-3.57,,,,-0.35,0.47,1.97,
,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,7.04,,,,112.90,,,,79.96,,,,95.65,57.53,82.22,
Ratios,Inventory Days,39.55,,,,,,,,,,,,,,584.71,
Ratios,Days Payable,21.97,,,,,,,,,,,,,,705.19,
Ratios,Cash Conversion Cycle,24.63,,,,112.90,,,,79.96,,,,95.65,57.53,-38.26,
Ratios,Working Capital Days,65.06,,,,185.03,,,,139.67,,,,189.26,50.83,40.19,
Ratios,ROCE %,27.41%,,,,23.11%,,,,18.36%,,,,21.30%,,47.81%,
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,35.42%,35.42%,,35.42%,35.42%,35.42%,35.30%,35.30%,35.30%,35.30%,35.29%,35.29%,,,24.43%
Shareholding Pattern (Quarterly),FIIs,,0.00%,0.00%,,0.48%,0.89%,0.88%,0.44%,1.07%,0.23%,0.62%,0.60%,0.61%,,,3.86%
Shareholding Pattern (Quarterly),DIIs,,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,5.51%,,,8.80%
Shareholding Pattern (Quarterly),Public,,64.59%,64.58%,,64.10%,63.70%,63.71%,64.27%,63.63%,64.47%,64.08%,64.10%,58.61%,,,62.89%
Shareholding Pattern (Quarterly),No. of Shareholders,,275,345,,717,923,1062,1871,4023,14975,14063,17875,20245,,,20048
,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,68.80%,,,,35.42%,,,,35.30%,,,,35.29%,,68.80%,24.43%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.48%,,,,1.07%,,,,0.61%,,0.00%,3.86%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,5.51%,,0.00%,8.80%
Shareholding Pattern (Yearly),Public,31.21%,,,,64.10%,,,,63.63%,,,,58.61%,,31.20%,62.89%
Shareholding Pattern (Yearly),No. of Shareholders,167,,,,717,,,,4023,,,,20245,,180,20048
,,,,,,,,,,,,,,,,,
