Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Cash Flows,Cash from Operating Activity,2.70,,,,34.22,,,,-29.47,,,,1.23,3.75,-4.18,-3.06,7.21,-3.85,6.32,-2.69,0.78,,,,
Cash Flows,Cash from Investing Activity,-2.75,,,,-24.87,,,,42.82,,,,5.32,0.22,-1.33,4.31,2.65,4.35,-16.95,4.00,6.35,,,,
Cash Flows,Cash from Financing Activity,-1.50,,,,-7.41,,,,-3.39,,,,-5.34,-2.34,-1.41,-1.21,-1.46,-0.98,11.38,-2.95,-5.57,,,,
Cash Flows,Net Cash Flow,-1.55,,,,1.94,,,,9.96,,,,1.21,1.63,-6.92,0.03,8.40,-0.48,0.75,-1.65,1.55,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,14.59,,,,23.82,,,,13.88,,,,10.88,6.10,34.16,28.48,21.91,25.90,23.20,28.93,19.65,,,,
Ratios,Inventory Days,343.26,,,,,,,,293.54,,,,675.03,,,1597.15,378.35,229.60,615.44,845.26,,,,,
Ratios,Days Payable,174.48,,,,,,,,236.30,,,,455.77,,,1210.03,332.97,347.99,756.64,559.85,,,,,
Ratios,Cash Conversion Cycle,183.37,,,,23.82,,,,71.13,,,,230.13,6.10,34.16,415.60,67.28,-92.49,-118.00,314.35,19.65,,,,
Ratios,Working Capital Days,135.44,,,,671.38,,,,325.06,,,,92.78,84.31,237.54,251.44,146.74,102.00,49.40,94.14,246.27,,,,
Ratios,ROCE %,13.08%,,,,1.79%,,,,-0.58%,,,,1.50%,1.55%,1.72%,-3.82%,-1.00%,2.00%,4.38%,3.13%,0.32%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,56.59%,58.54%,60.93%,60.93%,61.18%,61.71%,62.25%,62.50%,,,,,,,,,62.50%,62.72%,63.78%,64.19%
Shareholding Pattern (Quarterly),DIIs,,,,,,9.21%,7.22%,4.23%,3.84%,3.71%,3.67%,3.67%,3.67%,,,,,,,,,3.67%,3.67%,3.41%,3.41%
Shareholding Pattern (Quarterly),Government,,,,,,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%,0.60%,,,,,,,,,0.60%,0.60%,0.60%,0.60%
Shareholding Pattern (Quarterly),Public,,,,,,33.61%,33.64%,34.24%,34.64%,34.51%,34.02%,33.48%,33.23%,,,,,,,,,33.23%,33.02%,32.21%,31.80%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,3741,3705,3679,3601,3569,3509,3432,3443,,,,,,,,,3568,3511,3544,3433
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.24%,,,,55.96%,,,,60.93%,,,,62.50%,,,,,48.34%,48.34%,48.34%,48.50%,,,,64.19%
Shareholding Pattern (Yearly),DIIs,9.51%,,,,9.33%,,,,3.84%,,,,3.67%,,,,,11.76%,11.85%,11.76%,11.33%,,,,3.41%
Shareholding Pattern (Yearly),Government,0.90%,,,,0.60%,,,,0.60%,,,,0.60%,,,,,0.90%,0.90%,0.90%,0.90%,,,,0.60%
Shareholding Pattern (Yearly),Public,36.38%,,,,34.12%,,,,34.64%,,,,33.23%,,,,,39.01%,38.93%,39.01%,39.29%,,,,31.80%
Shareholding Pattern (Yearly),No. of Shareholders,3895,,,,3788,,,,3601,,,,3443,,,,,4600,4626,4407,4231,,,,3433
,,,,,,,,,,,,,,,,,,,,,,,,,,
