Section,,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Balance Sheet,CWIP,1.42,1.42,1.42,1.42,1.42,0.00,1.42,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,22.24,21.79,21.14,20.89,18.32,16.94,16.67,18.48,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,97.10,73.97,68.23,64.01,54.87,50.42,47.09,44.42,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-2.89,-9.00,-0.05,-1.49,7.79,5.71,2.52,0.49,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,0.63,19.50,1.94,0.86,3.50,0.00,0.00,1.42,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,2.21,-10.33,-2.06,0.61,-11.29,-5.70,-2.53,0.00,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,-0.05,0.17,-0.17,-0.02,0.00,0.01,-0.01,1.91,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,188.48,161.66,100.87,290.24,5183.00,-6296.25,,,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,1458.23,1180.88,1310.17,3809.10,58692.00,12986.32,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,1819.68,641.25,835.20,2026.22,15184.00,1690.53,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,-172.97,701.29,575.85,2073.13,48691.00,4999.54,,,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,810.78,1364.01,1344.53,4846.14,98185.00,41427.50,,,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,-5.24%,-5.24%,-6.24%,3.60%,1.62%,-0.37%,-7.84%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,34.20%,34.20%,34.17%,34.16%,34.16%,34.16%,34.16%,34.10%,34.10%,34.10%,34.10%,34.10%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,65.41%,65.42%,65.44%,65.45%,65.46%,65.45%,65.45%,65.51%,65.51%,65.50%,65.50%,65.51%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,20113,20040,20286,20267,20293,21029,21188,23447,24238,25181,28294,28778,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,34.16%,,,,34.10%,,,,34.10%,34.50%,34.50%,34.50%,34.50%,34.20%,34.20%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.39%,,,,0.39%,,,,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%,0.39%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,65.45%,,,,65.51%,,,,65.51%,65.11%,65.11%,65.11%,65.11%,65.41%,65.41%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,20267,,,,23447,,,,28778,11514,11400,11388,11384,13387,19925
,,,,,,,,,,,,,,,,,,,,,,,,,,,
