Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Profit & Loss,Net Profit,,,,,,,,,434,,,,455,19,16,26,727,151,507,538,,,,,
Profit & Loss,EPS in Rs,,,,,,,,,50.90,,,,53.33,2.23,1.90,3.01,85.27,17.72,59.47,63.09,,,,,
Profit & Loss,Dividend Payout %,,,,,,,,,24%,,,,0%,34%,53%,50%,12%,17%,23%,19%,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,,,85,,,,85,,,,85,85,85,85,85,85,85,,,,,,
Balance Sheet,Reserves,,,,,3055,,,,3383,,,,3735,1356,1365,1377,2087,2149,2630,,,,,,
Balance Sheet,Borrowings,,,,,22,,,,21,,,,42,1445,1282,1199,108,7,24,,,,,,
Balance Sheet,Other Liabilities,,,,,1238,,,,1316,,,,1280,722,680,759,970,1045,1277,,,,,,
Balance Sheet,Total Liabilities,,,,,4400,,,,4805,,,,5143,3608,3412,3420,3250,3286,4017,,,,,,
Balance Sheet,Fixed Assets,,,,,1762,,,,1822,,,,1958,2573,2498,2162,2035,1989,1869,,,,,,
Balance Sheet,CWIP,,,,,225,,,,483,,,,975,80,36,44,53,17,68,,,,,,
Balance Sheet,Investments,,,,,32,,,,50,,,,25,61,58,0,0,4,9,,,,,,
Balance Sheet,Other Assets,,,,,2380,,,,2450,,,,2185,895,821,1214,1162,1276,2071,,,,,,
Balance Sheet,Total Assets,,,,,4400,,,,4805,,,,5143,3608,3412,3420,3250,3286,4017,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,,,629,,,,437,,,,584,293,252,376,327,339,589,,,,,,
Cash Flows,Cash from Investing Activity,,,,,-306,,,,-539,,,,-1305,-128,-59,-73,981,-54,98,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-119,,,,-105,,,,-112,-80,-261,-216,-1193,-201,-28,,,,,,
Cash Flows,Net Cash Flow,,,,,203,,,,-208,,,,-833,85,-68,87,115,84,659,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,47,,,,63,,,,57,71,63,61,79,101,73,,,,,,
Ratios,Inventory Days,,,,,22,,,,32,,,,69,102,91,66,57,72,37,,,,,,
Ratios,Days Payable,,,,,156,,,,235,,,,349,447,348,293,327,477,312,,,,,,
Ratios,Cash Conversion Cycle,,,,,-87,,,,-139,,,,-224,-274,-194,-166,-190,-303,-202,,,,,,
Ratios,Working Capital Days,,,,,-9,,,,-11,,,,-26,-50,-42,-33,-24,13,-3,,,,,,
Ratios,ROCE %,,,,,21%,,,,17%,,,,17%,,5%,5%,10%,10%,17%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,75.00%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,2.65%,2.77%,2.80%,2.77%,2.85%,2.89%,2.25%,2.31%,3.03%,2.42%,2.27%,2.63%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,7.97%,7.77%,7.80%,8.01%,7.76%,7.44%,7.22%,7.45%,6.84%,6.88%,6.81%,6.49%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,14.38%,14.45%,14.39%,14.23%,14.38%,14.67%,15.52%,15.23%,15.13%,15.70%,15.92%,15.90%,,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,51974,50995,50481,44457,44137,49724,54661,52221,60138,63324,66819,67569,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,75.00%,,,,75.00%,,,,75.00%,,,,75.00%,,,,,,,,75.00%,75.00%,75.00%,75.03%,75.00%
Shareholding Pattern (Yearly),FIIs,2.59%,,,,2.77%,,,,2.31%,,,,2.63%,,,,,,,,5.82%,2.93%,1.54%,1.98%,1.62%
Shareholding Pattern (Yearly),DIIs,8.31%,,,,8.01%,,,,7.45%,,,,6.49%,,,,,,,,10.31%,13.05%,13.83%,13.02%,11.42%
Shareholding Pattern (Yearly),Public,14.10%,,,,14.23%,,,,15.23%,,,,15.90%,,,,,,,,8.87%,9.02%,9.63%,9.97%,11.96%
Shareholding Pattern (Yearly),No. of Shareholders,48537,,,,44457,,,,52221,,,,67569,,,,,,,,19627,21084,20131,19537,23783
,,,,,,,,,,,,,,,,,,,,,,,,,,
