Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2009,Mar 2010,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2020,Mar 2021,Mar 2017,Mar 2018,Mar 2019
Ratios,Inventory Days,264,,,,184,,,,199,,,,159,266,64,187,207,118,141,156,308,,,
Ratios,Days Payable,108,,,,70,,,,92,,,,105,38,52,91,114,60,63,75,134,,,
Ratios,Cash Conversion Cycle,156,,,,114,,,,107,,,,54,230,13,100,93,58,79,81,174,,,
Ratios,Working Capital Days,118,,,,88,,,,80,,,,49,163,13,-262,-59,-32,-27,66,131,,,
Ratios,ROCE %,4%,,,,4%,,,,11%,,,,17%,-5%,-68%,,0%,1%,8%,,3%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,53.56%,53.57%,53.57%,53.57%,54.26%,54.26%,54.28%,54.28%,54.30%,54.30%,54.30%,54.24%,,,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.40%,6.47%,6.40%,6.40%,6.37%,6.36%,6.36%,6.57%,6.69%,0.80%,0.91%,1.31%,,,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,1.53%,1.53%,1.53%,1.91%,0.37%,0.37%,0.37%,0.36%,0.43%,4.34%,5.98%,6.70%,,,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,38.51%,38.45%,38.51%,38.13%,39.00%,39.01%,38.99%,38.80%,38.60%,40.57%,38.82%,37.75%,,,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,19513,19744,19729,19597,18634,17324,16166,16244,16862,24101,26877,35125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.56%,,,,53.57%,,,,54.28%,,,,54.24%,,,,,,,53.62%,54.00%,52.71%,51.36%,51.14%
Shareholding Pattern (Yearly),FIIs,6.44%,,,,6.40%,,,,6.57%,,,,1.31%,,,,,,,6.45%,6.45%,0.00%,9.44%,10.37%
Shareholding Pattern (Yearly),DIIs,1.54%,,,,1.91%,,,,0.36%,,,,6.70%,,,,,,,5.22%,0.00%,0.09%,1.97%,4.52%
Shareholding Pattern (Yearly),Government,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,0.01%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,38.46%,,,,38.13%,,,,38.80%,,,,37.75%,,,,,,,34.71%,39.55%,47.19%,37.23%,33.97%
Shareholding Pattern (Yearly),No. of Shareholders,19493,,,,19597,,,,16244,,,,35125,,,,,,,24377,21552,17569,23917,23225
,,,,,,,,,,,,,,,,,,,,,,,,,
