Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2019,Mar 2020,Mar 2021,May 2025,Mar 2017,Mar 2018
Profit & Loss,Operating Profit,57,,,,82,,,,96,,,,83,32,43,51,,,
Profit & Loss,OPM %,21%,,,,23%,,,,23%,,,,20%,17%,20%,25%,,,
Profit & Loss,Other Income,4,,,,9,,,,6,,,,10,0,-1,4,,,
Profit & Loss,Interest,12,,,,21,,,,24,,,,30,6,8,8,,,
Profit & Loss,Depreciation,16,,,,19,,,,25,,,,30,8,11,16,,,
Profit & Loss,Profit before tax,33,,,,51,,,,53,,,,33,17,22,30,,,
Profit & Loss,Tax %,27%,,,,27%,,,,26%,,,,27%,44%,23%,22%,,,
Profit & Loss,Net Profit,24,,,,37,,,,39,,,,24,10,17,23,,,
Profit & Loss,EPS in Rs,22.18,,,,34.72,,,,36.54,,,,22.02,9.50,15.74,21.79,,,
Profit & Loss,Dividend Payout %,5%,,,,4%,,,,4%,,,,0%,0%,6%,5%,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,11,,,,11,,,,11,,,,11,10,11,11,,,
Balance Sheet,Reserves,121,,,,157,,,,194,,,,215,56,74,97,,,
Balance Sheet,Borrowings,163,,,,203,,,,289,,,,314,85,88,107,,,
Balance Sheet,Other Liabilities,56,,,,73,,,,86,,,,97,45,49,56,,,
Balance Sheet,Total Liabilities,351,,,,444,,,,580,,,,637,196,222,271,,,
Balance Sheet,Fixed Assets,178,,,,227,,,,304,,,,323,95,108,140,,,
Balance Sheet,CWIP,4,,,,2,,,,6,,,,5,0,0,1,,,
Balance Sheet,Investments,0,,,,0,,,,0,,,,1,0,0,0,,,
Balance Sheet,Other Assets,170,,,,215,,,,270,,,,309,101,114,130,,,
Balance Sheet,Total Assets,351,,,,444,,,,580,,,,637,196,222,271,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,12,,,,60,,,,35,,,,57,19,33,39,,,
Cash Flows,Cash from Investing Activity,-56,,,,-76,,,,-93,,,,-46,-31,-26,-49,,,
Cash Flows,Cash from Financing Activity,44,,,,18,,,,55,,,,-11,11,-7,10,,,
Cash Flows,Net Cash Flow,-0,,,,2,,,,-2,,,,0,-0,0,0,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,104,,,,86,,,,96,,,,110,98,92,99,,,
Ratios,Inventory Days,230,,,,317,,,,402,,,,464,206,222,254,,,
Ratios,Days Payable,118,,,,125,,,,150,,,,150,123,102,168,,,
Ratios,Cash Conversion Cycle,215,,,,278,,,,348,,,,425,181,213,185,,,
Ratios,Working Capital Days,163,,,,141,,,,177,,,,202,113,113,141,,,
Ratios,ROCE %,18%,,,,22%,,,,18%,,,,12%,,20%,20%,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,53.41%,53.39%,53.38%,53.35%,53.35%,53.34%,53.30%,53.33%,53.32%,53.31%,51.30%,,,,42.67%,,
Shareholding Pattern (Quarterly),FIIs,,,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.07%,0.01%,0.00%,0.00%,0.03%,,,,8.84%,,
Shareholding Pattern (Quarterly),DIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.05%,0.05%,,,,2.59%,,
Shareholding Pattern (Quarterly),Public,,,46.51%,46.53%,46.54%,46.58%,46.58%,46.58%,46.62%,46.66%,46.64%,46.63%,48.62%,,,,45.89%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,13371,12950,12826,13347,14924,16704,16395,16592,16535,15979,15076,,,,15244,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,53.45%,,,,53.38%,,,,53.30%,,,,51.30%,51.08%,53.19%,53.35%,42.67%,51.22%,51.32%
Shareholding Pattern (Yearly),FIIs,0.08%,,,,0.07%,,,,0.07%,,,,0.03%,0.00%,0.00%,0.03%,8.84%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.05%,0.00%,0.00%,0.01%,2.59%,0.01%,0.01%
Shareholding Pattern (Yearly),Public,46.47%,,,,46.54%,,,,46.62%,,,,48.62%,48.92%,46.81%,46.61%,45.89%,48.77%,48.68%
Shareholding Pattern (Yearly),No. of Shareholders,13929,,,,12826,,,,16395,,,,15076,8420,8327,10178,15244,7315,8756
,,,,,,,,,,,,,,,,,,,,
