Section,,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,TTM,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Sales,,,1000,,,,975,,,,1080,,,434,538,698,767,755,671,785,840,665,1044,,,,,,,,,,
Profit & Loss,Expenses,,,1058,,,,769,,,,892,,,306,342,475,629,639,596,726,791,801,896,,,,,,,,,,
Profit & Loss,Operating Profit,,,-58,,,,206,,,,188,,,127,196,223,138,116,75,59,49,-136,148,,,,,,,,,,
Profit & Loss,OPM %,,,-6%,,,,21%,,,,17%,,,29%,36%,32%,18%,15%,11%,8%,6%,-20%,14%,,,,,,,,,,
Profit & Loss,Other Income,,,162,,,,36,,,,72,,,42,25,5,7,25,96,41,24,65,114,,,,,,,,,,
Profit & Loss,Interest,,,126,,,,150,,,,141,,,4,15,46,121,93,135,162,149,110,137,,,,,,,,,,
Profit & Loss,Depreciation,,,197,,,,204,,,,223,,,28,35,67,122,84,89,124,150,153,241,,,,,,,,,,
Profit & Loss,Profit before tax,,,-219,,,,-112,,,,-103,,,137,170,115,-98,-36,-53,-186,-226,-333,-115,,,,,,,,,,
Profit & Loss,Tax %,,,-39%,,,,-88%,,,,-102%,,,20%,28%,24%,-42%,76%,72%,9%,2%,3%,,,,,,,,,,,
Profit & Loss,Net Profit,,,-134,,,,-14,,,,2,,,109,123,87,-57,-64,-90,-204,-231,-343,-28,,,,,,,,,,
Profit & Loss,EPS in Rs,,,-58.48,,,,-8.65,,,,-3.77,,,30.06,34.88,27.85,0.07,6.34,-28.20,-19.66,-60.08,-92.39,-11.27,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,-6%,,,,-33%,,,,-106%,,,30%,31%,38%,15420%,169%,-44%,-64%,-21%,-14%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,21,,,,24,,,,34,,34,21,21,21,21,21,21,21,21,21,,,,,,,,,,,
Balance Sheet,Reserves,,,103,,,,59,,,,314,,214,649,714,798,762,743,639,429,882,517,,,,,,,,,,,
Balance Sheet,Borrowings,,,1088,,,,1136,,,,1190,,1243,110,128,787,844,1054,1324,1232,1555,1204,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,746,,,,659,,,,486,,643,318,385,422,375,344,579,489,792,749,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,1957,,,,1878,,,,2024,,2134,1097,1247,2028,2002,2162,2562,2171,3249,2491,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,1162,,,,1152,,,,1180,,1218,242,296,540,604,603,767,844,854,768,,,,,,,,,,,
Balance Sheet,CWIP,,,12,,,,10,,,,6,,6,24,9,112,38,39,195,25,13,22,,,,,,,,,,,
Balance Sheet,Investments,,,8,,,,13,,,,12,,21,273,226,320,305,271,525,351,1825,1226,,,,,,,,,,,
Balance Sheet,Other Assets,,,775,,,,704,,,,826,,889,559,717,1056,1055,1248,1075,952,556,475,,,,,,,,,,,
Balance Sheet,Total Assets,,,1957,,,,1878,,,,2024,,2134,1097,1247,2028,2002,2162,2562,2171,3249,2491,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,-138,,,,166,,,,-27,,,-25,-13,-126,103,-17,548,101,-61,-198,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,630,,,,9,,,,-152,,,-69,12,-430,-20,32,-605,199,32,576,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-497,,,,-189,,,,195,,,41,-26,557,-67,-3,77,-304,31,-387,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-5,,,,-14,,,,16,,,-53,-28,1,17,11,20,-5,3,-8,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,28,,,,27,,,,27,,,97,111,161,171,171,103,74,53,52,,,,,,,,,,,
Ratios,Inventory Days,,,331,,,,,,,,134,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,2122,,,,,,,,899,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,-1762,,,,27,,,,-739,,,97,111,161,171,171,103,74,53,52,,,,,,,,,,,
Ratios,Working Capital Days,,,-156,,,,-88,,,,-9,,,230,278,281,240,251,68,2,-203,-289,,,,,,,,,,,
Ratios,ROCE %,,,-6%,,,,3%,,,,2%,,,17%,19%,11%,1%,4%,2%,-1%,-4%,-12%,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,,64.67%,64.68%,,,,,,,,,,,64.68%,64.68%,64.68%,64.68%,64.68%,64.68%,66.20%,66.20%,66.20%,66.20%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,,5.33%,5.35%,,,,,,,,,,,5.32%,5.32%,5.32%,5.32%,5.32%,5.32%,5.32%,5.32%,5.38%,5.38%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,,10.00%,1.25%,,,,,,,,,,,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.25%,1.29%,1.29%,0.04%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,,20.00%,28.73%,,,,,,,,,,,28.75%,28.75%,28.76%,28.76%,28.76%,28.77%,27.23%,27.18%,27.14%,28.38%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,,9995,9371,,,,,,,,,,,10163,9534,9354,9088,8985,9356,9546,10882,10740,10869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,70.82%,,,,62.23%,,,,64.67%,,,,,,,,,70.82%,70.82%,70.82%,,,64.68%,,,,64.68%,,,,66.20%
Shareholding Pattern (Yearly),FIIs,,,6.52%,,,,6.79%,,,,5.33%,,,,,,,,,4.47%,4.54%,6.19%,,,5.32%,,,,5.32%,,,,5.38%
Shareholding Pattern (Yearly),DIIs,,,0.00%,,,,11.41%,,,,10.00%,,,,,,,,,0.20%,0.16%,0.03%,,,1.25%,,,,1.25%,,,,0.04%
Shareholding Pattern (Yearly),Public,,,22.66%,,,,19.57%,,,,20.00%,,,,,,,,,24.51%,24.48%,22.96%,,,28.75%,,,,28.77%,,,,28.38%
Shareholding Pattern (Yearly),No. of Shareholders,,,8723,,,,7810,,,,9954,,,,,,,,,9421,8750,9312,,,9534,,,,9356,,,,10869
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
