Section,,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,TTM,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Balance Sheet,Borrowings,,2303,,,,2097,,,,414,,392,,3150,3089,3220,3336,3053,2958,3032,2768,2431,,,,,,
Balance Sheet,Other Liabilities,,2346,,,,1723,,,,3259,,3210,,74,171,402,526,2494,1946,1847,2174,2286,,,,,,
Balance Sheet,Total Liabilities,,4753,,,,3706,,,,3207,,3205,,3331,3274,3534,3636,5435,4896,4939,5207,4899,,,,,,
Balance Sheet,Fixed Assets,,1265,,,,1124,,,,45,,39,,2207,2151,2364,2156,3588,2465,2479,2082,1478,,,,,,
Balance Sheet,CWIP,,0,,,,0,,,,0,,0,,0,0,6,16,7,28,27,26,0,,,,,,
Balance Sheet,Investments,,317,,,,85,,,,65,,53,,3,3,1,32,22,166,240,280,332,,,,,,
Balance Sheet,Other Assets,,3171,,,,2496,,,,3097,,3113,,1121,1120,1164,1431,1818,2237,2193,2819,3090,,,,,,
Balance Sheet,Total Assets,,4753,,,,3706,,,,3207,,3205,,3331,3274,3534,3636,5435,4896,4939,5207,4899,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,547,,,,306,,,,378,,,,281,743,470,276,453,463,710,503,767,,,,,,
Cash Flows,Cash from Investing Activity,,-72,,,,113,,,,-16,,,,108,-350,-48,-87,-73,-57,-373,-19,-31,,,,,,
Cash Flows,Cash from Financing Activity,,-497,,,,-415,,,,-361,,,,-375,-393,-396,-216,-374,-426,-338,-482,-743,,,,,,
Cash Flows,Net Cash Flow,,-22,,,,4,,,,1,,,,14,-0,25,-27,6,-20,-1,2,-6,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,22,,,,1,,,,31,,,,2,11,9,5,0,7,14,11,7,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,22,,,,1,,,,31,,,,2,11,9,5,0,7,14,11,7,,,,,,
Ratios,Working Capital Days,,-33,,,,-145,,,,-463,,,,201,-30,-93,-58,-267,-144,-118,-67,-97,,,,,,
Ratios,ROCE %,,14%,,,,3%,,,,-21%,,,,9%,9%,7%,10%,20%,17%,19%,19%,5%,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,57.90%,44.00%,43.46%,42.36%,41.27%,39.39%,39.12%,,,,,,,,,,,32.41%,30.99%,30.64%,28.22%,28.22%
Shareholding Pattern (Quarterly),FIIs,,,,,,,3.83%,4.33%,4.05%,4.00%,3.95%,3.91%,3.76%,,,,,,,,,,,3.59%,3.57%,0.44%,0.44%,0.12%
Shareholding Pattern (Quarterly),DIIs,,,,,,,5.30%,5.25%,5.17%,5.14%,5.60%,5.50%,5.37%,,,,,,,,,,,10.01%,6.36%,7.25%,5.84%,5.30%
Shareholding Pattern (Quarterly),Public,,,,,,,32.97%,46.41%,47.32%,48.50%,49.17%,51.19%,51.76%,,,,,,,,,,,54.00%,59.07%,61.66%,65.48%,66.36%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,26082,28396,27805,27815,28089,30725,32347,,,,,,,,,,,32933,34843,34330,34830,34565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,62.04%,,,,58.16%,,,,42.36%,,,,,,,,,69.52%,69.87%,65.18%,65.47%,,32.41%,,,,28.22%
Shareholding Pattern (Yearly),FIIs,,3.71%,,,,4.11%,,,,4.00%,,,,,,,,,5.73%,0.84%,8.40%,4.55%,,3.59%,,,,0.12%
Shareholding Pattern (Yearly),DIIs,,7.42%,,,,5.90%,,,,5.14%,,,,,,,,,8.90%,8.74%,7.69%,7.83%,,10.01%,,,,5.30%
Shareholding Pattern (Yearly),Public,,26.83%,,,,31.83%,,,,48.50%,,,,,,,,,15.85%,20.55%,18.73%,22.15%,,54.00%,,,,66.36%
Shareholding Pattern (Yearly),No. of Shareholders,,18992,,,,25614,,,,27815,,,,,,,,,8751,18162,17327,15571,,32933,,,,34565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
