Section,,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2014,Jun 2022,Sep 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Cash Flows,Cash from Investing Activity,,,,,-58,,,,-202,,,,46,-5,-9,-9,-1,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,,,-41,,,,83,,,,15,10,15,-3,9,,,,,,,,,,
Cash Flows,Net Cash Flow,,,,,-7,,,,0,,,,1,-0,-1,1,-0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,,,130,,,,108,,,,111,109,98,89,100,116,,,,,,,,,
Ratios,Inventory Days,,,,,35,,,,71,,,,42,71,79,58,48,44,,,,,,,,,
Ratios,Days Payable,,,,,27,,,,59,,,,66,57,80,42,54,58,,,,,,,,,
Ratios,Cash Conversion Cycle,,,,,138,,,,121,,,,87,123,97,105,94,102,,,,,,,,,
Ratios,Working Capital Days,,,,,168,,,,120,,,,166,139,142,108,101,121,,,,,,,,,
Ratios,ROCE %,,,,,,,,,5%,,,,3%,,22%,19%,13%,14%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,9.32%,7.85%,6.87%,6.87%,13.57%,10.66%,10.66%,10.65%,10.65%,,,,,,9.29%,9.29%,9.29%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,0.03%,15.18%,9.42%,0.01%,0.01%,0.00%,0.00%,0.02%,0.02%,,,,,,1.08%,1.08%,1.08%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,90.64%,76.98%,83.70%,93.12%,86.42%,89.34%,89.33%,89.32%,89.33%,,,,,,89.63%,89.64%,89.63%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,265412,275769,344479,383102,501025,535602,554511,579874,596124,,,,,,268399,257576,266538,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,9.32%,,,,13.57%,,,,10.65%,,,,,,,,,39.52%,39.53%,32.96%,32.51%,9.42%,9.47%
Shareholding Pattern (Yearly),FIIs,,,,,0.03%,,,,0.01%,,,,0.02%,,,,,,,,,0.01%,1.67%,8.10%,8.27%,8.68%,1.11%
Shareholding Pattern (Yearly),DIIs,,,,,0.00%,,,,0.00%,,,,0.00%,,,,,,,,,0.32%,0.54%,0.47%,0.01%,2.30%,0.00%
Shareholding Pattern (Yearly),Public,,,,,90.64%,,,,86.42%,,,,89.33%,,,,,,,,,60.14%,58.26%,58.47%,59.21%,79.60%,89.42%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,265412,,,,501025,,,,596124,,,,,,,,,24007,50593,49003,45334,58497,244876
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
