Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Dec 2013,Mar 201515m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2015
Balance Sheet,Other Assets,2294,,,,1876,,,,1837,,,,2008,1110,,1410,1625,1833,2140,2343,2179,1280
Balance Sheet,Total Assets,3525,,,,3272,,,,3350,,,,3823,1382,,1733,1923,2141,2474,3732,3332,1637
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,212,,,,629,,,,453,,,,738,182,,204,257,160,345,582,461,119
Cash Flows,Cash from Investing Activity,93,,,,439,,,,40,,,,53,-118,,-114,-229,-112,-278,-189,-53,-66
Cash Flows,Cash from Financing Activity,-341,,,,-1011,,,,-518,,,,-638,-46,,-52,-56,-56,-63,-436,-369,-50
Cash Flows,Net Cash Flow,-37,,,,57,,,,-24,,,,153,18,,37,-28,-7,4,-43,39,2
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,11,,,,9,,,,8,,,,12,9,,11,10,12,8,8,17,8
Ratios,Inventory Days,292,,,,218,,,,227,,,,195,224,,217,225,232,238,246,265,208
Ratios,Days Payable,153,,,,99,,,,73,,,,84,110,,104,129,146,146,142,192,105
Ratios,Cash Conversion Cycle,150,,,,128,,,,162,,,,123,123,,124,106,99,100,112,90,111
Ratios,Working Capital Days,64,,,,52,,,,72,,,,51,36,,61,51,56,46,54,47,39
Ratios,ROCE %,8%,,,,20%,,,,19%,,,,15%,40%,,22%,22%,25%,31%,25%,-0%,34%
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,50.16%,,,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,6.84%,7.87%,4.86%,5.85%,6.63%,7.51%,7.88%,8.24%,7.63%,8.81%,7.48%,6.93%,,,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,30.11%,28.97%,31.58%,30.56%,30.31%,29.97%,29.69%,28.31%,27.52%,27.12%,29.15%,29.46%,,,,,,,,,
Shareholding Pattern (Quarterly),Public,,12.89%,13.00%,13.41%,13.42%,12.89%,12.36%,12.26%,13.28%,14.70%,13.89%,13.21%,13.45%,,,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,206898,216979,228678,231072,222909,209846,204861,223136,253334,237735,233660,234080,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,52.96%,,,,50.16%,,,,50.16%,,,,50.16%,,,,52.96%,52.96%,52.96%,52.96%,52.96%,
Shareholding Pattern (Yearly),FIIs,6.66%,,,,5.85%,,,,8.24%,,,,6.93%,,,,6.79%,6.19%,11.14%,9.24%,5.33%,
Shareholding Pattern (Yearly),DIIs,27.41%,,,,30.56%,,,,28.31%,,,,29.46%,,,,21.29%,25.50%,21.58%,22.84%,26.00%,
Shareholding Pattern (Yearly),Public,12.97%,,,,13.42%,,,,13.28%,,,,13.45%,,,,18.96%,15.35%,14.32%,14.96%,15.71%,
Shareholding Pattern (Yearly),No. of Shareholders,202543,,,,231072,,,,223136,,,,234080,,,,112311,114023,122956,177633,223608,
,,,,,,,,,,,,,,,,,,,,,,,
