Section,,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2017,Mar 2018,Mar 2019,TTM,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,Profit before tax,,11.96,,,,18.46,,,,13.80,,,,17.24,36.31,9.09,6.90,,,,,,,,,
Profit & Loss,Tax %,,13.80%,,,,22.10%,,,,17.90%,,,,0.00%,0.00%,0.00%,,,,,,,,,,
Profit & Loss,Net Profit,,10.30,,,,14.37,,,,11.34,,,,17.24,36.31,9.09,6.11,,,,,,,,,
Profit & Loss,EPS in Rs,,3.58,,,,4.99,,,,3.94,,,,6.66,12.61,3.16,2.12,,,,,,,,,
Profit & Loss,Dividend Payout %,,13.98%,,,,0.00%,,,,0.00%,,,,0.00%,3.96%,6.33%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,28.79,,,,28.79,,,,28.79,,28.79,,13.30,28.79,28.79,,,,,,,,,,
Balance Sheet,Reserves,,133.46,,,,146.40,,,,142.35,,145.69,,79.08,114.36,123.28,,,,,,,,,,
Balance Sheet,Borrowings,,6.11,,,,0.00,,,,0.00,,0.45,,0.00,0.00,0.00,,,,,,,,,,
Balance Sheet,Other Liabilities,,7.81,,,,7.24,,,,6.41,,14.07,,25.39,23.18,8.70,,,,,,,,,,
Balance Sheet,Total Liabilities,,176.17,,,,182.43,,,,177.55,,189.00,,117.77,166.33,160.77,,,,,,,,,,
Balance Sheet,Fixed Assets,,78.50,,,,95.63,,,,84.25,,90.47,,38.80,84.50,80.59,,,,,,,,,,
Balance Sheet,CWIP,,12.21,,,,5.88,,,,9.71,,10.31,,0.02,0.10,10.91,,,,,,,,,,
Balance Sheet,Investments,,0.00,,,,0.00,,,,0.00,,0.00,,0.07,0.01,0.00,,,,,,,,,,
Balance Sheet,Other Assets,,85.46,,,,80.92,,,,83.59,,88.22,,78.88,81.72,69.27,,,,,,,,,,
Balance Sheet,Total Assets,,176.17,,,,182.43,,,,177.55,,189.00,,117.77,166.33,160.77,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,3.72,,,,21.57,,,,8.71,,,,4.83,15.28,11.20,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-3.85,,,,-15.82,,,,-9.95,,,,-6.15,-46.22,-11.69,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,4.95,,,,-7.28,,,,0.86,,,,16.42,14.07,-0.48,,,,,,,,,,
Cash Flows,Net Cash Flow,,4.83,,,,-1.53,,,,-0.38,,,,15.10,-16.88,-0.97,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,136.33,,,,137.17,,,,158.51,,,,111.11,68.32,78.25,,,,,,,,,,
Ratios,Inventory Days,,168.30,,,,121.04,,,,151.67,,,,41.53,24.37,40.49,,,,,,,,,,
Ratios,Days Payable,,24.02,,,,36.45,,,,37.61,,,,98.35,35.99,18.23,,,,,,,,,,
Ratios,Cash Conversion Cycle,,280.61,,,,221.76,,,,272.57,,,,54.30,56.71,100.51,,,,,,,,,,
Ratios,Working Capital Days,,245.48,,,,221.11,,,,262.77,,,,70.10,62.93,99.16,,,,,,,,,,
Ratios,ROCE %,,8.44%,,,,10.78%,,,,8.03%,,,,,31.01%,16.89%,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,,46.33%,46.33%,46.33%,,,,,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%,46.33%
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,,0.00%,0.00%,0.00%,,,,,0.00%,0.00%,0.00%,0.01%,0.01%,0.02%,0.00%,0.32%,0.03%
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,,0.19%,0.18%,0.18%,,,,,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%,0.18%
Shareholding Pattern (Quarterly),Public,,,,,,,,,,,53.48%,53.49%,53.48%,,,,,53.48%,53.47%,53.49%,53.47%,53.48%,53.46%,53.49%,53.15%,53.46%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,,21255,20772,20538,,,,,19804,19607,20001,19803,19932,21400,24674,23583,23617
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,46.26%,,,,46.33%,,,,46.33%,,,,59.57%,45.23%,45.80%,,46.33%,,,,46.33%,,,,46.33%
Shareholding Pattern (Yearly),FIIs,,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,,0.00%,,,,0.01%,,,,0.03%
Shareholding Pattern (Yearly),DIIs,,1.90%,,,,1.37%,,,,0.19%,,,,2.64%,2.27%,2.27%,,0.18%,,,,0.18%,,,,0.18%
Shareholding Pattern (Yearly),Public,,51.85%,,,,52.30%,,,,53.48%,,,,37.79%,52.49%,51.93%,,53.48%,,,,53.48%,,,,53.46%
Shareholding Pattern (Yearly),No. of Shareholders,,16448,,,,16429,,,,20944,,,,11089,18312,17783,,19804,,,,19932,,,,23617
,,,,,,,,,,,,,,,,,,,,,,,,,,,
