Section,,Mar 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021
Ratios,Debtor Days,40,,,32,,,,37,,,,40,,,,,,
Ratios,Inventory Days,108,,,101,,,,90,,,,95,,,,,,
Ratios,Days Payable,110,,,95,,,,77,,,,96,,,,,,
Ratios,Cash Conversion Cycle,38,,,37,,,,49,,,,39,,,,,,
Ratios,Working Capital Days,46,,,36,,,,42,,,,37,,,,,,
Ratios,ROCE %,,,,21%,,,,17%,,,,15%,,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,62.60%,62.60%,62.68%,62.68%,62.27%,61.91%,60.98%,60.98%,60.98%,60.98%,61.24%,62.60%,,,,,
Shareholding Pattern (Quarterly),FIIs,,0.14%,5.63%,5.63%,5.63%,6.05%,6.07%,5.94%,6.35%,6.56%,6.84%,6.71%,0.07%,,,,,
Shareholding Pattern (Quarterly),DIIs,,0.41%,0.63%,0.83%,1.23%,2.12%,2.68%,4.12%,4.03%,4.79%,4.86%,5.05%,0.44%,,,,,
Shareholding Pattern (Quarterly),Government,,0.00%,0.00%,0.00%,0.00%,0.13%,0.13%,0.15%,0.16%,0.00%,0.00%,0.00%,0.00%,,,,,
Shareholding Pattern (Quarterly),Public,,36.86%,31.14%,30.86%,30.45%,29.44%,29.18%,28.82%,28.50%,27.69%,27.34%,27.01%,36.89%,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,30036,33451,34369,37458,41785,42927,51044,61210,68050,69068,69338,27933,,,,,
,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,62.77%,,,62.68%,,,,60.98%,,,,61.24%,,58.77%,57.63%,58.79%,62.85%,62.77%
Shareholding Pattern (Yearly),FIIs,0.14%,,,5.63%,,,,5.94%,,,,6.71%,,0.13%,0.59%,0.58%,0.58%,0.69%
Shareholding Pattern (Yearly),DIIs,0.44%,,,0.83%,,,,4.12%,,,,5.05%,,0.61%,2.56%,0.44%,0.44%,0.70%
Shareholding Pattern (Yearly),Government,0.00%,,,0.00%,,,,0.15%,,,,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,36.65%,,,30.86%,,,,28.82%,,,,27.01%,,40.50%,39.23%,40.19%,36.14%,35.84%
Shareholding Pattern (Yearly),No. of Shareholders,26590,,,34369,,,,51044,,,,69338,,13129,13351,16281,12602,18437
,,,,,,,,,,,,,,,,,,,
