Section,,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,Mar 2022
Ratios,Debtor Days,44,59,39,72,69,70,56,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,,,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,,,,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,44,59,39,72,69,70,56,,,,,,,,,,,,,,,
Ratios,Working Capital Days,-25,-16,-19,19,-12,17,7,,,,,,,,,,,,,,,
Ratios,ROCE %,,14%,14%,13%,15%,13%,16%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,55.69%,55.69%,55.69%,55.69%,55.69%,55.69%,55.43%,55.43%,55.43%,55.43%,55.43%,56.57%,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,2.10%,2.76%,2.91%,2.90%,4.42%,3.88%,3.86%,4.97%,4.67%,4.49%,4.78%,4.21%,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,8.50%,8.48%,6.81%,6.15%,5.99%,5.99%,5.97%,5.91%,5.86%,6.27%,6.04%,5.68%,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.64%,7.45%,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,26.07%,25.42%,26.94%,27.62%,26.26%,26.80%,27.11%,26.07%,26.40%,26.16%,26.11%,26.10%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,75887,73440,72832,72252,67858,74802,82412,99346,97729,96409,91133,93480,,,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,58.21%,58.21%,55.69%,,,,55.69%,,,,55.43%,,,,56.57%,55.69%,55.69%,55.69%
Shareholding Pattern (Yearly),FIIs,,,,,3.91%,3.35%,2.87%,,,,2.90%,,,,4.97%,,,,4.21%,0.95%,1.50%,1.64%
Shareholding Pattern (Yearly),DIIs,,,,,10.93%,12.65%,15.42%,,,,6.15%,,,,5.91%,,,,5.68%,14.88%,11.70%,7.22%
Shareholding Pattern (Yearly),Government,,,,,7.64%,7.84%,7.64%,,,,7.64%,,,,7.64%,,,,7.45%,7.64%,7.64%,7.64%
Shareholding Pattern (Yearly),Public,,,,,19.31%,17.96%,18.38%,,,,27.62%,,,,26.07%,,,,26.10%,20.84%,23.46%,27.81%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,58158,53522,52293,,,,72252,,,,99346,,,,93480,52887,67352,78446
,,,,,,,,,,,,,,,,,,,,,,,
