Section,,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2006,Mar 2007,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Feb 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Quarterly Results,Raw PDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profit & Loss,Sales,,,460,,,,,,,,,,561,83,155,179,216,262,345,386,439,,,,,,,,,,,,,,,
Profit & Loss,Expenses,,,411,,,,,,,,,,500,68,133,151,184,223,298,340,393,,,,,,,,,,,,,,,
Profit & Loss,Operating Profit,,,49,,,,,,,,,,62,15,22,28,32,39,46,45,46,,,,,,,,,,,,,,,
Profit & Loss,OPM %,,,11%,,,,,,,,,,11%,18%,14%,16%,15%,15%,13%,12%,11%,,,,,,,,,,,,,,,
Profit & Loss,Other Income,,,0,,,,,,,,,,3,0,2,1,2,2,1,2,2,,,,,,,,,,,,,,,
Profit & Loss,Interest,,,17,,,,,,,,,,16,3,6,8,10,9,12,18,18,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,,18,,,,,,,,,,36,5,9,9,9,9,13,15,17,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,,13,,,,,,,,,,12,7,10,13,15,24,22,14,13,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,,40%,,,,,,,,,,24%,31%,21%,17%,27%,33%,28%,25%,18%,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,,8,,,,,,,,,,9,5,8,11,11,16,16,10,10,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,,4.82,,,,,,,,,,5.21,,5.58,7.23,7.73,11.34,10.94,8.08,6.86,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,,19%,,,,,,,,,,19%,21%,14%,14%,14%,13%,15%,20%,23%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,,13,,,,,,,,,,17,12,13,13,13,13,13,13,13,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,,86,,,,,,,,,,254,5,17,24,41,54,66,75,81,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,,97,,,,,,,,,,117,29,49,54,50,70,96,118,105,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,,70,,,,,,,,,,63,18,17,27,36,52,66,59,65,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,,267,,,,,,,,,,451,63,96,119,139,189,242,265,264,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,,135,,,,,,,,,,295,28,42,55,65,79,113,127,147,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,,1,,,,,,,,,,13,1,5,1,6,19,7,6,1,,,,,,,,,,,,,,,
Balance Sheet,Investments,,,0,,,,,,,,,,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,,130,,,,,,,,,,142,35,49,63,68,91,122,132,116,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,,267,,,,,,,,,,451,63,96,119,139,189,242,265,264,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,,30,,,,,,,,,,48,14,8,17,29,21,21,33,58,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,,-6,,,,,,,,,,-62,-10,-28,-22,-17,-34,-37,-33,-26,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,,-27,,,,,,,,,,14,-4,20,5,-11,16,16,3,-34,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,,-3,,,,,,,,,,0,-0,0,0,2,2,-0,3,-2,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,,58,,,,,,,,,,35,62,60,66,55,64,61,59,51,,,,,,,,,,,,,,,
Ratios,Inventory Days,,,40,,,,,,,,,,55,85,56,64,53,68,77,61,34,,,,,,,,,,,,,,,
Ratios,Days Payable,,,24,,,,,,,,,,27,28,0,24,24,33,32,23,21,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,,74,,,,,,,,,,63,119,116,106,84,99,107,97,64,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,,54,,,,,,,,,,43,88,85,93,80,85,68,69,49,,,,,,,,,,,,,,,
Ratios,ROCE %,,,14%,,,,,,,,,,,,23%,22%,23%,23%,19%,14%,13%,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,,74.44%,74.44%,74.44%,74.44%,,,,,,,,,74.43%,74.44%,74.44%,74.44%,74.44%,74.44%,74.44%,74.44%,,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,,0.12%,0.15%,0.14%,0.12%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.03%,0.00%,0.00%,0.10%,,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,,0.00%,0.04%,0.04%,0.04%,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,,0.02%,0.02%,0.02%,0.02%,,,,,,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,,25.44%,25.37%,25.36%,25.38%,,,,,,,,,25.55%,25.55%,25.55%,25.54%,25.51%,25.56%,25.54%,25.44%,,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,,8436,8575,8926,9487,,,,,,,,,7848,7809,7885,7734,7827,7441,8175,8184,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,,74.44%,,,,,,,,,,,,74.44%,,,,74.44%,74.44%,74.43%,74.43%,74.43%,74.43%,74.43%,74.43%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,,0.12%,,,,,,,,,,,,0.00%,,,,0.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,,0.04%,,,,,,,,,,,,0.00%,,,,0.00%,0.02%,0.05%,0.03%,0.01%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,,0.02%,,,,,,,,,,,,0.02%,,,,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%,0.02%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,,25.38%,,,,,,,,,,,,25.54%,,,,25.44%,25.53%,25.50%,25.52%,25.54%,25.55%,25.55%,25.53%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,,9487,,,,,,,,,,,,7734,,,,8184,7510,8296,6906,6603,6150,5764,7637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
