Section,,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,TTM,Jun 2022,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Tax %,,25%,,,,26%,,,,27%,,,,,,,,,
Profit & Loss,Net Profit,,879,,,,899,,,,939,,971,,,,,,,
Profit & Loss,EPS in Rs,,56.25,,,,57.52,,,,60.07,,62.11,,,,,,,
Profit & Loss,Dividend Payout %,,43%,,,,45%,,,,47%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,31,,,,31,,,,31,,,,,,,,,
Balance Sheet,Reserves,,4255,,,,4774,,,,5303,,,,,,,,,
Balance Sheet,Borrowings,,57,,,,51,,,,56,,,,,,,,,
Balance Sheet,Other Liabilities,,1383,,,,1410,,,,1493,,,,,,,,,
Balance Sheet,Total Liabilities,,5727,,,,6267,,,,6883,,,,,,,,,
Balance Sheet,Fixed Assets,,1123,,,,1441,,,,1970,,,,,,,,,
Balance Sheet,CWIP,,249,,,,491,,,,449,,,,,,,,,
Balance Sheet,Investments,,0,,,,0,,,,0,,,,,,,,,
Balance Sheet,Other Assets,,4355,,,,4335,,,,4464,,,,,,,,,
Balance Sheet,Total Assets,,5727,,,,6267,,,,6883,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,751,,,,884,,,,840,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-535,,,,-595,,,,-25,,,,,,,,,
Cash Flows,Cash from Financing Activity,,-257,,,,-386,,,,-421,,,,,,,,,
Cash Flows,Net Cash Flow,,-41,,,,-96,,,,394,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,55,,,,53,,,,57,,,,,,,,,
Ratios,Inventory Days,,107,,,,107,,,,104,,,,,,,,,
Ratios,Days Payable,,95,,,,86,,,,80,,,,,,,,,
Ratios,Cash Conversion Cycle,,66,,,,74,,,,82,,,,,,,,,
Ratios,Working Capital Days,,55,,,,57,,,,63,,,,,,,,,
Ratios,ROCE %,,,,,,27%,,,,25%,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,74.13%,,74.13%,,,,,,
Shareholding Pattern (Quarterly),FIIs,5.74%,4.81%,4.40%,4.04%,4.51%,4.36%,4.38%,5.73%,5.14%,4.72%,4.49%,,4.94%,,,,,,
Shareholding Pattern (Quarterly),DIIs,14.19%,15.04%,15.57%,15.87%,15.46%,15.68%,15.93%,14.74%,15.17%,15.60%,16.03%,,15.34%,,,,,,
Shareholding Pattern (Quarterly),Government,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.03%,,0.17%,,,,,,
Shareholding Pattern (Quarterly),Public,5.95%,6.02%,5.90%,5.95%,5.88%,5.83%,5.56%,5.39%,5.55%,5.51%,5.32%,,5.42%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,65731,55462,57452,63929,68189,70695,69109,72943,74954,76970,74544,,40375,,,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,74.13%,,,,74.13%,,,,74.13%,,,51.33%,51.33%,74.13%,74.13%,74.13%,74.13%
Shareholding Pattern (Yearly),FIIs,,,4.40%,,,,4.38%,,,,4.49%,,,5.47%,5.82%,3.08%,3.89%,5.17%,5.05%
Shareholding Pattern (Yearly),DIIs,,,15.57%,,,,15.93%,,,,16.03%,,,26.84%,26.97%,14.55%,15.81%,15.28%,15.23%
Shareholding Pattern (Yearly),Government,,,0.00%,,,,0.00%,,,,0.03%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%
Shareholding Pattern (Yearly),Public,,,5.90%,,,,5.56%,,,,5.32%,,,16.37%,15.88%,8.24%,6.17%,5.42%,5.43%
Shareholding Pattern (Yearly),No. of Shareholders,,,57452,,,,69109,,,,74544,,,10336,12969,15719,16110,15941,32542
,,,,,,,,,,,,,,,,,,,,
