Section,,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Profit & Loss,EPS in Rs,-54.18,,,,-44.20,,,,-35.83,,,,1.01,4.26,-15.51,-29.15,-5.05,4.88,-2.49,-70.48,4.78,,,,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,52.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,3.25,,,,3.25,,,,3.25,,,,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.25,,,,
Balance Sheet,Reserves,16.23,,,,-12.51,,,,-35.81,,,,374.78,123.04,112.97,94.02,90.74,95.82,94.20,48.36,51.47,,,,
Balance Sheet,Borrowings,9.00,,,,9.00,,,,9.00,,,,9.00,106.36,109.62,102.98,69.64,91.83,52.75,60.52,9.26,,,,
Balance Sheet,Other Liabilities,124.46,,,,136.24,,,,138.79,,,,95.22,224.33,204.18,159.03,173.24,168.34,235.26,177.38,125.01,,,,
Balance Sheet,Total Liabilities,152.94,,,,135.98,,,,115.23,,,,482.25,456.98,430.02,359.28,336.87,359.24,385.46,289.51,188.99,,,,
Balance Sheet,Fixed Assets,38.48,,,,33.20,,,,21.02,,,,427.03,90.94,90.37,92.16,93.32,86.98,88.25,81.33,44.28,,,,
Balance Sheet,CWIP,2.07,,,,0.00,,,,0.00,,,,0.00,4.18,4.40,4.28,0.00,0.45,1.32,1.95,0.00,,,,
Balance Sheet,Investments,0.22,,,,0.22,,,,0.17,,,,0.01,15.05,11.90,12.85,13.02,15.03,11.55,0.22,0.22,,,,
Balance Sheet,Other Assets,112.17,,,,102.56,,,,94.04,,,,55.21,346.81,323.35,249.99,230.53,256.78,284.34,206.01,144.49,,,,
Balance Sheet,Total Assets,152.94,,,,135.98,,,,115.23,,,,482.25,456.98,430.02,359.28,336.87,359.24,385.46,289.51,188.99,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3.05,,,,-4.15,,,,-5.40,,,,-51.09,32.32,-2.41,20.99,40.73,-11.66,34.40,-10.44,-11.09,,,,
Cash Flows,Cash from Investing Activity,0.15,,,,4.42,,,,4.54,,,,51.03,-8.38,-3.33,-1.20,-2.29,7.43,-0.11,7.59,72.06,,,,
Cash Flows,Cash from Financing Activity,-0.08,,,,-0.10,,,,-0.05,,,,-0.04,-19.30,-7.10,-17.52,-41.11,16.02,-44.16,2.27,-60.52,,,,
Cash Flows,Net Cash Flow,-2.98,,,,0.17,,,,-0.91,,,,-0.09,4.64,-12.84,2.27,-2.67,11.79,-9.87,-0.58,0.44,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,550.45,,,,2256.17,,,,3943.27,,,,153.23,73.20,91.17,72.77,67.41,73.89,94.93,66.13,85.85,,,,
Ratios,Inventory Days,563.65,,,,1326.91,,,,1038.28,,,,108.62,83.27,70.10,35.66,34.43,37.47,47.53,36.22,100.28,,,,
Ratios,Days Payable,2760.86,,,,8275.46,,,,9482.68,,,,1753.25,89.91,95.39,78.97,100.20,96.23,152.60,118.11,346.34,,,,
Ratios,Cash Conversion Cycle,-1646.76,,,,-4692.38,,,,-4501.13,,,,-1491.40,66.55,65.87,29.46,1.64,15.13,-10.15,-15.76,-160.21,,,,
Ratios,Working Capital Days,-1034.45,,,,-7149.52,,,,-17032.63,,,,-3588.02,41.11,49.95,35.29,29.45,37.08,24.51,11.58,-61.95,,,,
Ratios,ROCE %,-76.03%,,,,-201.63%,,,,,,,,-26.64%,7.39%,-2.86%,-11.45%,1.02%,5.62%,3.61%,-33.10%,-39.28%,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,41.92%,41.92%,41.92%,41.92%,41.92%,41.92%,41.92%,41.92%,,,,,,,,,41.92%,41.92%,41.92%,41.92%
Shareholding Pattern (Quarterly),DIIs,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,0.00%,0.01%,0.01%,0.01%
Shareholding Pattern (Quarterly),Public,,,,,,58.08%,58.08%,58.08%,58.08%,58.07%,58.07%,58.07%,58.07%,,,,,,,,,58.07%,58.07%,58.08%,58.07%
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,10757,10754,10754,10750,10747,10749,10745,10744,,,,,,,,,10744,10743,10624,11368
,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,42.12%,,,,41.92%,,,,41.92%,,,,41.92%,,,,,43.67%,43.64%,42.52%,42.54%,,,,41.92%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,,0.08%,0.03%,0.00%,0.01%,,,,0.01%
Shareholding Pattern (Yearly),Public,57.88%,,,,58.08%,,,,58.08%,,,,58.07%,,,,,56.25%,56.33%,57.47%,57.45%,,,,58.07%
Shareholding Pattern (Yearly),No. of Shareholders,10981,,,,10764,,,,10750,,,,10744,,,,,11613,12573,11444,10796,,,,11368
,,,,,,,,,,,,,,,,,,,,,,,,,,
