Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2021,Mar 2020
Profit & Loss,EPS in Rs,0.26,,,,-0.11,,,,0.09,,,,-0.06,-0.03,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,
,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,110,,,,144,,,,165,,,,186,66,
Balance Sheet,Reserves,90,,,,187,,,,311,,,,346,0,
Balance Sheet,Borrowings,23,,,,30,,,,34,,,,77,42,
Balance Sheet,Other Liabilities,98,,,,93,,,,44,,,,121,41,
Balance Sheet,Total Liabilities,321,,,,454,,,,555,,,,729,149,
Balance Sheet,Fixed Assets,28,,,,47,,,,56,,,,61,12,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,1,0,
Balance Sheet,Investments,84,,,,77,,,,183,,,,54,3,
Balance Sheet,Other Assets,208,,,,330,,,,316,,,,614,133,
Balance Sheet,Total Assets,321,,,,454,,,,555,,,,729,149,
,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-15,,,,-112,,,,-42,,,,-222,-8,
Cash Flows,Cash from Investing Activity,-37,,,,-36,,,,-91,,,,106,12,
Cash Flows,Cash from Financing Activity,59,,,,151,,,,137,,,,108,-4,
Cash Flows,Net Cash Flow,8,,,,2,,,,4,,,,-8,-0,
,,,,,,,,,,,,,,,,
Ratios,Debtor Days,52,,,,130,,,,120,,,,97,347,
Ratios,Inventory Days,36,,,,10,,,,8,,,,4,156,
Ratios,Days Payable,84,,,,48,,,,13,,,,47,216,
Ratios,Cash Conversion Cycle,4,,,,92,,,,115,,,,54,287,
Ratios,Working Capital Days,37,,,,101,,,,154,,,,114,394,
Ratios,ROCE %,19%,,,,-7%,,,,4%,,,,-1%,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,13.31%,12.27%,11.35%,11.35%,11.40%,11.40%,11.40%,11.75%,14.21%,14.20%,14.20%,14.20%,,
Shareholding Pattern (Quarterly),FIIs,,12.21%,9.58%,8.07%,0.33%,0.02%,0.02%,0.02%,4.35%,0.28%,0.50%,0.49%,0.46%,,
Shareholding Pattern (Quarterly),Government,,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,
Shareholding Pattern (Quarterly),Public,,74.47%,78.15%,80.56%,88.30%,88.59%,88.59%,88.58%,83.89%,85.51%,85.29%,85.31%,85.34%,,
Shareholding Pattern (Quarterly),No. of Shareholders,,372551,394264,411910,426150,451287,544435,571166,729374,772886,792514,814784,820297,,
,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,14.81%,,,,11.35%,,,,11.75%,,,,14.20%,20.07%,55.27%
Shareholding Pattern (Yearly),FIIs,0.03%,,,,0.33%,,,,4.35%,,,,0.46%,0.02%,4.98%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.01%
Shareholding Pattern (Yearly),Public,85.16%,,,,88.30%,,,,83.89%,,,,85.34%,79.91%,39.74%
Shareholding Pattern (Yearly),No. of Shareholders,370221,,,,426150,,,,729374,,,,820297,194777,43769
,,,,,,,,,,,,,,,,
