Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Profit & Loss,Tax %,26%,,,,24%,,,,24%,,,,24%,3%,36%,56%,-32%,-15%,109%,-24%,139%,
Profit & Loss,Net Profit,17,,,,22,,,,40,,,,48,22,6,2,-9,-5,-0,-5,-0,
Profit & Loss,EPS in Rs,9.88,,,,12.75,,,,23.52,,,,28.23,12.94,3.42,1.61,-5.48,-2.92,-0.02,-2.83,-0.08,
Profit & Loss,Dividend Payout %,20%,,,,20%,,,,21%,,,,14%,4%,29%,16%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,9,,,,9,,,,17,,,,17,9,9,9,9,9,9,9,9,
Balance Sheet,Reserves,69,,,,87,,,,111,,,,161,68,71,73,51,63,63,58,58,
Balance Sheet,Borrowings,71,,,,60,,,,86,,,,135,74,137,144,94,83,78,72,66,
Balance Sheet,Other Liabilities,41,,,,37,,,,54,,,,72,39,85,71,23,27,26,30,36,
Balance Sheet,Total Liabilities,189,,,,193,,,,268,,,,385,190,301,297,176,181,176,168,169,
Balance Sheet,Fixed Assets,77,,,,74,,,,130,,,,185,44,86,92,82,77,82,77,77,
Balance Sheet,CWIP,1,,,,0,,,,7,,,,11,13,9,10,2,3,1,3,0,
Balance Sheet,Investments,26,,,,28,,,,31,,,,40,14,18,17,15,27,26,25,24,
Balance Sheet,Other Assets,85,,,,90,,,,100,,,,149,119,188,177,77,74,67,63,69,
Balance Sheet,Total Assets,189,,,,193,,,,268,,,,385,190,301,297,176,181,176,168,169,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,19,,,,32,,,,59,,,,36,-37,-5,12,7,15,20,17,21,
Cash Flows,Cash from Investing Activity,-12,,,,-10,,,,-70,,,,-68,17,-49,-15,-1,4,-4,-2,-5,
Cash Flows,Cash from Financing Activity,-6,,,,-21,,,,9,,,,33,31,52,-4,-5,-19,-16,-15,-15,
Cash Flows,Net Cash Flow,1,,,,1,,,,-1,,,,2,11,-3,-7,0,-0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,52,,,,40,,,,30,,,,30,43,20,32,100,100,66,68,70,
Ratios,Inventory Days,115,,,,86,,,,85,,,,83,59,172,70,334,212,149,166,181,
Ratios,Days Payable,93,,,,48,,,,66,,,,62,24,70,30,40,61,39,53,81,
Ratios,Cash Conversion Cycle,74,,,,77,,,,49,,,,51,78,122,71,393,251,176,181,169,
Ratios,Working Capital Days,69,,,,64,,,,44,,,,60,59,85,57,191,127,81,70,74,
Ratios,ROCE %,23%,,,,24%,,,,33%,,,,29%,9%,12%,8%,-1%,3%,7%,3%,8%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,73.81%,73.81%,73.81%,73.81%,73.81%,73.81%,73.55%,72.65%,71.94%,71.01%,71.08%,,,,,,,,,71.08%
Shareholding Pattern (Quarterly),FIIs,,,0.82%,0.82%,0.82%,0.82%,0.82%,0.82%,0.74%,0.79%,1.25%,0.65%,0.64%,,,,,,,,,0.57%
Shareholding Pattern (Quarterly),DIIs,,,0.54%,0.54%,0.54%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.93%,1.06%,,,,,,,,,1.06%
Shareholding Pattern (Quarterly),Government,,,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%,,,,,,,,,0.33%
Shareholding Pattern (Quarterly),Public,,,24.51%,24.51%,24.50%,25.05%,25.05%,25.04%,25.39%,26.22%,26.43%,27.09%,26.90%,,,,,,,,,26.96%
Shareholding Pattern (Quarterly),No. of Shareholders,,,10154,13444,14807,15561,18423,20218,21711,27842,34750,39815,43556,,,,,,,,,43778
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,73.81%,,,,73.81%,,,,73.55%,,,,71.08%,,,,73.81%,73.81%,73.81%,73.81%,73.81%,71.08%
Shareholding Pattern (Yearly),FIIs,0.71%,,,,0.82%,,,,0.74%,,,,0.64%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.57%
Shareholding Pattern (Yearly),DIIs,0.12%,,,,0.54%,,,,0.00%,,,,1.06%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,1.06%
Shareholding Pattern (Yearly),Government,0.33%,,,,0.33%,,,,0.33%,,,,0.33%,,,,0.33%,0.33%,0.33%,0.33%,0.33%,0.33%
Shareholding Pattern (Yearly),Public,25.04%,,,,24.50%,,,,25.39%,,,,26.90%,,,,25.86%,25.86%,25.86%,25.86%,25.86%,26.96%
Shareholding Pattern (Yearly),No. of Shareholders,6241,,,,14807,,,,21711,,,,43556,,,,4838,4782,4651,4708,4649,43778
,,,,,,,,,,,,,,,,,,,,,,,
