Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Profit & Loss,Interest,1,,,,0,,,,0,,,,0,11,11,12,12,10,7,6,6,
Profit & Loss,Depreciation,4,,,,3,,,,4,,,,4,4,6,11,9,8,7,6,5,
Profit & Loss,Profit before tax,0,,,,-0,,,,4,,,,35,1,1,-15,-9,-21,-22,-16,-92,
Profit & Loss,Tax %,1622%,,,,-669%,,,,3%,,,,8%,37%,103%,-13%,-35%,-14%,-6%,-13%,-19%,
Profit & Loss,Net Profit,-6,,,,2,,,,4,,,,33,1,-0,-13,-6,-18,-20,-14,-74,
Profit & Loss,EPS in Rs,-0.17,,,,0.05,,,,0.10,,,,0.55,0.02,0.00,-0.40,-0.18,-0.54,-0.61,-0.41,-2.24,
Profit & Loss,Dividend Payout %,0%,,,,0%,,,,0%,,,,0%,0%,0%,0%,0%,0%,0%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,16,,,,33,,,,42,,,,59,16,16,16,16,16,16,16,16,
Balance Sheet,Reserves,-47,,,,-16,,,,15,,,,106,77,77,64,60,42,22,8,-66,
Balance Sheet,Borrowings,79,,,,67,,,,37,,,,18,79,86,96,101,82,74,76,93,
Balance Sheet,Other Liabilities,39,,,,35,,,,44,,,,15,88,69,67,75,89,86,85,72,
Balance Sheet,Total Liabilities,87,,,,120,,,,138,,,,198,260,247,242,252,229,198,184,115,
Balance Sheet,Fixed Assets,21,,,,25,,,,21,,,,28,30,61,56,48,42,34,29,24,
Balance Sheet,CWIP,0,,,,0,,,,0,,,,0,15,0,0,0,0,0,0,0,
Balance Sheet,Investments,0,,,,0,,,,0,,,,0,0,0,0,0,0,0,0,0,
Balance Sheet,Other Assets,66,,,,96,,,,117,,,,170,215,187,186,204,187,164,155,90,
Balance Sheet,Total Assets,87,,,,120,,,,138,,,,198,260,247,242,252,229,198,184,115,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-21,,,,-0,,,,-32,,,,-47,23,-7,-3,4,20,8,4,-11,
Cash Flows,Cash from Investing Activity,0,,,,-7,,,,-0,,,,-10,-10,5,4,-2,-2,1,0,0,
Cash Flows,Cash from Financing Activity,21,,,,35,,,,4,,,,57,-10,-3,-1,-1,-19,-9,-4,11,
Cash Flows,Net Cash Flow,0,,,,28,,,,-28,,,,-0,3,-6,-1,1,-0,-0,0,-0,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,360,,,,232,,,,226,,,,272,109,197,242,282,430,272,620,1167,
Ratios,Inventory Days,295,,,,74,,,,54,,,,19,86,116,122,114,204,90,155,187,
Ratios,Days Payable,404,,,,157,,,,104,,,,31,92,105,101,154,188,141,271,391,
Ratios,Cash Conversion Cycle,251,,,,149,,,,176,,,,260,102,209,263,242,446,221,504,963,
Ratios,Working Capital Days,74,,,,68,,,,179,,,,277,93,198,248,246,320,168,334,-324,
Ratios,ROCE %,-23%,,,,0%,,,,5%,,,,8%,7%,6%,-2%,2%,-7%,-7%,-9%,-121%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,38.19%,38.19%,39.52%,39.52%,36.17%,36.17%,36.20%,36.18%,29.81%,30.88%,30.88%,,,,,,,,,34.77%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%,,,,,,,,,0.00%
Shareholding Pattern (Quarterly),Public,,,61.80%,61.80%,60.47%,60.48%,63.83%,63.84%,63.80%,63.81%,70.13%,69.13%,69.13%,,,,,,,,,65.23%
Shareholding Pattern (Quarterly),No. of Shareholders,,,36271,37360,37766,37957,43511,54368,66903,82357,108503,112713,119847,,,,,,,,,119847
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,51.56%,,,,39.52%,,,,36.20%,,,,30.88%,,,,61.45%,62.26%,64.53%,64.87%,64.94%,34.77%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.71%,0.19%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,,,,0.03%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,48.44%,,,,60.47%,,,,63.80%,,,,69.13%,,,,37.81%,37.55%,35.47%,35.13%,35.06%,65.23%
Shareholding Pattern (Yearly),No. of Shareholders,35476,,,,37766,,,,66903,,,,119847,,,,5114,6140,5598,5881,6865,119847
,,,,,,,,,,,,,,,,,,,,,,,
