Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Apr 2025
Profit & Loss,Net Profit,0.50,,,,0.11,,,,0.55,,,,3.71,0.56,0.96,1.11,0.85,1.61,
Profit & Loss,EPS in Rs,0.34,,,,0.07,,,,0.33,,,,2.15,0.52,0.89,1.03,0.71,1.11,
Profit & Loss,Dividend Payout %,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,10.03,,,,11.43,,,,11.48,,,,17.26,2.95,2.95,2.95,8.23,10.03,
Balance Sheet,Reserves,5.76,,,,17.57,,,,18.39,,,,35.01,3.65,4.61,5.71,2.14,5.25,
Balance Sheet,Borrowings,17.11,,,,14.39,,,,25.46,,,,26.67,1.10,7.35,10.49,10.36,9.68,
Balance Sheet,Other Liabilities,9.97,,,,4.76,,,,14.41,,,,13.77,2.23,7.00,8.90,14.20,10.99,
Balance Sheet,Total Liabilities,42.87,,,,48.15,,,,69.74,,,,92.71,9.93,21.91,28.05,34.93,35.95,
Balance Sheet,Fixed Assets,5.43,,,,6.45,,,,9.90,,,,7.31,0.62,1.41,1.44,1.20,3.14,
Balance Sheet,CWIP,0.00,,,,0.00,,,,0.00,,,,0.00,0.22,0.22,0.22,0.27,0.01,
Balance Sheet,Investments,0.06,,,,0.07,,,,0.09,,,,0.13,0.00,0.21,0.21,0.21,0.32,
Balance Sheet,Other Assets,37.38,,,,41.63,,,,59.75,,,,85.27,9.09,20.07,26.18,33.25,32.48,
Balance Sheet,Total Assets,42.87,,,,48.15,,,,69.74,,,,92.71,9.93,21.91,28.05,34.93,35.95,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,-3.13,,,,-1.77,,,,-6.78,,,,-16.94,-5.33,-2.71,-0.30,1.07,2.96,
Cash Flows,Cash from Investing Activity,-3.36,,,,-2.67,,,,-5.35,,,,-0.53,-1.03,-1.39,-0.54,-0.33,-0.80,
Cash Flows,Cash from Financing Activity,6.58,,,,7.72,,,,8.88,,,,17.67,6.64,3.93,0.96,-0.84,-2.14,
Cash Flows,Net Cash Flow,0.09,,,,3.28,,,,-3.25,,,,0.20,0.28,-0.17,0.12,-0.11,0.03,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,67.53,,,,54.93,,,,177.20,,,,186.22,79.60,132.44,75.75,58.91,49.38,
Ratios,Inventory Days,258.53,,,,501.70,,,,470.33,,,,413.77,453.55,715.31,1252.45,1169.41,440.62,
Ratios,Days Payable,113.69,,,,63.86,,,,198.17,,,,103.59,218.14,376.76,564.68,674.19,206.62,
Ratios,Cash Conversion Cycle,212.37,,,,492.77,,,,449.36,,,,496.40,315.01,470.99,763.53,554.12,283.38,
Ratios,Working Capital Days,149.52,,,,237.65,,,,352.94,,,,371.34,123.14,202.98,150.55,126.12,150.50,
Ratios,ROCE %,7.02%,,,,6.82%,,,,6.26%,,,,12.30%,,18.40%,16.44%,15.40%,17.47%,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,70.64%,58.64%,51.46%,51.46%,51.46%,51.46%,51.46%,51.24%,45.69%,45.69%,45.69%,,,,,,41.31%
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.92%,1.03%,1.90%,1.90%,2.71%,2.71%,2.71%,,,,,,2.45%
Shareholding Pattern (Quarterly),Public,,,29.37%,41.37%,48.54%,48.54%,47.62%,47.51%,46.63%,46.87%,51.60%,51.60%,51.60%,,,,,,56.24%
Shareholding Pattern (Quarterly),No. of Shareholders,,,1875,1702,1643,1882,2201,2492,3852,3668,5360,6227,5753,,,,,,5748
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,70.29%,,,,51.46%,,,,51.46%,,,,45.69%,51.03%,54.90%,58.97%,63.80%,70.29%,41.31%
Shareholding Pattern (Yearly),FIIs,0.00%,,,,0.00%,,,,1.90%,,,,2.71%,0.00%,0.00%,0.00%,0.00%,0.00%,2.45%
Shareholding Pattern (Yearly),Public,29.70%,,,,48.54%,,,,46.63%,,,,51.60%,48.96%,45.10%,41.04%,36.20%,29.71%,56.24%
Shareholding Pattern (Yearly),No. of Shareholders,1556,,,,1643,,,,3852,,,,5753,85,91,103,107,103,5748
,,,,,,,,,,,,,,,,,,,,
