Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Jun 2025
Profit & Loss,Tax %,22%,,,,28%,,,,15%,,,,24%,20%,15%,19%,19%,26%,17%,27%,21%,
Profit & Loss,Net Profit,772,,,,643,,,,1298,,,,1429,431,528,609,688,453,1003,871,846,
Profit & Loss,EPS in Rs,5.40,,,,3.85,,,,8.52,,,,8.44,3.45,4.14,4.59,5.10,3.10,7.54,6.24,6.17,
Profit & Loss,Dividend Payout %,9%,,,,39%,,,,6%,,,,15%,24%,20%,18%,10%,16%,7%,0%,0%,
,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,600,,,,600,,,,600,,,,600,100,100,100,100,300,300,600,600,
Balance Sheet,Reserves,7832,,,,17267,,,,19183,,,,21044,2927,3171,3934,4738,4881,5798,6106,7027,
Balance Sheet,Borrowings,5147,,,,18019,,,,16277,,,,18362,864,1117,2478,2302,2264,2422,2715,4481,
Balance Sheet,Other Liabilities,6763,,,,15856,,,,19693,,,,18791,1860,1988,1947,2254,2545,3672,4993,6382,
Balance Sheet,Total Liabilities,20342,,,,51742,,,,55753,,,,58797,5751,6375,8458,9394,9990,12192,14414,18490,
Balance Sheet,Fixed Assets,6569,,,,29468,,,,30644,,,,36370,1525,1630,1748,3626,3700,4471,5971,6364,
Balance Sheet,CWIP,4110,,,,7317,,,,7993,,,,4102,1206,1677,2240,839,1303,1899,2196,2800,
Balance Sheet,Investments,1588,,,,2069,,,,1000,,,,1127,765,230,902,1253,675,1012,966,1952,
Balance Sheet,Other Assets,8074,,,,12888,,,,16117,,,,17199,2255,2839,3569,3676,4312,4811,5281,7374,
Balance Sheet,Total Assets,20342,,,,51742,,,,55753,,,,58797,5751,6375,8458,9394,9990,12192,14414,18490,
,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,1177,,,,1852,,,,2954,,,,4061,561,211,371,640,662,1155,1283,1160,
Cash Flows,Cash from Investing Activity,-1662,,,,-14260,,,,-1002,,,,-234,-904,-491,-1138,-510,-684,-703,-1505,-3651,
Cash Flows,Cash from Financing Activity,242,,,,13049,,,,-2333,,,,-1854,426,186,1068,-178,-240,-242,388,2564,
Cash Flows,Net Cash Flow,-243,,,,641,,,,-380,,,,1973,83,-94,300,-47,-261,210,165,72,
,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,92,,,,117,,,,154,,,,131,76,91,78,83,94,86,71,77,
Ratios,Inventory Days,309,,,,423,,,,368,,,,346,116,132,153,160,161,199,263,304,
Ratios,Days Payable,216,,,,383,,,,467,,,,460,107,125,172,187,224,231,243,246,
Ratios,Cash Conversion Cycle,184,,,,157,,,,55,,,,18,85,98,59,57,31,53,91,134,
Ratios,Working Capital Days,112,,,,85,,,,2,,,,78,-0,12,31,34,18,15,8,80,
Ratios,ROCE %,9%,,,,6%,,,,6%,,,,6%,15%,12%,9%,12%,8%,13%,12%,10%,
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,60.64%,,,,,,,,,54.45%
Shareholding Pattern (Quarterly),FIIs,,,15.79%,14.42%,10.20%,9.52%,7.97%,6.55%,5.63%,5.90%,5.93%,5.66%,5.67%,,,,,,,,,7.01%
Shareholding Pattern (Quarterly),DIIs,,,7.76%,8.63%,11.89%,12.59%,14.08%,14.51%,13.69%,14.29%,14.44%,15.36%,15.73%,,,,,,,,,21.45%
Shareholding Pattern (Quarterly),Public,,,15.17%,15.74%,16.70%,16.77%,16.92%,17.96%,19.74%,18.90%,18.74%,18.11%,17.77%,,,,,,,,,16.91%
Shareholding Pattern (Quarterly),Others,,,0.63%,0.58%,0.55%,0.49%,0.39%,0.33%,0.32%,0.28%,0.25%,0.22%,0.21%,,,,,,,,,0.18%
Shareholding Pattern (Quarterly),No. of Shareholders,,,369816,391382,411086,412441,415046,434339,470261,443513,439503,427705,424297,,,,,,,,,430217
,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,60.64%,,,,60.64%,,,,60.64%,,,,60.64%,,,,60.68%,60.67%,60.67%,60.67%,60.67%,54.45%
Shareholding Pattern (Yearly),FIIs,15.62%,,,,10.20%,,,,5.63%,,,,5.67%,,,,17.71%,16.99%,17.90%,14.98%,16.30%,7.01%
Shareholding Pattern (Yearly),DIIs,8.36%,,,,11.89%,,,,13.69%,,,,15.73%,,,,3.72%,3.93%,4.38%,7.32%,7.14%,21.45%
Shareholding Pattern (Yearly),Public,14.76%,,,,16.70%,,,,19.74%,,,,17.77%,,,,16.12%,16.91%,15.62%,15.80%,14.96%,16.91%
Shareholding Pattern (Yearly),Others,0.63%,,,,0.55%,,,,0.32%,,,,0.21%,,,,1.76%,1.50%,1.43%,1.23%,0.93%,0.18%
Shareholding Pattern (Yearly),No. of Shareholders,347911,,,,411086,,,,470261,,,,424297,,,,100761,134488,153793,206996,311349,430217
,,,,,,,,,,,,,,,,,,,,,,,
