Section,,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2020,Mar 2021,May 2025,Mar 2017,Mar 2018,Mar 2019
Balance Sheet,Equity Capital,21,,,,21,,,,21,,,,22,14,14,,,,
Balance Sheet,Reserves,158,,,,159,,,,159,,,,183,114,143,,,,
Balance Sheet,Borrowings,183,,,,166,,,,224,,,,145,107,158,,,,
Balance Sheet,Other Liabilities,59,,,,61,,,,72,,,,137,31,61,,,,
Balance Sheet,Total Liabilities,420,,,,407,,,,476,,,,488,266,376,,,,
Balance Sheet,Fixed Assets,214,,,,208,,,,278,,,,208,164,185,,,,
Balance Sheet,CWIP,2,,,,36,,,,2,,,,1,0,2,,,,
Balance Sheet,Investments,3,,,,3,,,,3,,,,3,0,3,,,,
Balance Sheet,Other Assets,201,,,,159,,,,193,,,,276,102,186,,,,
Balance Sheet,Total Assets,420,,,,407,,,,476,,,,488,266,376,,,,
,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,29,,,,66,,,,-5,,,,37,41,-4,,,,
Cash Flows,Cash from Investing Activity,-38,,,,-38,,,,-40,,,,-4,-1,-34,,,,
Cash Flows,Cash from Financing Activity,6,,,,-26,,,,45,,,,-27,-40,41,,,,
Cash Flows,Net Cash Flow,-3,,,,1,,,,0,,,,6,-0,4,,,,
,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,36,,,,37,,,,55,,,,52,47,45,,,,
Ratios,Inventory Days,113,,,,102,,,,116,,,,100,92,149,,,,
Ratios,Days Payable,15,,,,18,,,,22,,,,16,11,24,,,,
Ratios,Cash Conversion Cycle,134,,,,122,,,,149,,,,136,128,169,,,,
Ratios,Working Capital Days,90,,,,88,,,,110,,,,96,82,107,,,,
Ratios,ROCE %,15%,,,,5%,,,,5%,,,,12%,,19%,,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,66.74%,,,67.63%,,,
Shareholding Pattern (Quarterly),FIIs,,,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0.00%,,,
Shareholding Pattern (Quarterly),Public,,,33.26%,33.27%,33.27%,33.28%,33.25%,33.27%,33.26%,33.25%,33.26%,33.25%,33.27%,,,32.36%,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,10613,10742,10548,10202,9561,9293,10346,9697,9007,8893,8774,,,8808,,,
,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,72.38%,,,,66.74%,,,,66.74%,,,,66.74%,72.23%,72.31%,67.63%,69.19%,71.56%,71.68%
Shareholding Pattern (Yearly),FIIs,0.01%,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),DIIs,0.00%,,,,0.00%,,,,0.00%,,,,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,27.61%,,,,33.27%,,,,33.26%,,,,33.27%,27.76%,27.69%,32.36%,30.81%,28.44%,28.32%
Shareholding Pattern (Yearly),No. of Shareholders,10800,,,,10548,,,,10346,,,,8774,7330,8977,8808,9181,8646,8025
,,,,,,,,,,,,,,,,,,,,
