Section,,Dec 2006,Mar 2007,Dec 2007,Mar 2008,Mar 2006,Mar 2009,Mar 2010,Mar 2011,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022
Profit & Loss,Interest,,10,,10,8,15,14,10,,,,,,,,,,,,,,,,,,
Profit & Loss,Depreciation,,10,,9,8,8,8,6,,,,,,,,,,,,,,,,,,
Profit & Loss,Profit before tax,,10,,5,19,-15,-36,-69,,,,,,,,,,,,,,,,,,
Profit & Loss,Tax %,,33%,,40%,21%,-6%,1%,2%,,,,,,,,,,,,,,,,,,
Profit & Loss,Net Profit,,7,,3,15,-14,-36,-70,,,,,,,,,,,,,,,,,,
Profit & Loss,EPS in Rs,,2.32,,0.95,5.18,-4.94,-12.52,-24.17,,,,,,,,,,,,,,,,,,
Profit & Loss,Dividend Payout %,,43%,,0%,0%,0%,0%,0%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balance Sheet,Equity Capital,,29,,29,29,29,29,29,,,,,,,,,,,,,,,,,,
Balance Sheet,Reserves,,132,,135,129,121,83,13,,,,,,,,,,,,,,,,,,
Balance Sheet,Borrowings,,94,,98,82,114,94,85,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Liabilities,,64,,78,47,74,68,37,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Liabilities,,320,,341,286,337,274,164,,,,,,,,,,,,,,,,,,
Balance Sheet,Fixed Assets,,80,,78,78,74,69,62,,,,,,,,,,,,,,,,,,
Balance Sheet,CWIP,,4,,10,5,7,0,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Investments,,6,,6,4,5,2,0,,,,,,,,,,,,,,,,,,
Balance Sheet,Other Assets,,229,,247,199,251,203,101,,,,,,,,,,,,,,,,,,
Balance Sheet,Total Assets,,320,,341,286,337,274,164,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Operating Activity,,2,,5,-13,3,12,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Investing Activity,,-15,,-8,-35,0,21,,,,,,,,,,,,,,,,,,,
Cash Flows,Cash from Financing Activity,,30,,-3,57,-2,-35,,,,,,,,,,,,,,,,,,,
Cash Flows,Net Cash Flow,,17,,-6,10,2,-2,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ratios,Debtor Days,,69,,55,54,42,60,60,,,,,,,,,,,,,,,,,,
Ratios,Inventory Days,,437,,325,292,406,246,150,,,,,,,,,,,,,,,,,,
Ratios,Days Payable,,128,,120,85,103,95,63,,,,,,,,,,,,,,,,,,
Ratios,Cash Conversion Cycle,,379,,260,261,345,211,146,,,,,,,,,,,,,,,,,,
Ratios,Working Capital Days,,257,,212,214,191,194,163,,,,,,,,,,,,,,,,,,
Ratios,ROCE %,,8%,,6%,,10%,-5%,-35%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Quarterly),Promoters,,,,,,,,,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,68.93%,,,,,,
Shareholding Pattern (Quarterly),FIIs,,,,,,,,,0.28%,0.34%,0.35%,0.28%,0.28%,0.25%,0.22%,0.18%,0.14%,0.13%,0.13%,0.13%,,,,,,
Shareholding Pattern (Quarterly),DIIs,,,,,,,,,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,
Shareholding Pattern (Quarterly),Government,,,,,,,,,0.00%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,0.32%,,,,,,
Shareholding Pattern (Quarterly),Public,,,,,,,,,30.77%,30.40%,30.40%,30.46%,30.46%,30.51%,30.53%,30.57%,30.61%,30.61%,30.61%,30.62%,,,,,,
Shareholding Pattern (Quarterly),No. of Shareholders,,,,,,,,,13684,16143,15618,15470,15470,15385,16152,15565,15335,15231,14896,14764,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shareholding Pattern (Yearly),Promoters,,,,,,,,,,,,68.93%,,,,68.93%,,,,68.93%,67.24%,68.02%,68.73%,68.93%,68.93%,68.93%
Shareholding Pattern (Yearly),FIIs,,,,,,,,,,,,0.28%,,,,0.18%,,,,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%,0.29%
Shareholding Pattern (Yearly),DIIs,,,,,,,,,,,,0.00%,,,,0.00%,,,,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%,0.01%
Shareholding Pattern (Yearly),Government,,,,,,,,,,,,0.32%,,,,0.32%,,,,0.32%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
Shareholding Pattern (Yearly),Public,,,,,,,,,,,,30.46%,,,,30.57%,,,,30.62%,32.76%,31.98%,31.25%,31.05%,31.05%,30.76%
Shareholding Pattern (Yearly),No. of Shareholders,,,,,,,,,,,,15470,,,,15565,,,,14764,8171,7410,9618,9207,10682,13699
,,,,,,,,,,,,,,,,,,,,,,,,,,,
